# kind	shard	item	max seconds from successful main medians and PR runs 32407394988, 32410661113, 32412648919
root	0	TestPowerLossOracleEnumerateCutPoints	322.12
root	0	TestReopenVerify_DurableWALCoalescedInlineAroundPointerRecords	11.24
package	1	github.com/snissn/gomap/TreeDB/cmd/treemap	48.14
package	1	github.com/snissn/gomap/TreeDB/documentservice	13.70
root	1	TestCrashRecovery_CommandWALDurableSyncedUncheckpointedFramesReplay	16.22
root	1	TestCrashRecovery_WALReplayIsCoherent	15.65
root	1	TestPowerLossCertificationGroupedDependencyFailureDirtyPublicReopen	23.97
root	1	TestProfileFast_ModelCorrectness_WithFlushAndIterators	18.90
root	1	TestReopenVerify_OuterLeavesExplicitInternalBaseDeltaDisabled_Churn	32.83
root	1	TestReopenVerify_SplitMergeDeleteRange_IteratorParity	107.10
root	1	TestValuePlacement_PerDomainThreshold_ReopenDurability	12.75
collections	2	TestColumnStoreDeleteUpdatedRowAfterManyMutationsM13C	12.50
db	2	TestLeafFillTarget_IsEnforced	24.22
package	2	github.com/snissn/gomap/TreeDB/internal/raftplacement	63.58
package	2	github.com/snissn/gomap/TreeDB/internal/rootpublication	14.41
root	2	TestCrashRecovery_DurabilityTiers	31.79
root	2	TestOpen_PersistedProductionProfileImplicitlyReopensSameContract	15.53
root	2	TestPublicCommandWALWriteThenDirtyWriteSyncDurabilityLedger	16.41
root	2	TestReopenVerify_WALOn_Checkpoint_CompressionModes	49.73
root	2	TestWriteReadVisibilityLargeBatchPaths	19.23
db	3	TestCompactIndexRetiresOldPages	30.89
db	3	TestConcurrentReads	17.08
db	3	TestIndexVacuumTriggerReportContextCanceledBeforeProbe	40.14
db	3	TestValueLogRewriteOnline_DoesNotLoseConcurrentWrites	16.09
package	3	github.com/snissn/gomap/TreeDB/internal/raftcluster	139.84
root	3	TestDeleteRange_CheckpointConsistency_ProfileMatrix	21.94
root	3	TestIndexVacuumM4CertificationMatrix	10.36
root	3	TestPowerLossCertificationAuthoritativeResourcesPublicReopen	13.51
root	3	TestPublicCommandWALMaterializedRIDRecoveryPreservesCachedAllocatorHighWater	15.49
db	4	TestCompactIndex_AllocatesNewPagesByAppending	27.52
db	4	TestIndexVacuumTriggerReportContextCancelsCollectionWalk	13.68
package	4	github.com/snissn/gomap/TreeDB/internal/powerlosscert	21.18
package	4	github.com/snissn/gomap/TreeDB/internal/raftharness	16.90
package	4	github.com/snissn/gomap/TreeDB/mvcc	170.29
root	4	TestCrashRecovery_DeleteRangeWithoutTrailingSync_ReplaysCorrectKeys	16.16
root	4	TestPowerLossCertificationGroupedDependencyFailurePublicReopen	15.40
root	4	TestReopenVerify_AdaptiveLeafEncoding_MixedEncodingPages	36.38
root	4	TestReopenVerify_IndexColumnarLeaves	10.25
db	5	TestFuzzModel	11.94
package	5	github.com/snissn/gomap/TreeDB/nativewire	245.53
root	5	TestPowerLossCertificationGroupedAmbiguousFailurePublicReopen	16.49
root	5	TestProductionProfileLifecycleFrontiersMatchFrozenContract	15.76
root	5	TestProductionProfilesForcedPointersDeleteReuseRotationReopen	20.64
root	5	TestValueLogGCOnline_ProtectedSetSafety	15.15
db	6	TestBatchWritesPreserveUniformLeafDepthWithOuterLeafInternalSplits	12.18
db	6	TestIndexVacuumTriggerReportMatchesFragmentationSpan	19.55
root	6	TestBackgroundIndexVacuumIdleUnchangedCommitSkipsStructuralWalks	187.76
root	6	TestPowerLossCertificationGroupedAmbiguousFailureDirtyPublicReopen	15.60
root	6	TestPowerLossOracleCounterexampleRelaxedCommandFrameMissingRID	22.94
root	6	TestProfileFast_BulkRestoreMaintainsKeyValueParity	14.68
root	6	TestProfileFast_MultiDomainWritesAvoidPageExplosionAtCheckpointBoundaries	16.28
root	6	TestReadSnapshotsSeeQueuedWritesBeforeCheckpoint_ProfileMatrix	45.41
root	6	TestReopenVerify_DurableWALCoalescedInlineWrites	98.83
root	6	TestWriteReadVisibilityMatrix	34.94
