File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: alloc_space
Time: 2026-08-09 14:11:11 HST
Showing nodes accounting for 4459.51MB, 41.54% of 10736.28MB total
Dropped 410 nodes (cum <= 53.68MB)
Showing top 60 nodes out of 169
      flat  flat%   sum%        cum   cum%
         0     0%     0%  7935.59MB 73.91%  runtime.main
         0     0%     0%  7935.09MB 73.91%  main.main
         0     0%     0%  7935.09MB 73.91%  main.run
         0     0%     0%  7935.09MB 73.91%  main.runVectorPartitionSystemNodeV1
         0     0%     0%  7931.38MB 73.87%  main.openVectorPartitionSystemNodeV1
         0     0%     0%  7678.37MB 71.52%  main.openM8ProductionMultiGroupExistingAssetsV1
         0     0%     0%  5114.95MB 47.64%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReader
         0     0%     0%  5114.95MB 47.64%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot
         0     0%     0%  5054.61MB 47.08%  github.com/snissn/gomap/TreeDB/collections.(*Collection).acquireColumnVectorGraphSharedPreparedSearch
         0     0%     0%  5054.61MB 47.08%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot.func1
         0     0%     0%  5054.61MB 47.08%  github.com/snissn/gomap/TreeDB/collections.(*Collection).prepareColumnVectorGraphPhysicalRowReaderSourcesAtSnapshot
         0     0%     0%  4444.11MB 41.39%  main.m8BindRetainedM3DescriptorV1
         0     0%     0%  4443.61MB 41.39%  github.com/snissn/gomap/TreeDB/collections.(*Collection).VectorPartitionStatusV1
         0     0%     0%  4121.34MB 38.39%  github.com/snissn/gomap/TreeDB/collections.(*Collection).validateVectorPartitionAssetMembershipBindingsV1
         0     0%     0%  3042.14MB 28.34%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphAdjacencyStateSourcesForReader
         0     0%     0%  3042.14MB 28.34%  github.com/snissn/gomap/TreeDB/collections.newColumnVectorGraphAdjacencyStateDirectSourceFromRoot
         0     0%     0%  3042.14MB 28.34%  github.com/snissn/gomap/TreeDB/collections.openColumnVectorGraphAdjacencyStateSourcesFromRoot
