File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: alloc_space
Time: 2026-08-09 14:10:09 HST
Showing nodes accounting for 1264.74MB, 45.18% of 2799.40MB total
Dropped 269 nodes (cum <= 14MB)
Showing top 70 nodes out of 156
      flat  flat%   sum%        cum   cum%
         0     0%     0%  1887.94MB 67.44%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionProductionTopologyV1).serve.func1.2
         0     0%     0%  1887.94MB 67.44%  github.com/snissn/gomap/TreeDB/nativewire.VectorPartitionShardSearchTCPServerV1.ServeConn
       1MB 0.036% 0.036%  1878.92MB 67.12%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchServiceV1).Search
         0     0% 0.036%   995.97MB 35.58%  github.com/snissn/gomap/TreeDB/collections.WithVectorPartitionStorageBarrierWithContextV1
         0     0% 0.036%   983.58MB 35.14%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenVectorPartitionLocalSearcherForGenerationSearchPlanWithContextV1
         0     0% 0.036%   983.58MB 35.14%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openVectorPartitionLocalSearcherForPreparedPartitionWithContextV1
         0     0% 0.036%   983.58MB 35.14%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationCacheV1).openPartition
         0     0% 0.036%   983.58MB 35.14%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationLeaseV1).OpenPartition
         0     0% 0.036%   980.28MB 35.02%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReader
         0     0% 0.036%   980.28MB 35.02%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot
         0     0% 0.036%   969.48MB 34.63%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).loadVectorPartitionLifecycleAuthorityWithContextV1
         0     0% 0.036%   969.48MB 34.63%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).loadVectorPartitionLifecycleCheckpointStateFromDirWithContextV1
         0     0% 0.036%   968.20MB 34.59%  github.com/snissn/gomap/TreeDB/collections.(*Collection).acquireColumnVectorGraphSharedPreparedSearch
         0     0% 0.036%   968.20MB 34.59%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot.func1
         0     0% 0.036%   968.20MB 34.59%  github.com/snissn/gomap/TreeDB/collections.(*Collection).prepareColumnVectorGraphPhysicalRowReaderSourcesAtSnapshot
  806.74MB 28.82% 28.85%   808.81MB 28.89%  encoding/json.Marshal
         0     0% 28.85%   793.78MB 28.36%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1
         0     0% 28.85%   793.78MB 28.36%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func2
    0.50MB 0.018% 28.87%   793.27MB 28.34%  github.com/snissn/gomap/TreeDB/collections.writeVectorPartitionJSONSliceWithContextV1[go.shape.struct { VectorOrdinal uint64; PartitionID uint32 }]
         0     0% 28.87%   711.89MB 25.43%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleCheckpointTailV1
         0     0% 28.87%   663.64MB 23.71%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionProductionNodeGenerationSourceV1.PinVectorPartitionGenerationV1
         0     0% 28.87%   662.64MB 23.67%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).PinVectorPartitionGenerationV1
         0     0% 28.87%   660.64MB 23.60%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).loadGeneration
         0     0% 28.87%   653.77MB 23.35%  github.com/snissn/gomap/TreeDB/collections.WithVectorPartitionStorageBarrierV1 (inline)
         0     0% 28.87%   650.89MB 23.25%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func4
         0     0% 28.87%   590.99MB 21.11%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphAdjacencyStateSourcesForReader
         0     0% 28.87%   590.99MB 21.11%  github.com/snissn/gomap/TreeDB/collections.newColumnVectorGraphAdjacencyStateDirectSourceFromRoot
         0     0% 28.87%   590.99MB 21.11%  github.com/snissn/gomap/TreeDB/collections.openColumnVectorGraphAdjacencyStateSourcesFromRoot
   62.08MB  2.22% 31.09%   564.22MB 20.15%  github.com/snissn/gomap/TreeDB/collections.encodeVectorPartitionManifestWithContextV1
         0     0% 31.09%   550.34MB 19.66%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.ColumnPartFromImageWithOptions
         0     0% 31.09%   550.10MB 19.65%  github.com/snissn/gomap/TreeDB/collections.applyVectorPartitionReadyPromotionV1
         0     0% 31.09%   550.10MB 19.65%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleRecordV1
         0     0% 31.09%   468.39MB 16.73%  github.com/hashicorp/raft.(*raftState).goFunc.func1
         0     0% 31.09%   449.75MB 16.07%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.validateWithContextV1
         0     0% 31.09%   433.19MB 15.47%  github.com/snissn/gomap/TreeDB/collections.typedColumnAdapterPartFromImageWithoutRowLocators (inline)
         0     0% 31.09%   433.19MB 15.47%  github.com/snissn/gomap/TreeDB/collections.typedColumnAdapterPartFromImageWithoutRowLocatorsWithDiagnostics
         0     0% 31.09%   430.68MB 15.38%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.attachColumnPayloadsFromImage
         0     0% 31.09%   393.79MB 14.07%  main.(*vectorPartitionOperationsTCPServerV1).serve
         0     0% 31.09%   393.79MB 14.07%  main.(*vectorPartitionOperationsTCPServerV1).start.func1.1
         0     0% 31.09%   386.79MB 13.82%  github.com/snissn/gomap/TreeDB/vectorpartition.(*OperationsV1).Search
         0     0% 31.09%   385.15MB 13.76%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.attachUint32OffsetsListColumnPayloadsFromImage
         0     0% 31.09%   384.91MB 13.75%  github.com/snissn/gomap/TreeDB/collections.readColumnPhysicalAssetFromManager
         0     0% 31.09%   384.91MB 13.75%  github.com/snissn/gomap/TreeDB/collections.readColumnPhysicalAssetFromManagerInto (inline)
  384.91MB 13.75% 44.84%   384.91MB 13.75%  github.com/snissn/gomap/TreeDB/collections.readColumnPhysicalAssetFromManagerIntoWithIntegrity
         0     0% 44.84%   382.28MB 13.66%  github.com/snissn/gomap/TreeDB/vectorpartition.(*ServiceV1).Search
    0.50MB 0.018% 44.86%   381.78MB 13.64%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionPublicBackendV1).SearchVectorPartitionV1
         0     0% 44.86%   380.78MB 13.60%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).Search
