File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: cpu
Time: 2026-08-09 14:10:09 HST
Duration: 62.08s, Total samples = 8.59s (13.84%)
Showing nodes accounting for 5.97s, 69.50% of 8.59s total
Dropped 572 nodes (cum <= 0.04s)
Showing top 60 nodes out of 325
      flat  flat%   sum%        cum   cum%
     1.10s 12.81% 12.81%      1.10s 12.81%  internal/runtime/syscall/linux.Syscall6
        1s 11.64% 24.45%      1.04s 12.11%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionCoordinatorCandidateRowsV1.func1 (inline)
     0.58s  6.75% 31.20%      0.58s  6.75%  crypto/internal/fips140/sha256.blockSHANI
     0.29s  3.38% 34.58%      0.86s 10.01%  encoding/json.structEncoder.encode
     0.27s  3.14% 37.72%      0.27s  3.14%  github.com/snissn/go-crc32-asm.crc32IEEEVPCLMUL512
     0.19s  2.21% 39.93%      0.19s  2.21%  runtime.memmove
     0.15s  1.75% 41.68%      0.15s  1.75%  runtime.futex
     0.15s  1.75% 43.42%      0.31s  3.61%  runtime.scanObject
     0.13s  1.51% 44.94%      0.20s  2.33%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).prepareSectionViewsWithContext
     0.13s  1.51% 46.45%      0.40s  4.66%  runtime.selectgo
     0.12s  1.40% 47.85%      0.12s  1.40%  runtime.memclrNoHeapPointers
     0.11s  1.28% 49.13%      0.11s  1.28%  github.com/tphakala/simd/f32.dotProductAVX512
     0.10s  1.16% 50.29%      0.37s  4.31%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).searchCosineWithContext
     0.09s  1.05% 51.34%      0.09s  1.05%  runtime.nextFreeFast (inline)
     0.08s  0.93% 52.27%      0.08s  0.93%  bytes.(*Buffer).tryGrowByReslice (inline)
     0.08s  0.93% 53.20%      0.11s  1.28%  runtime.unlock2
     0.07s  0.81% 54.02%      0.07s  0.81%  runtime.(*mspan).writeHeapBitsSmall
     0.07s  0.81% 54.83%      0.07s  0.81%  runtime.madvise
     0.06s   0.7% 55.53%      0.93s 10.83%  encoding/json.arrayEncoder.encode
     0.06s   0.7% 56.23%      0.07s  0.81%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphNativeSearchScratch).insertTop
     0.06s   0.7% 56.93%      0.06s   0.7%  internal/strconv.formatBase10
     0.06s   0.7% 57.63%      0.06s   0.7%  runtime.nanotime
     0.06s   0.7% 58.32%      0.06s   0.7%  runtime.step
     0.06s   0.7% 59.02%      0.07s  0.81%  runtime.tryDeferToSpanScan
     0.05s  0.58% 59.60%      0.08s  0.93%  bytes.(*Buffer).WriteByte
     0.05s  0.58% 60.19%      0.06s   0.7%  bytes.(*Buffer).WriteString
     0.05s  0.58% 60.77%      0.05s  0.58%  github.com/snissn/gomap/TreeDB/collections.validateColumnVectorIndexStateAdjacencySections
     0.05s  0.58% 61.35%      0.07s  0.81%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.DecodeRawUint32OffsetsListFallback
     0.05s  0.58% 61.93%      0.08s  0.93%  reflect.Value.Field
     0.05s  0.58% 62.51%      0.09s  1.05%  runtime.typePointers.next
     0.04s  0.47% 62.98%      0.20s  2.33%  internal/strconv.AppendUint
     0.04s  0.47% 63.45%      0.06s   0.7%  math.IsInf (inline)
     0.04s  0.47% 63.91%      0.05s  0.58%  runtime.(*traceMap).put
     0.04s  0.47% 64.38%      0.19s  2.21%  runtime.newobject
     0.04s  0.47% 64.84%      0.14s  1.63%  runtime.pcvalue
     0.03s  0.35% 65.19%      0.10s  1.16%  bytes.(*Buffer).Write
     0.03s  0.35% 65.54%      0.99s 11.53%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.validateWithContextV1
     0.03s  0.35% 65.89%      0.05s  0.58%  reflect.Value.Index
     0.03s  0.35% 66.24%      0.07s  0.81%  runtime.stealWork
     0.02s  0.23% 66.47%      0.08s  0.93%  encoding/json.(*decodeState).literalStore
     0.02s  0.23% 66.71%      0.05s  0.58%  github.com/hashicorp/go-msgpack/v2/codec.(*BasicHandle).fn
     0.02s  0.23% 66.94%      0.85s  9.90%  github.com/hashicorp/raft.(*Raft).runFollower
     0.02s  0.23% 67.17%      0.05s  0.58%  github.com/snissn/gomap/TreeDB/collections.putMembershipsWithContextVPM
     0.02s  0.23% 67.40%      0.10s  1.16%  runtime.futexsleep
     0.02s  0.23% 67.64%      0.11s  1.28%  runtime.mapaccess2
     0.02s  0.23% 67.87%      0.08s  0.93%  runtime.traceStack
     0.01s  0.12% 67.99%      0.94s 10.94%  encoding/json.sliceEncoder.encode
     0.01s  0.12% 68.10%      0.29s  3.38%  encoding/json.uintEncoder
     0.01s  0.12% 68.22%      0.12s  1.40%  github.com/hashicorp/go-msgpack/v2/codec.(*Decoder).decode
     0.01s  0.12% 68.34%      0.08s  0.93%  github.com/hashicorp/go-msgpack/v2/codec.(*Decoder).kStruct
     0.01s  0.12% 68.45%      0.07s  0.81%  github.com/hashicorp/raft.(*inmemPipeline).decodeResponses
     0.01s  0.12% 68.57%      0.20s  2.33%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).scoreAndPushFrontierVisitedTile
     0.01s  0.12% 68.68%      0.05s  0.58%  github.com/snissn/gomap/TreeDB/collections.validateMembershipsWithContextVPM
     0.01s  0.12% 68.80%      0.10s  1.16%  github.com/snissn/gomap/TreeDB/internal/raftcluster.(*CatalogMetaRaftProviderV1).LinearizableCatalogMetaAppliedIndexV1
     0.01s  0.12% 68.92%      0.12s  1.40%  github.com/snissn/gomap/TreeDB/internal/vectorops.dotFloat32IndexedScalar
     0.01s  0.12% 69.03%      1.89s 22.00%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).Search
     0.01s  0.12% 69.15%      1.05s 12.22%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).plan
     0.01s  0.12% 69.27%      0.46s  5.36%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchTCPDispatcherV1).DispatchVectorPartitionShardSearchV1
     0.01s  0.12% 69.38%      0.45s  5.24%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchTCPDispatcherV1).dispatchVectorPartitionShardSearchOnceV1
     0.01s  0.12% 69.50%      1.25s 14.55%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationCacheV1).openPartition
