File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: alloc_space
Time: 2026-08-09 14:11:11 HST
Showing nodes accounting for 5082.76MB, 51.00% of 9965.73MB total
Dropped 416 nodes (cum <= 49.83MB)
Showing top 60 nodes out of 142
      flat  flat%   sum%        cum   cum%
         0     0%     0%  7945.28MB 79.73%  runtime.main
         0     0%     0%  7944.78MB 79.72%  main.main
         0     0%     0%  7944.78MB 79.72%  main.run
         0     0%     0%  7944.78MB 79.72%  main.runVectorPartitionSystemNodeV1
         0     0%     0%  7939.39MB 79.67%  main.openVectorPartitionSystemNodeV1
         0     0%     0%  7684.35MB 77.11%  main.openM8ProductionMultiGroupExistingAssetsV1
         0     0%     0%  5137.19MB 51.55%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReader
         0     0%     0%  5137.19MB 51.55%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot
         0     0%     0%  5073.94MB 50.91%  github.com/snissn/gomap/TreeDB/collections.(*Collection).acquireColumnVectorGraphSharedPreparedSearch
         0     0%     0%  5073.94MB 50.91%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot.func1
         0     0%     0%  5073.94MB 50.91%  github.com/snissn/gomap/TreeDB/collections.(*Collection).prepareColumnVectorGraphPhysicalRowReaderSourcesAtSnapshot
         0     0%     0%  4485.51MB 45.01%  github.com/snissn/gomap/TreeDB/collections.(*Collection).VectorPartitionStatusV1
         0     0%     0%  4485.51MB 45.01%  main.m8BindRetainedM3DescriptorV1
         0     0%     0%  4141.07MB 41.55%  github.com/snissn/gomap/TreeDB/collections.(*Collection).validateVectorPartitionAssetMembershipBindingsV1
         0     0%     0%  3065.32MB 30.76%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphAdjacencyStateSourcesForReader
         0     0%     0%  3065.32MB 30.76%  github.com/snissn/gomap/TreeDB/collections.openColumnVectorGraphAdjacencyStateSourcesFromRoot
         0     0%     0%  3064.82MB 30.75%  github.com/snissn/gomap/TreeDB/collections.newColumnVectorGraphAdjacencyStateDirectSourceFromRoot
         0     0%     0%  2848.37MB 28.58%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.ColumnPartFromImageWithOptions
         0     0%     0%  2755.33MB 27.65%  main.openM8ProductionExistingAssetSetV1
         0     0%     0%  2427.82MB 24.36%  github.com/snissn/gomap/TreeDB/db.Open
         0     0%     0%  2427.82MB 24.36%  github.com/snissn/gomap/TreeDB/db.openReadOnly
         0     0%     0%  2419.10MB 24.27%  github.com/snissn/gomap/TreeDB/db.scanCommandWALSegmentReader
         0     0%     0%  2419.10MB 24.27%  github.com/snissn/gomap/TreeDB/db.scanCommandWALSegmentWithOptions
         0     0%     0%  2419.10MB 24.27%  github.com/snissn/gomap/TreeDB/db.scanCommandWALSegmentWithSeen (inline)
         0     0%     0%  2419.10MB 24.27%  github.com/snissn/gomap/TreeDB/internal/commitlog.(*Reader).ReadCommandFrame
         0     0%     0%  2232.27MB 22.40%  github.com/snissn/gomap/TreeDB/collections.typedColumnAdapterPartFromImageWithoutRowLocators (inline)
         0     0%     0%  2232.27MB 22.40%  github.com/snissn/gomap/TreeDB/collections.typedColumnAdapterPartFromImageWithoutRowLocatorsWithDiagnostics
         0     0%     0%  2212.17MB 22.20%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.attachColumnPayloadsFromImage
         0     0%     0%  2185.56MB 21.93%  github.com/snissn/gomap/TreeDB/collections.readColumnPhysicalAssetFromManager
         0     0%     0%  2185.56MB 21.93%  github.com/snissn/gomap/TreeDB/collections.readColumnPhysicalAssetFromManagerInto (inline)
 2185.56MB 21.93% 21.93%  2185.56MB 21.93%  github.com/snissn/gomap/TreeDB/collections.readColumnPhysicalAssetFromManagerIntoWithIntegrity
         0     0% 21.93%  1986.37MB 19.93%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.attachUint32OffsetsListColumnPayloadsFromImage
         0     0% 21.93%  1862.32MB 18.69%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionProductionTopologyV1).serve.func1.2
         0     0% 21.93%  1862.32MB 18.69%  github.com/snissn/gomap/TreeDB/nativewire.VectorPartitionShardSearchTCPServerV1.ServeConn
    0.50MB 0.005% 21.94%  1854.80MB 18.61%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchServiceV1).Search
         0     0% 21.94%  1647.30MB 16.53%  github.com/snissn/gomap/TreeDB/internal/commitlog.DecodeCommandFrame
  771.80MB  7.74% 29.68%  1647.30MB 16.53%  github.com/snissn/gomap/TreeDB/internal/commitlog.DecodeCommandFrameV2
         0     0% 29.68%  1280.75MB 12.85%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).loadVectorPartitionLifecycleAuthorityWithContextV1
         0     0% 29.68%  1280.75MB 12.85%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).loadVectorPartitionLifecycleCheckpointStateFromDirWithContextV1
         0     0% 29.68%  1216.19MB 12.20%  github.com/snissn/gomap/TreeDB/db.filterCommandWALSegmentsForLegacyReplay
         0     0% 29.68%  1216.19MB 12.20%  github.com/snissn/gomap/TreeDB/db.legacyCachedRedoJournalReplaySegments
         0     0% 29.68%  1216.19MB 12.20%  github.com/snissn/gomap/TreeDB/db.requireNoLegacyCachedRedoJournalReplay
         0     0% 29.68%  1202.91MB 12.07%  github.com/snissn/gomap/TreeDB/db.requireNoUnappliedCommandWALFrames
 1083.36MB 10.87% 40.55%     1086MB 10.90%  encoding/json.Marshal
         0     0% 40.55%  1085.50MB 10.89%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1
         0     0% 40.55%  1085.50MB 10.89%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func2
    0.50MB 0.005% 40.56%  1085.50MB 10.89%  github.com/snissn/gomap/TreeDB/collections.writeVectorPartitionJSONSliceWithContextV1[go.shape.struct { VectorOrdinal uint64; PartitionID uint32 }]
         0     0% 40.56%   979.10MB  9.82%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenVectorPartitionLocalSearcherForGenerationSearchPlanWithContextV1
         0     0% 40.56%   979.10MB  9.82%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openVectorPartitionLocalSearcherForPreparedPartitionWithContextV1
         0     0% 40.56%   979.10MB  9.82%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationCacheV1).openPartition
         0     0% 40.56%   979.10MB  9.82%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationLeaseV1).OpenPartition
         0     0% 40.56%   974.95MB  9.78%  github.com/snissn/gomap/TreeDB/collections.WithVectorPartitionStorageBarrierWithContextV1
         0     0% 40.56%   938.78MB  9.42%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleCheckpointTailV1
  896.73MB  9.00% 49.55%   896.73MB  9.00%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.EncodeRawUint32OffsetsListPayload
         0     0% 49.55%   892.83MB  8.96%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func4
  120.26MB  1.21% 50.76%   892.28MB  8.95%  github.com/snissn/gomap/TreeDB/collections.(*Collection).newColumnVectorGraphTypedColumnVectorSource
