File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: alloc_space
Time: 2026-08-09 14:11:11 HST
Showing nodes accounting for 5040.70MB, 50.51% of 9980.09MB total
Dropped 354 nodes (cum <= 49.90MB)
Showing top 60 nodes out of 140
      flat  flat%   sum%        cum   cum%
         0     0%     0%  7880.50MB 78.96%  main.main
         0     0%     0%  7880.50MB 78.96%  main.run
         0     0%     0%  7880.50MB 78.96%  main.runVectorPartitionSystemNodeV1
         0     0%     0%  7880.50MB 78.96%  runtime.main
         0     0%     0%  7876.18MB 78.92%  main.openVectorPartitionSystemNodeV1
         0     0%     0%  7623.17MB 76.38%  main.openM8ProductionMultiGroupExistingAssetsV1
         0     0%     0%  5155.82MB 51.66%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReader
         0     0%     0%  5155.82MB 51.66%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot
         0     0%     0%  5091.08MB 51.01%  github.com/snissn/gomap/TreeDB/collections.(*Collection).acquireColumnVectorGraphSharedPreparedSearch
         0     0%     0%  5091.08MB 51.01%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot.func1
         0     0%     0%  5091.08MB 51.01%  github.com/snissn/gomap/TreeDB/collections.(*Collection).prepareColumnVectorGraphPhysicalRowReaderSourcesAtSnapshot
         0     0%     0%  4446.09MB 44.55%  github.com/snissn/gomap/TreeDB/collections.(*Collection).VectorPartitionStatusV1
         0     0%     0%  4446.09MB 44.55%  main.m8BindRetainedM3DescriptorV1
         0     0%     0%  4138.01MB 41.46%  github.com/snissn/gomap/TreeDB/collections.(*Collection).validateVectorPartitionAssetMembershipBindingsV1
         0     0%     0%  3069.53MB 30.76%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphAdjacencyStateSourcesForReader
         0     0%     0%  3069.53MB 30.76%  github.com/snissn/gomap/TreeDB/collections.newColumnVectorGraphAdjacencyStateDirectSourceFromRoot
         0     0%     0%  3069.53MB 30.76%  github.com/snissn/gomap/TreeDB/collections.openColumnVectorGraphAdjacencyStateSourcesFromRoot
    0.50MB 0.005% 0.005%  2847.66MB 28.53%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.ColumnPartFromImageWithOptions
         0     0% 0.005%  2729.18MB 27.35%  main.openM8ProductionExistingAssetSetV1
         0     0% 0.005%  2406.80MB 24.12%  github.com/snissn/gomap/TreeDB/db.Open
         0     0% 0.005%  2406.30MB 24.11%  github.com/snissn/gomap/TreeDB/db.openReadOnly
         0     0% 0.005%  2400.14MB 24.05%  github.com/snissn/gomap/TreeDB/db.scanCommandWALSegmentReader
         0     0% 0.005%  2400.14MB 24.05%  github.com/snissn/gomap/TreeDB/db.scanCommandWALSegmentWithOptions
         0     0% 0.005%  2400.14MB 24.05%  github.com/snissn/gomap/TreeDB/db.scanCommandWALSegmentWithSeen (inline)
