File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: delay
Time: 2026-08-09 14:11:11 HST
Showing nodes accounting for 1855.82s, 100% of 1855.82s total
Dropped 54 nodes (cum <= 9.28s)
      flat  flat%   sum%        cum   cum%
  1666.62s 89.81% 89.81%   1666.62s 89.81%  runtime.selectgo
         0     0% 89.81%   1292.10s 69.62%  github.com/hashicorp/raft.(*raftState).goFunc.func1
         0     0% 89.81%    355.96s 19.18%  github.com/hashicorp/raft.(*Raft).run
         0     0% 89.81%    355.96s 19.18%  github.com/hashicorp/raft.(*Raft).run-fm
         0     0% 89.81%    253.71s 13.67%  github.com/hashicorp/raft.(*Raft).pipelineDecode
         0     0% 89.81%    253.71s 13.67%  github.com/hashicorp/raft.(*Raft).pipelineReplicate.func1
         0     0% 89.81%    253.59s 13.66%  github.com/hashicorp/raft.(*inmemPipeline).decodeResponses
         0     0% 89.81%    253.59s 13.66%  github.com/hashicorp/raft.newInmemPipeline.gowrap1
         0     0% 89.81%    253.31s 13.65%  github.com/hashicorp/raft.(*Raft).pipelineReplicate
         0     0% 89.81%    253.31s 13.65%  github.com/hashicorp/raft.(*Raft).replicate
         0     0% 89.81%    253.31s 13.65%  github.com/hashicorp/raft.(*Raft).startStopReplication.func1
         0     0% 89.81%    251.20s 13.54%  github.com/hashicorp/raft.(*Raft).heartbeat
         0     0% 89.81%    251.20s 13.54%  github.com/hashicorp/raft.(*Raft).replicate.func1
         0     0% 89.81%    240.54s 12.96%  github.com/hashicorp/raft.(*Raft).runFollower
   189.19s 10.19%   100%    189.19s 10.19%  runtime.chanrecv1
         0     0%   100%    177.92s  9.59%  github.com/hashicorp/raft.(*Raft).runFSM
         0     0%   100%    177.92s  9.59%  github.com/hashicorp/raft.(*Raft).runFSM-fm
         0     0%   100%    125.73s  6.77%  runtime.(*wakeableSleep).sleep
         0     0%   100%    115.42s  6.22%  github.com/hashicorp/raft.(*Raft).leaderLoop
         0     0%   100%    115.42s  6.22%  github.com/hashicorp/raft.(*Raft).runLeader
         0     0%   100%       100s  5.39%  github.com/hashicorp/raft.(*Raft).runLeader.gowrap1
         0     0%   100%       100s  5.39%  github.com/hashicorp/raft.emitLogStoreMetrics
         0     0%   100%     63.45s  3.42%  main.main
         0     0%   100%     63.45s  3.42%  main.run
         0     0%   100%     63.45s  3.42%  main.runVectorPartitionSystemNodeV1
         0     0%   100%     63.45s  3.42%  runtime.main
         0     0%   100%     63.35s  3.41%  runtime.traceStartReadCPU.func1
         0     0%   100%     62.38s  3.36%  runtime.(*traceAdvancerState).start.func1
         0     0%   100%     10.48s  0.56%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionProductionTopologyV1).serve.func1.2
         0     0%   100%     10.48s  0.56%  github.com/snissn/gomap/TreeDB/nativewire.VectorPartitionShardSearchTCPServerV1.ServeConn
         0     0%   100%     10.47s  0.56%  github.com/snissn/gomap/TreeDB/internal/raftcluster.waitHashicorpRaftFuture
         0     0%   100%     10.47s  0.56%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchServiceV1).Search
         0     0%   100%     10.46s  0.56%  github.com/hashicorp/raft.(*deferError).Error
         0     0%   100%     10.46s  0.56%  github.com/snissn/gomap/TreeDB/internal/raftcluster.waitHashicorpRaftFuture.func1
         0     0%   100%     10.44s  0.56%  github.com/snissn/gomap/TreeDB/internal/raftcluster.(*CatalogMetaRaftProviderV1).LinearizableCatalogMetaAppliedIndexV1
         0     0%   100%     10.44s  0.56%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).PinVectorPartitionGenerationV1
         0     0%   100%     10.44s  0.56%  github.com/snissn/gomap/TreeDB/nativewire.(*LinearizableCatalogVectorPartitionLifecycleAuthorityV1).ValidateVectorPartitionGenerationSearchV1
         0     0%   100%     10.44s  0.56%  github.com/snissn/gomap/TreeDB/nativewire.(*vectorPartitionProductionNodeGenerationSourceV1).PinVectorPartitionGenerationV1
         0     0%   100%     10.44s  0.56%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionProductionNodeGenerationSourceV1.PinVectorPartitionGenerationV1
         0     0%   100%     10.43s  0.56%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).validateActive
