File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: alloc_space
Time: 2026-08-09 14:11:11 HST
Showing nodes accounting for 5067.75MB, 51.09% of 9919.26MB total
Dropped 344 nodes (cum <= 49.60MB)
Showing top 60 nodes out of 144
      flat  flat%   sum%        cum   cum%
         0     0%     0%  7908.33MB 79.73%  runtime.main
         0     0%     0%  7907.83MB 79.72%  main.main
         0     0%     0%  7907.83MB 79.72%  main.run
         0     0%     0%  7907.83MB 79.72%  main.runVectorPartitionSystemNodeV1
         0     0%     0%  7902.84MB 79.67%  main.openVectorPartitionSystemNodeV1
         0     0%     0%  7651.97MB 77.14%  main.openM8ProductionMultiGroupExistingAssetsV1
         0     0%     0%  5112.29MB 51.54%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReader
         0     0%     0%  5112.29MB 51.54%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot
         0     0%     0%  5048.05MB 50.89%  github.com/snissn/gomap/TreeDB/collections.(*Collection).acquireColumnVectorGraphSharedPreparedSearch
         0     0%     0%  5048.05MB 50.89%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot.func1
         0     0%     0%  5048.05MB 50.89%  github.com/snissn/gomap/TreeDB/collections.(*Collection).prepareColumnVectorGraphPhysicalRowReaderSourcesAtSnapshot
         0     0%     0%  4451.21MB 44.87%  github.com/snissn/gomap/TreeDB/collections.(*Collection).VectorPartitionStatusV1
         0     0%     0%  4451.21MB 44.87%  main.m8BindRetainedM3DescriptorV1
         0     0%     0%  4118.89MB 41.52%  github.com/snissn/gomap/TreeDB/collections.(*Collection).validateVectorPartitionAssetMembershipBindingsV1
         0     0%     0%  3049.57MB 30.74%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphAdjacencyStateSourcesForReader
         0     0%     0%  3049.57MB 30.74%  github.com/snissn/gomap/TreeDB/collections.newColumnVectorGraphAdjacencyStateDirectSourceFromRoot
         0     0%     0%  3049.57MB 30.74%  github.com/snissn/gomap/TreeDB/collections.openColumnVectorGraphAdjacencyStateSourcesFromRoot
    1.50MB 0.015% 0.015%  2839.77MB 28.63%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.ColumnPartFromImageWithOptions
         0     0% 0.015%  2768.18MB 27.91%  main.openM8ProductionExistingAssetSetV1
         0     0% 0.015%  2437.57MB 24.57%  github.com/snissn/gomap/TreeDB/db.Open
         0     0% 0.015%  2437.57MB 24.57%  github.com/snissn/gomap/TreeDB/db.openReadOnly
         0     0% 0.015%  2428.80MB 24.49%  github.com/snissn/gomap/TreeDB/db.scanCommandWALSegmentReader
         0     0% 0.015%  2428.80MB 24.49%  github.com/snissn/gomap/TreeDB/db.scanCommandWALSegmentWithOptions
         0     0% 0.015%  2428.80MB 24.49%  github.com/snissn/gomap/TreeDB/db.scanCommandWALSegmentWithSeen (inline)
