File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: cpu
Time: 2026-08-09 14:10:07 HST
Duration: 64.56s, Total samples = 4.88s ( 7.56%)
Showing nodes accounting for 3.68s, 75.41% of 4.88s total
Dropped 307 nodes (cum <= 0.02s)
Showing top 60 nodes out of 343
      flat  flat%   sum%        cum   cum%
     0.46s  9.43%  9.43%      0.46s  9.43%  internal/runtime/syscall/linux.Syscall6
     0.34s  6.97% 16.39%      0.34s  6.97%  crypto/internal/fips140/sha256.blockSHANI
     0.25s  5.12% 21.52%      0.25s  5.12%  github.com/snissn/go-crc32-asm.crc32IEEEVPCLMUL512
     0.19s  3.89% 25.41%      0.57s 11.68%  encoding/json.structEncoder.encode
     0.18s  3.69% 29.10%      0.18s  3.69%  runtime.memmove
     0.13s  2.66% 31.76%      0.20s  4.10%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).prepareSectionViewsWithContext
     0.11s  2.25% 34.02%      0.11s  2.25%  runtime.futex
     0.10s  2.05% 36.07%      0.10s  2.05%  github.com/tphakala/simd/f32.dotProductAVX512
     0.09s  1.84% 37.91%      0.37s  7.58%  runtime.selectgo
     0.08s  1.64% 39.55%      0.10s  2.05%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.DecodeRawUint32OffsetsListFallback
     0.08s  1.64% 41.19%      0.08s  1.64%  internal/strconv.formatBase10
     0.08s  1.64% 42.83%      0.08s  1.64%  runtime.memclrNoHeapPointers
     0.08s  1.64% 44.47%      0.08s  1.64%  runtime.typePointers.next
     0.07s  1.43% 45.90%      0.07s  1.43%  runtime.madvise
     0.06s  1.23% 47.13%      0.06s  1.23%  bytes.(*Buffer).tryGrowByReslice (inline)
     0.06s  1.23% 48.36%      0.27s  5.53%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).searchCosineWithContext
     0.06s  1.23% 49.59%      0.06s  1.23%  github.com/snissn/gomap/TreeDB/collections.validateColumnVectorIndexStateAdjacencySections
     0.06s  1.23% 50.82%      0.06s  1.23%  runtime.nextFreeFast (inline)
     0.06s  1.23% 52.05%      0.19s  3.89%  runtime.scanObject
     0.05s  1.02% 53.07%      0.09s  1.84%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphRowRefStateSource).rowRefForOrdinal
     0.05s  1.02% 54.10%      0.05s  1.02%  internal/abi.Name.IsExported (inline)
     0.05s  1.02% 55.12%      0.12s  2.46%  reflect.Value.Field
     0.05s  1.02% 56.15%      0.05s  1.02%  runtime.step
     0.04s  0.82% 56.97%      0.05s  1.02%  bytes.(*Buffer).WriteByte
     0.04s  0.82% 57.79%      0.05s  1.02%  math.IsInf (inline)
     0.04s  0.82% 58.61%      0.04s  0.82%  runtime.lock2
     0.04s  0.82% 59.43%      0.04s  0.82%  runtime.nanotime (inline)
     0.04s  0.82% 60.25%      0.16s  3.28%  runtime.newobject
     0.04s  0.82% 61.07%      0.10s  2.05%  runtime.pcvalue
     0.04s  0.82% 61.89%      0.06s  1.23%  runtime.sellock
     0.03s  0.61% 62.50%      0.07s  1.43%  bytes.(*Buffer).Write
     0.03s  0.61% 63.11%      0.03s  0.61%  encoding/binary.littleEndian.PutUint32
     0.03s  0.61% 63.73%      0.03s  0.61%  encoding/binary.littleEndian.PutUint64
     0.03s  0.61% 64.34%      0.03s  0.61%  github.com/snissn/gomap/TreeDB/collections.canonicalVectorPartitionNormalizedScoreV1
     0.03s  0.61% 64.96%      0.03s  0.61%  internal/runtime/atomic.(*Uint32).CompareAndSwap (inline)
     0.03s  0.61% 65.57%      0.03s  0.61%  runtime.(*mspan).writeHeapBitsSmall
     0.03s  0.61% 66.19%      0.05s  1.02%  runtime.(*traceMap).put
     0.03s  0.61% 66.80%      0.03s  0.61%  runtime.findObject
     0.03s  0.61% 67.42%      0.36s  7.38%  runtime.mallocgc
     0.03s  0.61% 68.03%      0.03s  0.61%  runtime.memhash64
     0.03s  0.61% 68.65%      0.18s  3.69%  runtime.netpoll
     0.03s  0.61% 69.26%      0.05s  1.02%  runtime.tryDeferToSpanScan
     0.03s  0.61% 69.88%      0.04s  0.82%  runtime.unlock2
     0.02s  0.41% 70.29%      0.04s  0.82%  bytes.(*Buffer).WriteString
     0.02s  0.41% 70.70%      0.63s 12.91%  encoding/json.arrayEncoder.encode
     0.02s  0.41% 71.11%      0.15s  3.07%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).scoreAndPushFrontierVisitedTile
