File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: cpu
Time: 2026-08-09 14:11:37 HST
Duration: 18.67s, Total samples = 6.40s (34.29%)
Showing nodes accounting for 2.47s, 38.59% of 6.40s total
Dropped 431 nodes (cum <= 0.03s)
Showing top 60 nodes out of 291
      flat  flat%   sum%        cum   cum%
         0     0%     0%      2.88s 45.00%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionProductionTopologyV1).serve.func1.2
         0     0%     0%      2.88s 45.00%  github.com/snissn/gomap/TreeDB/nativewire.VectorPartitionShardSearchTCPServerV1.ServeConn
         0     0%     0%      2.78s 43.44%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchServiceV1).Search
         0     0%     0%      1.91s 29.84%  main.(*vectorPartitionOperationsTCPServerV1).serve
         0     0%     0%      1.91s 29.84%  main.(*vectorPartitionOperationsTCPServerV1).start.func1.1
         0     0%     0%      1.90s 29.69%  github.com/snissn/gomap/TreeDB/collections.WithVectorPartitionStorageBarrierWithContextV1
         0     0%     0%      1.88s 29.38%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).loadVectorPartitionLifecycleAuthorityWithContextV1
         0     0%     0%      1.88s 29.38%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).loadVectorPartitionLifecycleCheckpointStateFromDirWithContextV1
         0     0%     0%      1.82s 28.44%  github.com/snissn/gomap/TreeDB/vectorpartition.(*OperationsV1).Search
         0     0%     0%      1.79s 27.97%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionPublicBackendV1).SearchVectorPartitionV1
         0     0%     0%      1.79s 27.97%  github.com/snissn/gomap/TreeDB/vectorpartition.(*ServiceV1).Search
         0     0%     0%      1.78s 27.81%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).Search
         0     0%     0%      1.64s 25.62%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1
         0     0%     0%      1.64s 25.62%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func2
         0     0%     0%      1.64s 25.62%  github.com/snissn/gomap/TreeDB/collections.writeVectorPartitionJSONSliceWithContextV1[go.shape.struct { VectorOrdinal uint64; PartitionID uint32 }]
