File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: cpu
Time: 2026-08-09 14:11:37 HST
Duration: 18.67s, Total samples = 6.40s (34.29%)
Showing nodes accounting for 5.09s, 79.53% of 6.40s total
Dropped 431 nodes (cum <= 0.03s)
Showing top 60 nodes out of 291
      flat  flat%   sum%        cum   cum%
     0.88s 13.75% 13.75%      0.98s 15.31%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionCoordinatorCandidateRowsV1.func1
     0.71s 11.09% 24.84%      0.71s 11.09%  internal/runtime/syscall/linux.Syscall6
     0.58s  9.06% 33.91%      0.58s  9.06%  crypto/internal/fips140/sha256.blockSHANI
     0.21s  3.28% 37.19%      0.21s  3.28%  runtime.memmove
     0.20s  3.12% 40.31%      1.19s 18.59%  encoding/json.structEncoder.encode
     0.18s  2.81% 43.12%      0.19s  2.97%  bytes.(*Buffer).Write
     0.18s  2.81% 45.94%      0.18s  2.81%  github.com/snissn/go-crc32-asm.crc32IEEEVPCLMUL512
     0.15s  2.34% 48.28%      0.18s  2.81%  bytes.(*Buffer).WriteString
     0.11s  1.72% 50.00%      0.15s  2.34%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).prepareSectionViewsWithContext
     0.11s  1.72% 51.72%      0.42s  6.56%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).searchCosineWithContext
     0.11s  1.72% 53.44%      0.11s  1.72%  github.com/tphakala/simd/f32.dotProductAVX512
     0.10s  1.56% 55.00%      0.12s  1.88%  bytes.(*Buffer).WriteByte
     0.10s  1.56% 56.56%      0.10s  1.56%  github.com/snissn/gomap/TreeDB/nativewire.addUint64V1 (inline)
     0.10s  1.56% 58.13%      0.10s  1.56%  runtime.memclrNoHeapPointers
     0.09s  1.41% 59.53%      0.09s  1.41%  internal/strconv.formatBase10
     0.09s  1.41% 60.94%      0.14s  2.19%  reflect.Value.Field
     0.07s  1.09% 62.03%      0.08s  1.25%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.DecodeRawUint32OffsetsListFallback
     0.06s  0.94% 62.97%      1.21s 18.91%  encoding/json.arrayEncoder.encode
     0.06s  0.94% 63.91%      0.39s  6.09%  encoding/json.uintEncoder
     0.06s  0.94% 64.84%      0.11s  1.72%  runtime.selectgo
     0.05s  0.78% 65.62%      0.05s  0.78%  internal/abi.Name.IsExported (inline)
     0.05s  0.78% 66.41%      0.05s  0.78%  runtime.madvise
     0.05s  0.78% 67.19%      0.05s  0.78%  runtime.step
     0.05s  0.78% 67.97%      0.07s  1.09%  runtime.typePointers.next
     0.04s  0.62% 68.59%      0.08s  1.25%  github.com/snissn/gomap/TreeDB/collections.canonicalVectorPartitionNormalizedScoreV1
     0.04s  0.62% 69.22%      0.04s  0.62%  github.com/snissn/gomap/TreeDB/collections.validateColumnVectorIndexStateAdjacencySections
     0.04s  0.62% 69.84%      0.04s  0.62%  internal/runtime/maps.(*groupReference).key (inline)
     0.04s  0.62% 70.47%      0.04s  0.62%  runtime.futex
     0.04s  0.62% 71.09%      0.08s  1.25%  runtime.mapaccess2_fast32
     0.04s  0.62% 71.72%      0.04s  0.62%  sync/atomic.(*Bool).Load (inline)
     0.03s  0.47% 72.19%      0.04s  0.62%  github.com/snissn/gomap/TreeDB/collections.canonicalVectorPartitionAccumulateV1 (inline)
     0.03s  0.47% 72.66%      0.11s  1.72%  github.com/snissn/gomap/TreeDB/collections.validateMembershipsWithContextVPM
     0.03s  0.47% 73.12%      0.04s  0.62%  runtime.mapaccess2_fast64
     0.02s  0.31% 73.44%      0.05s  0.78%  encoding/json.(*Decoder).readValue
     0.02s  0.31% 73.75%      0.05s  0.78%  encoding/json.(*decodeState).array
     0.02s  0.31% 74.06%      0.29s  4.53%  github.com/snissn/gomap/TreeDB/collections.(*Collection).newColumnVectorGraphTypedColumnVectorSource
     0.02s  0.31% 74.38%      0.04s  0.62%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphNativeSearchScratch).insertTop
     0.02s  0.31% 74.69%      0.07s  1.09%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphRowRefStateSource).rowRefForOrdinal
     0.02s  0.31% 75.00%      1.07s 16.72%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.validateWithContextV1
     0.02s  0.31% 75.31%      0.05s  0.78%  github.com/snissn/gomap/TreeDB/internal/typeddecode.PreparedInt64DirectView.Alive (inline)
     0.02s  0.31% 75.62%      0.20s  3.12%  internal/strconv.AppendUint
     0.02s  0.31% 75.94%      0.04s  0.62%  runtime.(*traceMap).put
     0.02s  0.31% 76.25%      0.08s  1.25%  runtime.pcvalue
     0.02s  0.31% 76.56%      0.04s  0.62%  runtime.scanObjectsSmall
     0.02s  0.31% 76.88%      0.04s  0.62%  runtime.scanblock
     0.02s  0.31% 77.19%      0.04s  0.62%  runtime.stealWork
     0.02s  0.31% 77.50%      0.05s  0.78%  runtime.tryDeferToSpanScan
