File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: delay
Time: 2026-08-09 14:11:55 HST
Showing nodes accounting for 534.18s, 100% of 534.19s total
Dropped 43 nodes (cum <= 2.67s)
Showing top 40 nodes out of 45
      flat  flat%   sum%        cum   cum%
   482.38s 90.30% 90.30%    482.38s 90.30%  runtime.selectgo
         0     0% 90.30%    320.43s 59.99%  github.com/hashicorp/raft.(*raftState).goFunc.func1
         0     0% 90.30%     74.66s 13.98%  github.com/hashicorp/raft.(*Raft).run
         0     0% 90.30%     74.66s 13.98%  github.com/hashicorp/raft.(*Raft).run-fm
         0     0% 90.30%     68.99s 12.92%  github.com/hashicorp/raft.(*Raft).pipelineDecode
         0     0% 90.30%     68.99s 12.92%  github.com/hashicorp/raft.(*Raft).pipelineReplicate.func1
         0     0% 90.30%     68.80s 12.88%  github.com/hashicorp/raft.(*inmemPipeline).decodeResponses
         0     0% 90.30%     68.80s 12.88%  github.com/hashicorp/raft.newInmemPipeline.gowrap1
         0     0% 90.30%     68.73s 12.87%  github.com/hashicorp/raft.(*Raft).pipelineReplicate
         0     0% 90.30%     68.73s 12.87%  github.com/hashicorp/raft.(*Raft).replicate
         0     0% 90.30%     68.73s 12.87%  github.com/hashicorp/raft.(*Raft).startStopReplication.func1
         0     0% 90.30%     66.64s 12.48%  github.com/hashicorp/raft.(*Raft).heartbeat
         0     0% 90.30%     66.64s 12.48%  github.com/hashicorp/raft.(*Raft).replicate.func1
         0     0% 90.30%     52.89s  9.90%  github.com/hashicorp/raft.(*Raft).runFollower
    51.80s  9.70%   100%     51.80s  9.70%  runtime.chanrecv1
         0     0%   100%     49.46s  9.26%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionProductionTopologyV1).serve.func1.2
         0     0%   100%     49.46s  9.26%  github.com/snissn/gomap/TreeDB/nativewire.VectorPartitionShardSearchTCPServerV1.ServeConn
         0     0%   100%     49.43s  9.25%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchServiceV1).Search
         0     0%   100%     45.46s  8.51%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).PinVectorPartitionGenerationV1
         0     0%   100%     45.46s  8.51%  github.com/snissn/gomap/TreeDB/nativewire.(*vectorPartitionProductionNodeGenerationSourceV1).PinVectorPartitionGenerationV1
         0     0%   100%     45.46s  8.51%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionProductionNodeGenerationSourceV1.PinVectorPartitionGenerationV1
         0     0%   100%     41.41s  7.75%  github.com/hashicorp/raft.(*Raft).runFSM
         0     0%   100%     41.41s  7.75%  github.com/hashicorp/raft.(*Raft).runFSM-fm
         0     0%   100%     35.48s  6.64%  github.com/snissn/gomap/TreeDB/internal/raftcluster.(*CatalogMetaRaftProviderV1).LinearizableCatalogMetaAppliedIndexV1
         0     0%   100%     35.48s  6.64%  github.com/snissn/gomap/TreeDB/nativewire.(*LinearizableCatalogVectorPartitionLifecycleAuthorityV1).ValidateVectorPartitionGenerationSearchV1
         0     0%   100%     35.47s  6.64%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).validateActive
         0     0%   100%     35.14s  6.58%  github.com/snissn/gomap/TreeDB/internal/raftcluster.waitHashicorpRaftFuture
         0     0%   100%     34.83s  6.52%  github.com/hashicorp/raft.(*deferError).Error
         0     0%   100%     34.83s  6.52%  github.com/snissn/gomap/TreeDB/internal/raftcluster.waitHashicorpRaftFuture.func1
         0     0%   100%     33.39s  6.25%  runtime.(*wakeableSleep).sleep
         0     0%   100%     21.77s  4.08%  github.com/hashicorp/raft.(*Raft).leaderLoop
         0     0%   100%     21.77s  4.08%  github.com/hashicorp/raft.(*Raft).runLeader
         0     0%   100%     17.26s  3.23%  main.main
         0     0%   100%     17.26s  3.23%  main.run
         0     0%   100%     17.26s  3.23%  main.runVectorPartitionSystemNodeV1
         0     0%   100%     17.26s  3.23%  runtime.main
         0     0%   100%     17.16s  3.21%  runtime.traceStartReadCPU.func1
         0     0%   100%     16.23s  3.04%  runtime.(*traceAdvancerState).start.func1
         0     0%   100%        10s  1.87%  github.com/hashicorp/raft.(*Raft).runLeader.gowrap1
         0     0%   100%        10s  1.87%  github.com/hashicorp/raft.emitLogStoreMetrics
