File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: delay
Time: 2026-08-09 14:11:55 HST
Showing nodes accounting for 9.90ms, 100% of 9.90ms total
Dropped 130 nodes (cum <= 0.05ms)
      flat  flat%   sum%        cum   cum%
         0     0%     0%     9.76ms 98.63%  github.com/hashicorp/raft.(*raftState).goFunc.func1
    9.75ms 98.54% 98.54%     9.75ms 98.54%  sync.(*Mutex).Unlock (partial-inline)
         0     0% 98.54%     9.37ms 94.68%  github.com/hashicorp/raft-boltdb/v2.(*BoltStore).StoreLogs
         0     0% 98.54%     9.37ms 94.68%  github.com/hashicorp/raft.(*Raft).run
         0     0% 98.54%     9.36ms 94.58%  github.com/hashicorp/raft.(*Raft).dispatchLogs
         0     0% 98.54%     9.36ms 94.58%  github.com/hashicorp/raft.(*Raft).leaderLoop
         0     0% 98.54%     9.36ms 94.58%  github.com/hashicorp/raft.(*Raft).run-fm
         0     0% 98.54%     9.36ms 94.58%  github.com/hashicorp/raft.(*Raft).runLeader
         0     0% 98.54%     9.31ms 94.06%  go.etcd.io/bbolt.(*Tx).Commit
         0     0% 98.54%     9.31ms 94.06%  go.etcd.io/bbolt.(*Tx).writeMeta
         0     0% 98.54%     0.39ms  3.93%  github.com/hashicorp/raft-boltdb/v2.(*BoltStore).GetLog
         0     0% 98.54%     0.39ms  3.93%  github.com/hashicorp/raft.(*Raft).pipelineReplicate
         0     0% 98.54%     0.39ms  3.93%  github.com/hashicorp/raft.(*Raft).pipelineSend
         0     0% 98.54%     0.39ms  3.93%  github.com/hashicorp/raft.(*Raft).replicate
         0     0% 98.54%     0.39ms  3.93%  github.com/hashicorp/raft.(*Raft).setupAppendEntries
         0     0% 98.54%     0.39ms  3.93%  github.com/hashicorp/raft.(*Raft).startStopReplication.func1
         0     0% 98.54%     0.32ms  3.21%  go.etcd.io/bbolt.(*DB).Begin
         0     0% 98.54%     0.29ms  2.93%  github.com/hashicorp/raft.(*Raft).setNewLogs
         0     0% 98.54%     0.26ms  2.60%  go.etcd.io/bbolt.(*DB).beginTx
    0.14ms  1.44%   100%     0.14ms  1.44%  runtime.unlock (partial-inline)
         0     0%   100%     0.13ms  1.34%  github.com/hashicorp/raft-boltdb/v2.(*BoltStore).GetLog.deferwrap2
         0     0%   100%     0.13ms  1.34%  go.etcd.io/bbolt.(*DB).removeTx
         0     0%   100%     0.13ms  1.34%  go.etcd.io/bbolt.(*Tx).Rollback
         0     0%   100%     0.13ms  1.34%  go.etcd.io/bbolt.(*Tx).close
         0     0%   100%     0.13ms  1.34%  go.etcd.io/bbolt.(*Tx).nonPhysicalRollback
         0     0%   100%     0.11ms  1.12%  runtime.systemstack
         0     0%   100%     0.10ms  1.01%  github.com/hashicorp/raft.(*Raft).setPreviousLog
         0     0%   100%     0.06ms  0.65%  runtime.gcBgMarkWorker
         0     0%   100%     0.06ms  0.65%  runtime.gcMarkDone
         0     0%   100%     0.06ms  0.62%  go.etcd.io/bbolt.(*DB).beginRWTx
         0     0%   100%     0.06ms  0.56%  runtime.gcMarkTermination
         0     0%   100%     0.06ms  0.56%  runtime.gcMarkTermination.func3
         0     0%   100%     0.06ms  0.56%  runtime.startTheWorldWithSema
