File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: cpu
Time: 2026-08-09 14:11:39 HST
Duration: 16.87s, Total samples = 3.33s (19.74%)
Showing nodes accounting for 2.60s, 78.08% of 3.33s total
Dropped 268 nodes (cum <= 0.02s)
Showing top 60 nodes out of 318
      flat  flat%   sum%        cum   cum%
     0.34s 10.21% 10.21%      0.34s 10.21%  crypto/internal/fips140/sha256.blockSHANI
     0.19s  5.71% 15.92%      0.19s  5.71%  internal/runtime/syscall/linux.Syscall6
     0.18s  5.41% 21.32%      0.78s 23.42%  encoding/json.structEncoder.encode
     0.12s  3.60% 24.92%      0.20s  6.01%  runtime.scanObject
     0.11s  3.30% 28.23%      0.11s  3.30%  runtime.memmove
     0.10s  3.00% 31.23%      0.11s  3.30%  bytes.(*Buffer).Write
     0.10s  3.00% 34.23%      0.15s  4.50%  reflect.Value.Field
     0.09s  2.70% 36.94%      0.11s  3.30%  bytes.(*Buffer).WriteByte
     0.09s  2.70% 39.64%      0.09s  2.70%  github.com/tphakala/simd/f32.dotProductAVX512
     0.08s  2.40% 42.04%      0.08s  2.40%  github.com/snissn/go-crc32-asm.crc32IEEEVPCLMUL512
     0.07s  2.10% 44.14%      0.37s 11.11%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).searchCosineWithContext
     0.07s  2.10% 46.25%      0.08s  2.40%  runtime.typePointers.next
     0.06s  1.80% 48.05%      0.06s  1.80%  runtime.memclrNoHeapPointers
     0.05s  1.50% 49.55%      0.10s  3.00%  bytes.(*Buffer).WriteString
     0.05s  1.50% 51.05%      0.05s  1.50%  bytes.(*Buffer).tryGrowByReslice (inline)
     0.05s  1.50% 52.55%      0.28s  8.41%  encoding/json.uintEncoder
     0.05s  1.50% 54.05%      0.05s  1.50%  internal/strconv.formatBase10
     0.04s  1.20% 55.26%      0.07s  2.10%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).prepareSectionViewsWithContext
     0.04s  1.20% 56.46%      0.05s  1.50%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphNativeSearchScratch).insertTop
     0.04s  1.20% 57.66%      0.04s  1.20%  runtime.step
     0.03s   0.9% 58.56%      0.03s   0.9%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).adjacencyLayerForOrdinal
     0.03s   0.9% 59.46%      0.03s   0.9%  github.com/snissn/gomap/TreeDB/collections.canonicalVectorPartitionAccumulateV1 (inline)
     0.03s   0.9% 60.36%      0.03s   0.9%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.DecodeRawUint32OffsetsListFallback
     0.03s   0.9% 61.26%      0.13s  3.90%  github.com/snissn/gomap/TreeDB/internal/vectorops.DotFloat32
     0.03s   0.9% 62.16%      0.03s   0.9%  internal/abi.Name.IsExported (inline)
     0.03s   0.9% 63.06%      0.03s   0.9%  internal/runtime/maps.ctrlGroup.matchH2 (inline)
     0.03s   0.9% 63.96%      0.12s  3.60%  internal/strconv.AppendUint
     0.03s   0.9% 64.86%      0.03s   0.9%  runtime.findObject
     0.03s   0.9% 65.77%      0.03s   0.9%  runtime.nextFreeFast (inline)
     0.03s   0.9% 66.67%      0.04s  1.20%  runtime.selectgo
     0.02s   0.6% 67.27%      0.87s 26.13%  encoding/json.arrayEncoder.encode
     0.02s   0.6% 67.87%      0.03s   0.9%  encoding/json.indirect
     0.02s   0.6% 68.47%      0.16s  4.80%  github.com/hashicorp/raft.(*Raft).runFollower
     0.02s   0.6% 69.07%      0.05s  1.50%  github.com/snissn/gomap/TreeDB/collections.canonicalVectorPartitionNormalizedScoreV1
     0.02s   0.6% 69.67%      0.04s  1.20%  github.com/snissn/gomap/TreeDB/collections.newColumnVectorGraphRowRefStateSourceFromRoot
     0.02s   0.6% 70.27%      0.07s  2.10%  github.com/snissn/gomap/TreeDB/collections.validateMembershipsWithContextVPM
     0.02s   0.6% 70.87%      0.02s   0.6%  memeqbody
     0.02s   0.6% 71.47%      0.04s  1.20%  reflect.Value.Index
     0.02s   0.6% 72.07%      0.02s   0.6%  reflect.flag.kind (inline)
     0.02s   0.6% 72.67%      0.05s  1.50%  runtime.mapaccess2_fast32
     0.01s   0.3% 72.97%      0.02s   0.6%  github.com/hashicorp/go-msgpack/v2/codec.(*ioDecReader).readn1
     0.01s   0.3% 73.27%      0.03s   0.9%  github.com/hashicorp/raft.(*Raft).getRPCHeader
     0.01s   0.3% 73.57%      0.02s   0.6%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).fetchTopSearchResults
     0.01s   0.3% 73.87%      0.19s  5.71%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).scoreAndPushFrontierVisitedTile
