File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: alloc_space
Time: 2026-08-09 14:08:49 HST
Showing nodes accounting for 4468.59MB, 41.62% of 10735.66MB total
Dropped 421 nodes (cum <= 53.68MB)
Showing top 60 nodes out of 169
      flat  flat%   sum%        cum   cum%
         0     0%     0%  7929.52MB 73.86%  runtime.main
         0     0%     0%  7929.02MB 73.86%  main.main
         0     0%     0%  7929.02MB 73.86%  main.run
         0     0%     0%  7929.02MB 73.86%  main.runVectorPartitionSystemNodeV1
         0     0%     0%  7925.83MB 73.83%  main.openVectorPartitionSystemNodeV1
         0     0%     0%  7673.83MB 71.48%  main.openM8ProductionMultiGroupExistingAssetsV1
         0     0%     0%  5113.89MB 47.63%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReader
         0     0%     0%  5113.89MB 47.63%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot
         0     0%     0%  5048.66MB 47.03%  github.com/snissn/gomap/TreeDB/collections.(*Collection).acquireColumnVectorGraphSharedPreparedSearch
         0     0%     0%  5048.66MB 47.03%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot.func1
         0     0%     0%  5048.66MB 47.03%  github.com/snissn/gomap/TreeDB/collections.(*Collection).prepareColumnVectorGraphPhysicalRowReaderSourcesAtSnapshot
         0     0%     0%  4470.56MB 41.64%  github.com/snissn/gomap/TreeDB/collections.(*Collection).VectorPartitionStatusV1
         0     0%     0%  4470.56MB 41.64%  main.m8BindRetainedM3DescriptorV1
         0     0%     0%  4126.68MB 38.44%  github.com/snissn/gomap/TreeDB/collections.(*Collection).validateVectorPartitionAssetMembershipBindingsV1
         0     0%     0%  3053.66MB 28.44%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphAdjacencyStateSourcesForReader
         0     0%     0%  3053.66MB 28.44%  github.com/snissn/gomap/TreeDB/collections.newColumnVectorGraphAdjacencyStateDirectSourceFromRoot
         0     0%     0%  3053.66MB 28.44%  github.com/snissn/gomap/TreeDB/collections.openColumnVectorGraphAdjacencyStateSourcesFromRoot
