File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: delay
Time: 2026-08-09 14:08:49 HST
Showing nodes accounting for 2001.10s, 98.46% of 2032.35s total
Dropped 72 nodes (cum <= 10.16s)
Showing top 40 nodes out of 46
      flat  flat%   sum%        cum   cum%
  1805.30s 88.83% 88.83%   1805.30s 88.83%  runtime.selectgo
         0     0% 88.83%   1299.71s 63.95%  github.com/hashicorp/raft.(*raftState).goFunc.func1
         0     0% 88.83%    323.18s 15.90%  github.com/hashicorp/raft.(*Raft).run
         0     0% 88.83%    323.18s 15.90%  github.com/hashicorp/raft.(*Raft).run-fm
         0     0% 88.83%    262.54s 12.92%  github.com/hashicorp/raft.(*Raft).pipelineDecode
         0     0% 88.83%    262.54s 12.92%  github.com/hashicorp/raft.(*Raft).pipelineReplicate.func1
         0     0% 88.83%    262.41s 12.91%  github.com/hashicorp/raft.(*inmemPipeline).decodeResponses
         0     0% 88.83%    262.41s 12.91%  github.com/hashicorp/raft.newInmemPipeline.gowrap1
         0     0% 88.83%    262.16s 12.90%  github.com/hashicorp/raft.(*Raft).pipelineReplicate
         0     0% 88.83%    262.16s 12.90%  github.com/hashicorp/raft.(*Raft).replicate
         0     0% 88.83%    262.16s 12.90%  github.com/hashicorp/raft.(*Raft).startStopReplication.func1
         0     0% 88.83%    260.55s 12.82%  github.com/hashicorp/raft.(*Raft).heartbeat
         0     0% 88.83%    260.55s 12.82%  github.com/hashicorp/raft.(*Raft).replicate.func1
         0     0% 88.83%    215.28s 10.59%  github.com/hashicorp/raft.(*Raft).runFollower
   195.81s  9.63% 98.46%    195.81s  9.63%  runtime.chanrecv1
         0     0% 98.46%    191.29s  9.41%  github.com/hashicorp/raft.(*Raft).runFSM
         0     0% 98.46%    191.29s  9.41%  github.com/hashicorp/raft.(*Raft).runFSM-fm
         0     0% 98.46%    130.13s  6.40%  runtime.(*wakeableSleep).sleep
         0     0% 98.46%    110.01s  5.41%  github.com/hashicorp/raft.(*Raft).runLeader.gowrap1
         0     0% 98.46%    110.01s  5.41%  github.com/hashicorp/raft.emitLogStoreMetrics
         0     0% 98.46%    107.90s  5.31%  github.com/hashicorp/raft.(*Raft).leaderLoop
         0     0% 98.46%    107.90s  5.31%  github.com/hashicorp/raft.(*Raft).runLeader
         0     0% 98.46%     65.66s  3.23%  main.main
         0     0% 98.46%     65.66s  3.23%  main.run
         0     0% 98.46%     65.66s  3.23%  main.runVectorPartitionSystemNodeV1
         0     0% 98.46%     65.66s  3.23%  runtime.main
         0     0% 98.46%     65.56s  3.23%  runtime.traceStartReadCPU.func1
         0     0% 98.46%     64.56s  3.18%  runtime.(*traceAdvancerState).start.func1
         0     0% 98.46%     61.76s  3.04%  main.(*vectorPartitionOperationsTCPServerV1).serve
         0     0% 98.46%     61.76s  3.04%  main.(*vectorPartitionOperationsTCPServerV1).start.func1.1
         0     0% 98.46%     61.75s  3.04%  github.com/snissn/gomap/TreeDB/vectorpartition.(*OperationsV1).Search
         0     0% 98.46%     52.02s  2.56%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionShardSearchTCPInterruptOnCancelV1.func2
         0     0% 98.46%     46.80s  2.30%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).Search
         0     0% 98.46%     46.80s  2.30%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionPublicBackendV1).SearchVectorPartitionV1
         0     0% 98.46%     46.80s  2.30%  github.com/snissn/gomap/TreeDB/vectorpartition.(*ServiceV1).Search
         0     0% 98.46%     40.59s  2.00%  github.com/snissn/gomap/TreeDB/internal/raftcluster.waitHashicorpRaftFuture
         0     0% 98.46%     40.57s  2.00%  github.com/snissn/gomap/TreeDB/internal/raftcluster.(*CatalogMetaRaftProviderV1).LinearizableCatalogMetaAppliedIndexV1
         0     0% 98.46%     40.56s  2.00%  github.com/hashicorp/raft.(*deferError).Error
         0     0% 98.46%     40.56s  2.00%  github.com/snissn/gomap/TreeDB/internal/raftcluster.waitHashicorpRaftFuture.func1
         0     0% 98.46%     31.25s  1.54%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).dispatch
