File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: cpu
Time: 2026-08-09 14:07:45 HST
Duration: 64.32s, Total samples = 4.73s ( 7.35%)
Showing nodes accounting for 0.65s, 13.74% of 4.73s total
Dropped 331 nodes (cum <= 0.02s)
Showing top 60 nodes out of 315
      flat  flat%   sum%        cum   cum%
         0     0%     0%      2.93s 61.95%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionProductionTopologyV1).serve.func1.2
     0.01s  0.21%  0.21%      2.93s 61.95%  github.com/snissn/gomap/TreeDB/nativewire.VectorPartitionShardSearchTCPServerV1.ServeConn
         0     0%  0.21%      2.81s 59.41%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchServiceV1).Search
         0     0%  0.21%      1.35s 28.54%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenVectorPartitionLocalSearcherForGenerationSearchPlanWithContextV1
         0     0%  0.21%      1.35s 28.54%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openVectorPartitionLocalSearcherForPreparedPartitionWithContextV1
         0     0%  0.21%      1.35s 28.54%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationCacheV1).openPartition
         0     0%  0.21%      1.35s 28.54%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationLeaseV1).OpenPartition
         0     0%  0.21%      1.23s 26.00%  github.com/snissn/gomap/TreeDB/collections.(*Collection).acquireColumnVectorGraphSharedPreparedSearch
         0     0%  0.21%      1.23s 26.00%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReader
         0     0%  0.21%      1.23s 26.00%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot
         0     0%  0.21%      1.23s 26.00%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot.func1
         0     0%  0.21%      1.23s 26.00%  github.com/snissn/gomap/TreeDB/collections.(*Collection).prepareColumnVectorGraphPhysicalRowReaderSourcesAtSnapshot
         0     0%  0.21%      1.09s 23.04%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).PinVectorPartitionGenerationV1
         0     0%  0.21%      1.09s 23.04%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).loadGeneration
         0     0%  0.21%      1.09s 23.04%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionProductionNodeGenerationSourceV1.PinVectorPartitionGenerationV1
         0     0%  0.21%      1.08s 22.83%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).loadVectorPartitionLifecycleAuthorityWithContextV1
         0     0%  0.21%      1.08s 22.83%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).loadVectorPartitionLifecycleCheckpointStateFromDirWithContextV1
         0     0%  0.21%      1.08s 22.83%  github.com/snissn/gomap/TreeDB/collections.WithVectorPartitionStorageBarrierV1 (inline)
         0     0%  0.21%      1.08s 22.83%  github.com/snissn/gomap/TreeDB/collections.WithVectorPartitionStorageBarrierWithContextV1
         0     0%  0.21%      0.97s 20.51%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1
         0     0%  0.21%      0.97s 20.51%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func2
         0     0%  0.21%      0.97s 20.51%  github.com/snissn/gomap/TreeDB/collections.writeVectorPartitionJSONSliceWithContextV1[go.shape.struct { VectorOrdinal uint64; PartitionID uint32 }]
         0     0%  0.21%      0.84s 17.76%  github.com/hashicorp/raft.(*raftState).goFunc.func1
         0     0%  0.21%      0.83s 17.55%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleCheckpointTailV1
         0     0%  0.21%      0.80s 16.91%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func4
         0     0%  0.21%      0.69s 14.59%  encoding/json.Marshal
         0     0%  0.21%      0.67s 14.16%  github.com/snissn/gomap/TreeDB/collections.encodeVectorPartitionManifestWithContextV1
         0     0%  0.21%      0.66s 13.95%  github.com/snissn/gomap/TreeDB/collections.applyVectorPartitionReadyPromotionV1
         0     0%  0.21%      0.66s 13.95%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleRecordV1
     0.01s  0.21%  0.42%      0.64s 13.53%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.validateWithContextV1
         0     0%  0.42%      0.63s 13.32%  encoding/json.(*encodeState).marshal
         0     0%  0.42%      0.63s 13.32%  encoding/json.(*encodeState).reflectValue
     0.01s  0.21%  0.63%      0.63s 13.32%  encoding/json.arrayEncoder.encode
         0     0%  0.63%      0.63s 13.32%  encoding/json.sliceEncoder.encode
     0.16s  3.38%  4.02%      0.57s 12.05%  encoding/json.structEncoder.encode
         0     0%  4.02%      0.55s 11.63%  github.com/snissn/gomap/TreeDB/collections.(*Collection).AcquireVectorPartitionReaderPinWithContextV1
         0     0%  4.02%      0.55s 11.63%  github.com/snissn/gomap/TreeDB/collections.(*Collection).AcquireVectorPartitionReaderPinWithContextV1.func1
         0     0%  4.02%      0.55s 11.63%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).OpenWithContext
         0     0%  4.02%      0.53s 11.21%  github.com/snissn/gomap/TreeDB/collections.(*Collection).PreparedVectorPartitionManifestWithContextV1
         0     0%  4.02%      0.53s 11.21%  github.com/snissn/gomap/TreeDB/collections.(*Collection).PreparedVectorPartitionManifestWithContextV1.func1
         0     0%  4.02%      0.52s 10.99%  github.com/hashicorp/raft.(*Raft).run
         0     0%  4.02%      0.47s  9.94%  runtime.mcall
         0     0%  4.02%      0.47s  9.94%  runtime.park_m
         0     0%  4.02%      0.45s  9.51%  github.com/snissn/gomap/TreeDB/collections.EncodeVectorPartitionManifestV1 (inline)
         0     0%  4.02%      0.45s  9.51%  runtime.schedule
     0.42s  8.88% 12.90%      0.42s  8.88%  internal/runtime/syscall/linux.Syscall6
         0     0% 12.90%      0.42s  8.88%  runtime.systemstack
     0.01s  0.21% 13.11%      0.40s  8.46%  github.com/snissn/gomap/TreeDB/collections.(*Collection).newColumnVectorGraphTypedColumnVectorSource
         0     0% 13.11%      0.40s  8.46%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphTypedColumnVectorSourceForReader
     0.02s  0.42% 13.53%      0.40s  8.46%  runtime.findRunnable
         0     0% 13.53%      0.39s  8.25%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionManifestV1).canonicalizeWithContextV1
     0.01s  0.21% 13.74%      0.36s  7.61%  github.com/hashicorp/raft.(*Raft).runFollower
         0     0% 13.74%      0.35s  7.40%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionLocalSearcherV1).SearchWithOptionsV1
         0     0% 13.74%      0.35s  7.40%  github.com/snissn/gomap/TreeDB/nativewire.searchVectorPartitionDirectV1
         0     0% 13.74%      0.35s  7.40%  syscall.RawSyscall6
         0     0% 13.74%      0.34s  7.19%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphAdjacencyStateSourcesForReader
         0     0% 13.74%      0.34s  7.19%  github.com/snissn/gomap/TreeDB/collections.canonicalVectorPartitionLifecycleCheckpointWithContextV1
         0     0% 13.74%      0.34s  7.19%  github.com/snissn/gomap/TreeDB/collections.newColumnVectorGraphAdjacencyStateDirectSourceFromRoot
         0     0% 13.74%      0.34s  7.19%  github.com/snissn/gomap/TreeDB/collections.openColumnVectorGraphAdjacencyStateSourcesFromRoot
         0     0% 13.74%      0.32s  6.77%  crypto/internal/fips140/sha256.(*Digest).Write
