File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: alloc_space
Time: 2026-08-09 14:08:49 HST
Showing nodes accounting for 5122.26MB, 51.03% of 10037.01MB total
Dropped 344 nodes (cum <= 50.19MB)
Showing top 60 nodes out of 141
      flat  flat%   sum%        cum   cum%
         0     0%     0%  7912.42MB 78.83%  runtime.main
         0     0%     0%  7911.92MB 78.83%  main.main
         0     0%     0%  7911.92MB 78.83%  main.run
         0     0%     0%  7911.92MB 78.83%  main.runVectorPartitionSystemNodeV1
         0     0%     0%  7905.33MB 78.76%  main.openVectorPartitionSystemNodeV1
         0     0%     0%  7652.83MB 76.25%  main.openM8ProductionMultiGroupExistingAssetsV1
         0     0%     0%  5109.19MB 50.90%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReader
         0     0%     0%  5109.19MB 50.90%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot
         0     0%     0%  5042.45MB 50.24%  github.com/snissn/gomap/TreeDB/collections.(*Collection).acquireColumnVectorGraphSharedPreparedSearch
         0     0%     0%  5042.45MB 50.24%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot.func1
         0     0%     0%  5042.45MB 50.24%  github.com/snissn/gomap/TreeDB/collections.(*Collection).prepareColumnVectorGraphPhysicalRowReaderSourcesAtSnapshot
         0     0%     0%  4463.51MB 44.47%  github.com/snissn/gomap/TreeDB/collections.(*Collection).VectorPartitionStatusV1
         0     0%     0%  4463.51MB 44.47%  main.m8BindRetainedM3DescriptorV1
         0     0%     0%  4127.46MB 41.12%  github.com/snissn/gomap/TreeDB/collections.(*Collection).validateVectorPartitionAssetMembershipBindingsV1
         0     0%     0%  3039.94MB 30.29%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphAdjacencyStateSourcesForReader
         0     0%     0%  3039.94MB 30.29%  github.com/snissn/gomap/TreeDB/collections.newColumnVectorGraphAdjacencyStateDirectSourceFromRoot
         0     0%     0%  3039.94MB 30.29%  github.com/snissn/gomap/TreeDB/collections.openColumnVectorGraphAdjacencyStateSourcesFromRoot
    0.50MB 0.005% 0.005%  2820.68MB 28.10%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.ColumnPartFromImageWithOptions
         0     0% 0.005%  2784.56MB 27.74%  main.openM8ProductionExistingAssetSetV1
         0     0% 0.005%  2444.44MB 24.35%  github.com/snissn/gomap/TreeDB/db.Open
         0     0% 0.005%  2443.94MB 24.35%  github.com/snissn/gomap/TreeDB/db.openReadOnly
         0     0% 0.005%  2435.72MB 24.27%  github.com/snissn/gomap/TreeDB/db.scanCommandWALSegmentReader
         0     0% 0.005%  2435.72MB 24.27%  github.com/snissn/gomap/TreeDB/db.scanCommandWALSegmentWithOptions
         0     0% 0.005%  2435.72MB 24.27%  github.com/snissn/gomap/TreeDB/db.scanCommandWALSegmentWithSeen (inline)
         0     0% 0.005%  2435.72MB 24.27%  github.com/snissn/gomap/TreeDB/internal/commitlog.(*Reader).ReadCommandFrame
         0     0% 0.005%  2196.36MB 21.88%  github.com/snissn/gomap/TreeDB/collections.typedColumnAdapterPartFromImageWithoutRowLocators (inline)
         0     0% 0.005%  2196.36MB 21.88%  github.com/snissn/gomap/TreeDB/collections.typedColumnAdapterPartFromImageWithoutRowLocatorsWithDiagnostics
         0     0% 0.005%  2185.56MB 21.78%  github.com/snissn/gomap/TreeDB/collections.readColumnPhysicalAssetFromManager
         0     0% 0.005%  2185.56MB 21.78%  github.com/snissn/gomap/TreeDB/collections.readColumnPhysicalAssetFromManagerInto (inline)
 2185.56MB 21.78% 21.78%  2185.56MB 21.78%  github.com/snissn/gomap/TreeDB/collections.readColumnPhysicalAssetFromManagerIntoWithIntegrity
         0     0% 21.78%  2185.31MB 21.77%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.attachColumnPayloadsFromImage
