File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: cpu
Time: 2026-08-09 14:07:43 HST
Duration: 66.06s, Total samples = 4.79s ( 7.25%)
Showing nodes accounting for 0.81s, 16.91% of 4.79s total
Dropped 365 nodes (cum <= 0.02s)
Showing top 60 nodes out of 340
      flat  flat%   sum%        cum   cum%
         0     0%     0%      2.99s 62.42%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionProductionTopologyV1).serve.func1.2
         0     0%     0%      2.99s 62.42%  github.com/snissn/gomap/TreeDB/nativewire.VectorPartitionShardSearchTCPServerV1.ServeConn
     0.01s  0.21%  0.21%      2.82s 58.87%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchServiceV1).Search
         0     0%  0.21%      1.29s 26.93%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenVectorPartitionLocalSearcherForGenerationSearchPlanWithContextV1
         0     0%  0.21%      1.29s 26.93%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openVectorPartitionLocalSearcherForPreparedPartitionWithContextV1
         0     0%  0.21%      1.29s 26.93%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationCacheV1).openPartition
         0     0%  0.21%      1.29s 26.93%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationLeaseV1).OpenPartition
         0     0%  0.21%      1.17s 24.43%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReader
         0     0%  0.21%      1.17s 24.43%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot
         0     0%  0.21%      1.15s 24.01%  github.com/snissn/gomap/TreeDB/collections.(*Collection).acquireColumnVectorGraphSharedPreparedSearch
         0     0%  0.21%      1.15s 24.01%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot.func1
         0     0%  0.21%      1.15s 24.01%  github.com/snissn/gomap/TreeDB/collections.(*Collection).prepareColumnVectorGraphPhysicalRowReaderSourcesAtSnapshot
         0     0%  0.21%      1.14s 23.80%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).PinVectorPartitionGenerationV1
         0     0%  0.21%      1.14s 23.80%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionProductionNodeGenerationSourceV1.PinVectorPartitionGenerationV1
         0     0%  0.21%      1.11s 23.17%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).loadVectorPartitionLifecycleAuthorityWithContextV1
         0     0%  0.21%      1.11s 23.17%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).loadVectorPartitionLifecycleCheckpointStateFromDirWithContextV1
         0     0%  0.21%      1.11s 23.17%  github.com/snissn/gomap/TreeDB/collections.WithVectorPartitionStorageBarrierV1 (inline)
         0     0%  0.21%      1.11s 23.17%  github.com/snissn/gomap/TreeDB/collections.WithVectorPartitionStorageBarrierWithContextV1
         0     0%  0.21%      1.11s 23.17%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).loadGeneration
         0     0%  0.21%      0.98s 20.46%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1
         0     0%  0.21%      0.98s 20.46%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func2
         0     0%  0.21%      0.98s 20.46%  github.com/snissn/gomap/TreeDB/collections.writeVectorPartitionJSONSliceWithContextV1[go.shape.struct { VectorOrdinal uint64; PartitionID uint32 }]
         0     0%  0.21%      0.85s 17.75%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleCheckpointTailV1
         0     0%  0.21%      0.80s 16.70%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func4
         0     0%  0.21%      0.77s 16.08%  encoding/json.Marshal
         0     0%  0.21%      0.70s 14.61%  encoding/json.(*encodeState).marshal
         0     0%  0.21%      0.69s 14.41%  encoding/json.(*encodeState).reflectValue
     0.06s  1.25%  1.46%      0.69s 14.41%  encoding/json.arrayEncoder.encode
         0     0%  1.46%      0.69s 14.41%  encoding/json.sliceEncoder.encode
         0     0%  1.46%      0.67s 13.99%  github.com/snissn/gomap/TreeDB/collections.applyVectorPartitionReadyPromotionV1
         0     0%  1.46%      0.67s 13.99%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleRecordV1
         0     0%  1.46%      0.66s 13.78%  github.com/snissn/gomap/TreeDB/collections.encodeVectorPartitionManifestWithContextV1
         0     0%  1.46%      0.65s 13.57%  github.com/hashicorp/raft.(*raftState).goFunc.func1
     0.01s  0.21%  1.67%      0.62s 12.94%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.validateWithContextV1
         0     0%  1.67%      0.60s 12.53%  runtime.mcall
         0     0%  1.67%      0.60s 12.53%  runtime.park_m
     0.58s 12.11% 13.78%      0.58s 12.11%  internal/runtime/syscall/linux.Syscall6
         0     0% 13.78%      0.58s 12.11%  runtime.schedule
     0.10s  2.09% 15.87%      0.56s 11.69%  encoding/json.structEncoder.encode
         0     0% 15.87%      0.56s 11.69%  github.com/snissn/gomap/TreeDB/collections.(*Collection).AcquireVectorPartitionReaderPinWithContextV1
         0     0% 15.87%      0.56s 11.69%  github.com/snissn/gomap/TreeDB/collections.(*Collection).AcquireVectorPartitionReaderPinWithContextV1.func1
         0     0% 15.87%      0.56s 11.69%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).OpenWithContext
         0     0% 15.87%      0.55s 11.48%  github.com/snissn/gomap/TreeDB/collections.(*Collection).PreparedVectorPartitionManifestWithContextV1
         0     0% 15.87%      0.55s 11.48%  github.com/snissn/gomap/TreeDB/collections.(*Collection).PreparedVectorPartitionManifestWithContextV1.func1
     0.01s  0.21% 16.08%      0.52s 10.86%  runtime.findRunnable
         0     0% 16.08%      0.49s 10.23%  runtime.systemstack
         0     0% 16.08%      0.47s  9.81%  syscall.RawSyscall6
         0     0% 16.08%      0.45s  9.39%  github.com/snissn/gomap/TreeDB/collections.EncodeVectorPartitionManifestV1 (inline)
         0     0% 16.08%      0.43s  8.98%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionManifestV1).canonicalizeWithContextV1
         0     0% 16.08%      0.39s  8.14%  github.com/hashicorp/raft.(*Raft).run
     0.01s  0.21% 16.28%      0.37s  7.72%  github.com/snissn/gomap/TreeDB/collections.(*Collection).newColumnVectorGraphTypedColumnVectorSource
