File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: cpu
Time: 2026-08-09 14:07:43 HST
Duration: 66.06s, Total samples = 4.79s ( 7.25%)
Showing nodes accounting for 3.60s, 75.16% of 4.79s total
Dropped 365 nodes (cum <= 0.02s)
Showing top 60 nodes out of 340
      flat  flat%   sum%        cum   cum%
     0.58s 12.11% 12.11%      0.58s 12.11%  internal/runtime/syscall/linux.Syscall6
     0.25s  5.22% 17.33%      0.25s  5.22%  github.com/snissn/go-crc32-asm.crc32IEEEVPCLMUL512
     0.24s  5.01% 22.34%      0.24s  5.01%  crypto/internal/fips140/sha256.blockSHANI
     0.19s  3.97% 26.30%      0.19s  3.97%  runtime.futex
     0.14s  2.92% 29.23%      0.14s  2.92%  runtime.memmove
     0.13s  2.71% 31.94%      0.20s  4.18%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).prepareSectionViewsWithContext
     0.10s  2.09% 34.03%      0.56s 11.69%  encoding/json.structEncoder.encode
     0.10s  2.09% 36.12%      0.10s  2.09%  github.com/tphakala/simd/f32.dotProductAVX512
     0.08s  1.67% 37.79%      0.12s  2.51%  bytes.(*Buffer).WriteByte
     0.08s  1.67% 39.46%      0.09s  1.88%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.DecodeRawUint32OffsetsListFallback
     0.08s  1.67% 41.13%      0.08s  1.67%  runtime.memclrNoHeapPointers
     0.08s  1.67% 42.80%      0.08s  1.67%  runtime.nextFreeFast (inline)
     0.08s  1.67% 44.47%      0.09s  1.88%  runtime.tryDeferToSpanScan
     0.07s  1.46% 45.93%      0.07s  1.46%  bytes.(*Buffer).tryGrowByReslice (inline)
     0.07s  1.46% 47.39%      0.16s  3.34%  internal/strconv.AppendUint
     0.06s  1.25% 48.64%      0.69s 14.41%  encoding/json.arrayEncoder.encode
     0.06s  1.25% 49.90%      0.21s  4.38%  runtime.scanObject
     0.06s  1.25% 51.15%      0.06s  1.25%  runtime.step
     0.06s  1.25% 52.40%      0.08s  1.67%  runtime.typePointers.next
     0.05s  1.04% 53.44%      0.28s  5.85%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).searchCosineWithContext
     0.05s  1.04% 54.49%      0.06s  1.25%  github.com/snissn/gomap/TreeDB/collections.validateColumnVectorIndexStateAdjacencySections
     0.05s  1.04% 55.53%      0.05s  1.04%  math.IsInf (inline)
     0.05s  1.04% 56.58%      0.05s  1.04%  runtime.nanotime
     0.05s  1.04% 57.62%      0.18s  3.76%  runtime.selectgo
     0.04s  0.84% 58.46%      0.06s  1.25%  bytes.(*Buffer).WriteString
     0.04s  0.84% 59.29%      0.08s  1.67%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphRowRefStateSource).rowRefForOrdinal
     0.04s  0.84% 60.13%      0.04s  0.84%  internal/runtime/maps.ctrlGroup.matchH2 (inline)
     0.04s  0.84% 60.96%      0.04s  0.84%  internal/strconv.formatBase10
     0.04s  0.84% 61.80%      0.07s  1.46%  reflect.Value.Field
     0.04s  0.84% 62.63%      0.04s  0.84%  runtime.(*traceBuf).varint (inline)
