File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: cpu
Time: 2026-08-09 14:07:43 HST
Duration: 65.96s, Total samples = 4.68s ( 7.09%)
Showing nodes accounting for 0.77s, 16.45% of 4.68s total
Dropped 333 nodes (cum <= 0.02s)
Showing top 60 nodes out of 296
      flat  flat%   sum%        cum   cum%
         0     0%     0%      2.87s 61.32%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionProductionTopologyV1).serve.func1.2
         0     0%     0%      2.87s 61.32%  github.com/snissn/gomap/TreeDB/nativewire.VectorPartitionShardSearchTCPServerV1.ServeConn
         0     0%     0%      2.79s 59.62%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchServiceV1).Search
         0     0%     0%      1.32s 28.21%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenVectorPartitionLocalSearcherForGenerationSearchPlanWithContextV1
         0     0%     0%      1.32s 28.21%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openVectorPartitionLocalSearcherForPreparedPartitionWithContextV1
         0     0%     0%      1.32s 28.21%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationCacheV1).openPartition
         0     0%     0%      1.32s 28.21%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationLeaseV1).OpenPartition
         0     0%     0%      1.19s 25.43%  github.com/snissn/gomap/TreeDB/collections.(*Collection).acquireColumnVectorGraphSharedPreparedSearch
         0     0%     0%      1.19s 25.43%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReader
         0     0%     0%      1.19s 25.43%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot
         0     0%     0%      1.19s 25.43%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot.func1
         0     0%     0%      1.19s 25.43%  github.com/snissn/gomap/TreeDB/collections.(*Collection).prepareColumnVectorGraphPhysicalRowReaderSourcesAtSnapshot
         0     0%     0%      1.12s 23.93%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).PinVectorPartitionGenerationV1
         0     0%     0%      1.12s 23.93%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionProductionNodeGenerationSourceV1.PinVectorPartitionGenerationV1
         0     0%     0%      1.10s 23.50%  github.com/snissn/gomap/TreeDB/collections.WithVectorPartitionStorageBarrierV1 (inline)
         0     0%     0%      1.10s 23.50%  github.com/snissn/gomap/TreeDB/collections.WithVectorPartitionStorageBarrierWithContextV1
         0     0%     0%      1.10s 23.50%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).loadGeneration
         0     0%     0%      1.09s 23.29%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).loadVectorPartitionLifecycleAuthorityWithContextV1
         0     0%     0%      1.09s 23.29%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).loadVectorPartitionLifecycleCheckpointStateFromDirWithContextV1
         0     0%     0%      0.96s 20.51%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1
         0     0%     0%      0.96s 20.51%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func2
         0     0%     0%      0.96s 20.51%  github.com/snissn/gomap/TreeDB/collections.writeVectorPartitionJSONSliceWithContextV1[go.shape.struct { VectorOrdinal uint64; PartitionID uint32 }]
         0     0%     0%      0.84s 17.95%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleCheckpointTailV1
         0     0%     0%      0.82s 17.52%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func4
         0     0%     0%      0.80s 17.09%  github.com/hashicorp/raft.(*raftState).goFunc.func1
         0     0%     0%      0.69s 14.74%  encoding/json.Marshal
         0     0%     0%      0.66s 14.10%  github.com/snissn/gomap/TreeDB/collections.applyVectorPartitionReadyPromotionV1
         0     0%     0%      0.66s 14.10%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleRecordV1
         0     0%     0%      0.63s 13.46%  github.com/snissn/gomap/TreeDB/collections.encodeVectorPartitionManifestWithContextV1
         0     0%     0%      0.62s 13.25%  encoding/json.(*encodeState).marshal
         0     0%     0%      0.62s 13.25%  encoding/json.(*encodeState).reflectValue
     0.06s  1.28%  1.28%      0.62s 13.25%  encoding/json.arrayEncoder.encode
         0     0%  1.28%      0.62s 13.25%  encoding/json.sliceEncoder.encode
     0.01s  0.21%  1.50%      0.58s 12.39%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.validateWithContextV1
         0     0%  1.50%      0.56s 11.97%  github.com/snissn/gomap/TreeDB/collections.(*Collection).AcquireVectorPartitionReaderPinWithContextV1
         0     0%  1.50%      0.56s 11.97%  github.com/snissn/gomap/TreeDB/collections.(*Collection).AcquireVectorPartitionReaderPinWithContextV1.func1
         0     0%  1.50%      0.56s 11.97%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).OpenWithContext
         0     0%  1.50%      0.54s 11.54%  github.com/snissn/gomap/TreeDB/collections.(*Collection).PreparedVectorPartitionManifestWithContextV1
         0     0%  1.50%      0.54s 11.54%  github.com/snissn/gomap/TreeDB/collections.(*Collection).PreparedVectorPartitionManifestWithContextV1.func1
     0.14s  2.99%  4.49%      0.51s 10.90%  encoding/json.structEncoder.encode
     0.01s  0.21%  4.70%      0.49s 10.47%  runtime.mcall
     0.47s 10.04% 14.74%      0.47s 10.04%  internal/runtime/syscall/linux.Syscall6
         0     0% 14.74%      0.47s 10.04%  runtime.park_m
         0     0% 14.74%      0.47s 10.04%  runtime.systemstack
         0     0% 14.74%      0.44s  9.40%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionManifestV1).canonicalizeWithContextV1
     0.02s  0.43% 15.17%      0.44s  9.40%  runtime.schedule
         0     0% 15.17%      0.42s  8.97%  syscall.RawSyscall6
