File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: cpu
Time: 2026-08-09 14:07:43 HST
Duration: 65.96s, Total samples = 4.68s ( 7.09%)
Showing nodes accounting for 3.47s, 74.15% of 4.68s total
Dropped 333 nodes (cum <= 0.02s)
Showing top 60 nodes out of 296
      flat  flat%   sum%        cum   cum%
     0.47s 10.04% 10.04%      0.47s 10.04%  internal/runtime/syscall/linux.Syscall6
     0.33s  7.05% 17.09%      0.33s  7.05%  crypto/internal/fips140/sha256.blockSHANI
     0.24s  5.13% 22.22%      0.24s  5.13%  github.com/snissn/go-crc32-asm.crc32IEEEVPCLMUL512
     0.15s  3.21% 25.43%      0.15s  3.21%  runtime.futex
     0.14s  2.99% 28.42%      0.51s 10.90%  encoding/json.structEncoder.encode
     0.13s  2.78% 31.20%      0.13s  2.78%  runtime.memmove
     0.12s  2.56% 33.76%      0.12s  2.56%  runtime.memclrNoHeapPointers
     0.12s  2.56% 36.32%      0.31s  6.62%  runtime.selectgo
     0.11s  2.35% 38.68%      0.21s  4.49%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).prepareSectionViewsWithContext
     0.10s  2.14% 40.81%      0.14s  2.99%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.DecodeRawUint32OffsetsListFallback
     0.10s  2.14% 42.95%      0.10s  2.14%  github.com/tphakala/simd/f32.dotProductAVX512
     0.10s  2.14% 45.09%      0.23s  4.91%  runtime.scanObject
     0.07s  1.50% 46.58%      0.08s  1.71%  reflect.Value.Field
     0.06s  1.28% 47.86%      0.07s  1.50%  bytes.(*Buffer).WriteByte
     0.06s  1.28% 49.15%      0.62s 13.25%  encoding/json.arrayEncoder.encode
     0.06s  1.28% 50.43%      0.07s  1.50%  runtime.unlock2
     0.05s  1.07% 51.50%      0.05s  1.07%  github.com/snissn/gomap/TreeDB/collections.canonicalVectorPartitionAccumulateV1 (inline)
     0.05s  1.07% 52.56%      0.05s  1.07%  runtime.lock2
     0.05s  1.07% 53.63%      0.07s  1.50%  runtime.tryDeferToSpanScan
     0.04s  0.85% 54.49%      0.06s  1.28%  bytes.(*Buffer).WriteString
     0.04s  0.85% 55.34%      0.04s  0.85%  bytes.(*Buffer).tryGrowByReslice (inline)
     0.04s  0.85% 56.20%      0.06s  1.28%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphNativeSearchScratch).insertTop
     0.04s  0.85% 57.05%      0.09s  1.92%  github.com/snissn/gomap/TreeDB/collections.canonicalVectorPartitionNormalizedScoreV1
     0.04s  0.85% 57.91%      0.05s  1.07%  github.com/snissn/gomap/TreeDB/collections.validateColumnVectorIndexStateAdjacencySections
     0.04s  0.85% 58.76%      0.07s  1.50%  math.IsInf (inline)
     0.04s  0.85% 59.62%      0.04s  0.85%  runtime.(*mspan).writeHeapBitsSmall
     0.04s  0.85% 60.47%      0.37s  7.91%  runtime.findRunnable
     0.04s  0.85% 61.32%      0.04s  0.85%  runtime.nextFreeFast (inline)
     0.04s  0.85% 62.18%      0.07s  1.50%  runtime.typePointers.next
     0.03s  0.64% 62.82%      0.04s  0.85%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphRowRefStateSource).rowRefForOrdinal
     0.03s  0.64% 63.46%      0.04s  0.85%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.validateRawUint32OffsetsListBytes
     0.03s  0.64% 64.10%      0.03s  0.64%  runtime.findfunc
     0.03s  0.64% 64.74%      0.03s  0.64%  runtime.spanOf (inline)
     0.03s  0.64% 65.38%      0.03s  0.64%  runtime.typePointers.nextFast (inline)
     0.02s  0.43% 65.81%      0.19s  4.06%  encoding/json.uintEncoder
     0.02s  0.43% 66.24%      0.08s  1.71%  github.com/hashicorp/raft.(*inmemPipeline).AppendEntries
     0.02s  0.43% 66.67%      0.38s  8.12%  github.com/snissn/gomap/TreeDB/collections.(*Collection).newColumnVectorGraphTypedColumnVectorSource
     0.02s  0.43% 67.09%      0.04s  0.85%  github.com/snissn/gomap/TreeDB/collections.prepareColumnVectorGraphPreparedVectorView
     0.02s  0.43% 67.52%      0.03s  0.64%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.validateDecodedRowLocators
     0.02s  0.43% 67.95%      0.09s  1.92%  internal/strconv.AppendUint
     0.02s  0.43% 68.38%      0.05s  1.07%  runtime.chansend
     0.02s  0.43% 68.80%      0.30s  6.41%  runtime.mallocgc
     0.02s  0.43% 69.23%      0.05s  1.07%  runtime.mapaccess2_fast64
     0.02s  0.43% 69.66%      0.16s  3.42%  runtime.newobject
     0.02s  0.43% 70.09%      0.05s  1.07%  runtime.pcvalue
     0.02s  0.43% 70.51%      0.44s  9.40%  runtime.schedule
     0.02s  0.43% 70.94%      0.09s  1.92%  runtime.send
     0.02s  0.43% 71.37%      0.03s  0.64%  runtime.step
     0.02s  0.43% 71.79%      0.08s  1.71%  runtime.wakep
     0.01s  0.21% 72.01%      0.05s  1.07%  bytes.(*Buffer).Write
     0.01s  0.21% 72.22%      0.03s  0.64%  github.com/hashicorp/raft.(*Raft).VerifyLeader
     0.01s  0.21% 72.44%      0.18s  3.85%  github.com/hashicorp/raft.(*Raft).setupAppendEntries
