File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: cpu
Time: 2026-08-09 14:09:15 HST
Duration: 17.92s, Total samples = 6.02s (33.60%)
Showing nodes accounting for 4.40s, 73.09% of 6.02s total
Dropped 476 nodes (cum <= 0.03s)
Showing top 60 nodes out of 278
      flat  flat%   sum%        cum   cum%
     0.94s 15.61% 15.61%      1.01s 16.78%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionCoordinatorCandidateRowsV1.func1 (inline)
     0.52s  8.64% 24.25%      0.52s  8.64%  crypto/internal/fips140/sha256.blockSHANI
     0.49s  8.14% 32.39%      0.49s  8.14%  internal/runtime/syscall/linux.Syscall6
     0.25s  4.15% 36.54%      1.02s 16.94%  encoding/json.structEncoder.encode
     0.25s  4.15% 40.70%      0.25s  4.15%  runtime.memmove
     0.21s  3.49% 44.19%      0.21s  3.49%  github.com/snissn/go-crc32-asm.crc32IEEEVPCLMUL512
     0.19s  3.16% 47.34%      0.19s  3.16%  github.com/tphakala/simd/f32.dotProductAVX512
     0.11s  1.83% 49.17%      0.29s  4.82%  internal/strconv.AppendUint
     0.09s  1.50% 50.66%      0.52s  8.64%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).searchCosineWithContext
     0.08s  1.33% 51.99%      0.08s  1.33%  bytes.(*Buffer).tryGrowByReslice (inline)
     0.07s  1.16% 53.16%      0.10s  1.66%  bytes.(*Buffer).WriteByte
     0.07s  1.16% 54.32%      0.12s  1.99%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).prepareSectionViewsWithContext
     0.07s  1.16% 55.48%      0.07s  1.16%  runtime.memclrNoHeapPointers
     0.07s  1.16% 56.64%      0.09s  1.50%  runtime.step
     0.06s     1% 57.64%      1.14s 18.94%  encoding/json.arrayEncoder.encode
     0.06s     1% 58.64%      0.07s  1.16%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphNativeSearchScratch).insertTop
     0.06s     1% 59.63%      0.06s     1%  github.com/snissn/gomap/TreeDB/nativewire.addUint64V1 (inline)
     0.06s     1% 60.63%      0.06s     1%  internal/strconv.formatBase10
     0.05s  0.83% 61.46%      0.08s  1.33%  bytes.(*Buffer).Write
     0.04s  0.66% 62.13%      0.04s  0.66%  bytes.(*Buffer).AvailableBuffer (inline)
     0.04s  0.66% 62.79%      0.04s  0.66%  internal/abi.Name.IsExported (inline)
     0.04s  0.66% 63.46%      0.05s  0.83%  reflect.Value.Index
     0.04s  0.66% 64.12%      0.12s  1.99%  runtime.scanObject
     0.04s  0.66% 64.78%      0.13s  2.16%  runtime.selectgo
     0.04s  0.66% 65.45%      0.04s  0.66%  runtime.typePointers.next
     0.03s   0.5% 65.95%      0.13s  2.16%  encoding/json.(*decodeState).array
     0.03s   0.5% 66.45%      0.43s  7.14%  encoding/json.uintEncoder
     0.03s   0.5% 66.94%      0.05s  0.83%  github.com/snissn/gomap/TreeDB/collections.sortVectorPartitionSliceWithContextV1[go.shape.struct { VectorOrdinal uint64; PartitionID uint32 }]
     0.03s   0.5% 67.44%      0.05s  0.83%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.DecodeRawUint32OffsetsListFallback
     0.03s   0.5% 67.94%      0.05s  0.83%  runtime.tryDeferToSpanScan
     0.02s  0.33% 68.27%      0.11s  1.83%  bytes.(*Buffer).WriteString
     0.02s  0.33% 68.60%      1.06s 17.61%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.validateWithContextV1
     0.02s  0.33% 68.94%      0.07s  1.16%  github.com/snissn/gomap/TreeDB/collections.putMembershipsWithContextVPM
     0.02s  0.33% 69.27%      0.06s     1%  github.com/snissn/gomap/TreeDB/collections.validateMembershipsWithContextVPM
     0.02s  0.33% 69.60%      0.11s  1.83%  reflect.Value.Field
     0.02s  0.33% 69.93%      0.10s  1.66%  runtime.pcvalue
     0.02s  0.33% 70.27%      0.31s  5.15%  strconv.AppendUint (inline)
     0.01s  0.17% 70.43%      0.53s  8.80%  crypto/internal/fips140/sha256.(*Digest).Write
     0.01s  0.17% 70.60%      0.08s  1.33%  encoding/json.(*decodeState).literalStore
     0.01s  0.17% 70.76%      0.22s  3.65%  encoding/json.(*decodeState).object
     0.01s  0.17% 70.93%      0.06s     1%  github.com/hashicorp/go-msgpack/v2/codec.(*Encoder).encodeValue
     0.01s  0.17% 71.10%      0.20s  3.32%  github.com/snissn/gomap/TreeDB/collections.(*Collection).newColumnVectorGraphTypedColumnVectorSource
     0.01s  0.17% 71.26%      0.04s  0.66%  github.com/snissn/gomap/TreeDB/collections.canonicalVectorPartitionNormalizedScoreV1
