File: treedb_vector_partition_bench
Type: delay
Showing nodes accounting for 1761657033.64us, 100% of 1761724557.11us total
Dropped 142 nodes (cum <= 8808622.79us)
Showing top 50 nodes out of 57
      flat  flat%   sum%        cum   cum%
1510658043.37us 85.75% 85.75% 1510658043.37us 85.75%  runtime.selectgo
         0     0% 85.75% 528946440.65us 30.02%  main.(*vectorPartitionOperationsTCPServerV1).serve
         0     0% 85.75% 528946440.65us 30.02%  main.(*vectorPartitionOperationsTCPServerV1).start.func1.1
    7.42us 4.2e-07% 85.75% 528939174.80us 30.02%  github.com/snissn/gomap/TreeDB/vectorpartition.(*OperationsV1).Search
         0     0% 85.75% 390992332.18us 22.19%  github.com/snissn/gomap/TreeDB/internal/raftcluster.(*CatalogMetaRaftProviderV1).LinearizableCatalogMetaAppliedIndexV1
         0     0% 85.75% 374737048.93us 21.27%  github.com/snissn/gomap/TreeDB/internal/raftcluster.waitHashicorpRaftFuture
         0     0% 85.75% 373834522.73us 21.22%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionPublicBackendV1).SearchVectorPartitionV1
         0     0% 85.75% 373834522.73us 21.22%  github.com/snissn/gomap/TreeDB/vectorpartition.(*ServiceV1).Search
         0     0% 85.75% 373834474.54us 21.22%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).Search
         0     0% 85.75% 366038785.83us 20.78%  github.com/snissn/gomap/TreeDB/internal/raftcluster.waitHashicorpRaftFuture.func1
         0     0% 85.75% 325776975.83us 18.49%  github.com/hashicorp/raft.(*raftState).goFunc.func1
         0     0% 85.75% 252139488.25us 14.31%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionShardSearchTCPInterruptOnCancelV1.func2
         0     0% 85.75% 235881347.06us 13.39%  github.com/snissn/gomap/TreeDB/nativewire.(*LinearizableCatalogVectorPartitionLifecycleAuthorityV1).ValidateVectorPartitionGenerationSearchV1
         0     0% 85.75% 225730457.54us 12.81%  github.com/hashicorp/raft.(*logFuture).Error
         0     0% 85.75% 197447760.63us 11.21%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).dispatch
197447760.63us 11.21% 96.96% 197447760.63us 11.21%  sync.(*WaitGroup).Wait
         0     0% 96.96% 158908663.73us  9.02%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).validateReplicatedLifecycle
         0     0% 96.96% 155111910.50us  8.80%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionPublicBackendV1).OperationsHealthV1
         0     0% 96.96% 155111910.50us  8.80%  github.com/snissn/gomap/TreeDB/vectorpartition.(*OperationsV1).Status
         0     0% 96.96% 140308328.28us  7.96%  github.com/hashicorp/raft.(*verifyFuture).Error
         0     0% 96.96% 89998396.80us  5.11%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionProductionTopologyV1).serve.func1.2
         0     0% 96.96% 89998396.80us  5.11%  github.com/snissn/gomap/TreeDB/nativewire.VectorPartitionShardSearchTCPServerV1.ServeConn
         0     0% 96.96% 89920339.26us  5.10%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchServiceV1).Search
