File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: cpu
Time: 2026-08-09 14:09:15 HST
Duration: 17.95s, Total samples = 3.61s (20.11%)
Showing nodes accounting for 0.94s, 26.04% of 3.61s total
Dropped 192 nodes (cum <= 0.02s)
Showing top 60 nodes out of 355
      flat  flat%   sum%        cum   cum%
         0     0%     0%      2.73s 75.62%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionProductionTopologyV1).serve.func1.2
         0     0%     0%      2.73s 75.62%  github.com/snissn/gomap/TreeDB/nativewire.VectorPartitionShardSearchTCPServerV1.ServeConn
         0     0%     0%      2.58s 71.47%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchServiceV1).Search
         0     0%     0%      1.40s 38.78%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).PinVectorPartitionGenerationV1
         0     0%     0%      1.40s 38.78%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionProductionNodeGenerationSourceV1.PinVectorPartitionGenerationV1
         0     0%     0%      1.38s 38.23%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).loadGeneration
         0     0%     0%      1.37s 37.95%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).loadVectorPartitionLifecycleAuthorityWithContextV1
         0     0%     0%      1.37s 37.95%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).loadVectorPartitionLifecycleCheckpointStateFromDirWithContextV1
         0     0%     0%      1.37s 37.95%  github.com/snissn/gomap/TreeDB/collections.WithVectorPartitionStorageBarrierV1 (inline)
         0     0%     0%      1.37s 37.95%  github.com/snissn/gomap/TreeDB/collections.WithVectorPartitionStorageBarrierWithContextV1
         0     0%     0%      1.14s 31.58%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1
         0     0%     0%      1.14s 31.58%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func2
         0     0%     0%      1.13s 31.30%  github.com/snissn/gomap/TreeDB/collections.writeVectorPartitionJSONSliceWithContextV1[go.shape.struct { VectorOrdinal uint64; PartitionID uint32 }]
         0     0%     0%      1.06s 29.36%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleCheckpointTailV1
         0     0%     0%      0.94s 26.04%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func4
         0     0%     0%      0.88s 24.38%  encoding/json.Marshal
         0     0%     0%      0.87s 24.10%  github.com/snissn/gomap/TreeDB/collections.applyVectorPartitionReadyPromotionV1
         0     0%     0%      0.87s 24.10%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleRecordV1
         0     0%     0%      0.84s 23.27%  github.com/snissn/gomap/TreeDB/collections.encodeVectorPartitionManifestWithContextV1
         0     0%     0%      0.82s 22.71%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenVectorPartitionLocalSearcherForGenerationSearchPlanWithContextV1
         0     0%     0%      0.82s 22.71%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openVectorPartitionLocalSearcherForPreparedPartitionWithContextV1
         0     0%     0%      0.82s 22.71%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationCacheV1).openPartition
         0     0%     0%      0.82s 22.71%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationLeaseV1).OpenPartition
         0     0%     0%      0.79s 21.88%  encoding/json.(*encodeState).marshal
         0     0%     0%      0.79s 21.88%  encoding/json.(*encodeState).reflectValue
     0.03s  0.83%  0.83%      0.79s 21.88%  encoding/json.arrayEncoder.encode
         0     0%  0.83%      0.79s 21.88%  encoding/json.sliceEncoder.encode
     0.02s  0.55%  1.39%      0.76s 21.05%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.validateWithContextV1
     0.24s  6.65%  8.03%      0.72s 19.94%  encoding/json.structEncoder.encode
         0     0%  8.03%      0.70s 19.39%  github.com/snissn/gomap/TreeDB/collections.(*Collection).acquireColumnVectorGraphSharedPreparedSearch
         0     0%  8.03%      0.70s 19.39%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReader
         0     0%  8.03%      0.70s 19.39%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot
         0     0%  8.03%      0.70s 19.39%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot.func1
         0     0%  8.03%      0.70s 19.39%  github.com/snissn/gomap/TreeDB/collections.(*Collection).prepareColumnVectorGraphPhysicalRowReaderSourcesAtSnapshot
         0     0%  8.03%      0.69s 19.11%  github.com/snissn/gomap/TreeDB/collections.(*Collection).PreparedVectorPartitionManifestWithContextV1
         0     0%  8.03%      0.69s 19.11%  github.com/snissn/gomap/TreeDB/collections.(*Collection).PreparedVectorPartitionManifestWithContextV1.func1
         0     0%  8.03%      0.68s 18.84%  github.com/snissn/gomap/TreeDB/collections.(*Collection).AcquireVectorPartitionReaderPinWithContextV1
         0     0%  8.03%      0.68s 18.84%  github.com/snissn/gomap/TreeDB/collections.(*Collection).AcquireVectorPartitionReaderPinWithContextV1.func1
         0     0%  8.03%      0.68s 18.84%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).OpenWithContext
         0     0%  8.03%      0.55s 15.24%  github.com/snissn/gomap/TreeDB/collections.EncodeVectorPartitionManifestV1 (inline)
         0     0%  8.03%      0.51s 14.13%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionManifestV1).canonicalizeWithContextV1
         0     0%  8.03%      0.42s 11.63%  github.com/snissn/gomap/TreeDB/collections.canonicalVectorPartitionLifecycleCheckpointWithContextV1
         0     0%  8.03%      0.38s 10.53%  github.com/hashicorp/raft.(*raftState).goFunc.func1
         0     0%  8.03%      0.37s 10.25%  runtime.systemstack
         0     0%  8.03%      0.34s  9.42%  crypto/internal/fips140/sha256.(*Digest).Write
         0     0%  8.03%      0.34s  9.42%  crypto/internal/fips140/sha256.block
     0.34s  9.42% 17.45%      0.34s  9.42%  crypto/internal/fips140/sha256.blockSHANI
         0     0% 17.45%      0.34s  9.42%  github.com/snissn/gomap/TreeDB/collections.vectorPartitionBuildingPromotionIdentityV1
         0     0% 17.45%      0.32s  8.86%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionLocalSearcherV1).SearchWithOptionsV1
         0     0% 17.45%      0.32s  8.86%  github.com/snissn/gomap/TreeDB/nativewire.searchVectorPartitionDirectV1
         0     0% 17.45%      0.31s  8.59%  github.com/snissn/gomap/TreeDB/collections.decodeVectorPartitionLifecycleCheckpointCanonicalWithContextV1
     0.04s  1.11% 18.56%      0.30s  8.31%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).searchCosineWithContext
         0     0% 18.56%      0.28s  7.76%  github.com/snissn/gomap/TreeDB/collections.DecodeVectorPartitionManifestWithContextV1
     0.02s  0.55% 19.11%      0.25s  6.93%  encoding/json.uintEncoder
         0     0% 19.11%      0.25s  6.93%  github.com/snissn/gomap/TreeDB/collections.newColumnHNSWSearchPackPreparedViewFromHandle (inline)
         0     0% 19.11%      0.25s  6.93%  github.com/snissn/gomap/TreeDB/collections.newColumnHNSWSearchPackPreparedViewFromHandleWithContext
     0.25s  6.93% 26.04%      0.25s  6.93%  internal/runtime/syscall/linux.Syscall6
         0     0% 26.04%      0.23s  6.37%  github.com/hashicorp/raft.(*Raft).run
         0     0% 26.04%      0.23s  6.37%  syscall.RawSyscall6
         0     0% 26.04%      0.21s  5.82%  github.com/snissn/go-crc32-asm.Update
