File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: cpu
Time: 2026-08-09 14:09:15 HST
Duration: 17.95s, Total samples = 3.61s (20.11%)
Showing nodes accounting for 2.94s, 81.44% of 3.61s total
Dropped 192 nodes (cum <= 0.02s)
Showing top 60 nodes out of 355
      flat  flat%   sum%        cum   cum%
     0.34s  9.42%  9.42%      0.34s  9.42%  crypto/internal/fips140/sha256.blockSHANI
     0.25s  6.93% 16.34%      0.25s  6.93%  internal/runtime/syscall/linux.Syscall6
     0.24s  6.65% 22.99%      0.72s 19.94%  encoding/json.structEncoder.encode
     0.21s  5.82% 28.81%      0.21s  5.82%  github.com/snissn/go-crc32-asm.crc32IEEEVPCLMUL512
     0.21s  5.82% 34.63%      0.21s  5.82%  runtime.memmove
     0.16s  4.43% 39.06%      0.16s  4.43%  github.com/tphakala/simd/f32.dotProductAVX512
     0.07s  1.94% 41.00%      0.11s  3.05%  bytes.(*Buffer).WriteString
     0.07s  1.94% 42.94%      0.18s  4.99%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).prepareSectionViewsWithContext
     0.06s  1.66% 44.60%      0.08s  2.22%  bytes.(*Buffer).WriteByte
     0.05s  1.39% 45.98%      0.19s  5.26%  internal/strconv.AppendUint
     0.05s  1.39% 47.37%      0.05s  1.39%  internal/strconv.formatBase10
     0.05s  1.39% 48.75%      0.07s  1.94%  math.IsInf (inline)
     0.05s  1.39% 50.14%      0.05s  1.39%  runtime.futex
     0.05s  1.39% 51.52%      0.05s  1.39%  runtime.memclrNoHeapPointers
     0.05s  1.39% 52.91%      0.10s  2.77%  runtime.scanObject
     0.05s  1.39% 54.29%      0.14s  3.88%  runtime.selectgo
     0.04s  1.11% 55.40%      0.07s  1.94%  bytes.(*Buffer).Write
     0.04s  1.11% 56.51%      0.04s  1.11%  bytes.(*Buffer).tryGrowByReslice (inline)
     0.04s  1.11% 57.62%      0.30s  8.31%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).searchCosineWithContext
     0.04s  1.11% 58.73%      0.04s  1.11%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.DecodeRawUint32OffsetsListFallback
     0.04s  1.11% 59.83%      0.04s  1.11%  runtime.madvise
     0.03s  0.83% 60.66%      0.79s 21.88%  encoding/json.arrayEncoder.encode
     0.03s  0.83% 61.50%      0.05s  1.39%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphRowRefStateSource).rowRefForOrdinal
     0.03s  0.83% 62.33%      0.09s  2.49%  github.com/snissn/gomap/TreeDB/collections.validateMembershipsWithContextVPM
     0.03s  0.83% 63.16%      0.19s  5.26%  github.com/snissn/gomap/TreeDB/internal/vectorops.dotFloat32IndexedScalar
     0.03s  0.83% 63.99%      0.03s  0.83%  internal/abi.Name.IsExported (inline)
     0.03s  0.83% 64.82%      0.03s  0.83%  internal/runtime/maps.ctrlGroup.matchH2 (inline)
     0.03s  0.83% 65.65%      0.06s  1.66%  reflect.Value.Field
     0.03s  0.83% 66.48%      0.06s  1.66%  runtime.mapaccess2_fast32
     0.03s  0.83% 67.31%      0.03s  0.83%  runtime.typePointers.next
     0.03s  0.83% 68.14%      0.03s  0.83%  runtime.unlock2
     0.02s  0.55% 68.70%      0.25s  6.93%  encoding/json.uintEncoder
     0.02s  0.55% 69.25%      0.76s 21.05%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.validateWithContextV1
     0.02s  0.55% 69.81%      0.02s  0.55%  github.com/snissn/gomap/TreeDB/collections.validateColumnHNSWSearchPackAdjacencyWithContext
     0.02s  0.55% 70.36%      0.11s  3.05%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.attachUint32OffsetsListColumnPayloadsFromImage
     0.02s  0.55% 70.91%      0.02s  0.55%  internal/runtime/atomic.(*Uint32).CompareAndSwap (inline)
     0.02s  0.55% 71.47%      0.02s  0.55%  internal/runtime/maps.(*groupReference).key (inline)
     0.02s  0.55% 72.02%      0.02s  0.55%  math.Float64frombits (inline)
     0.02s  0.55% 72.58%      0.02s  0.55%  memeqbody
     0.02s  0.55% 73.13%      0.02s  0.55%  reflect.flag.kind (inline)
     0.02s  0.55% 73.68%      0.02s  0.55%  runtime.(*traceBuf).varint (inline)
     0.02s  0.55% 74.24%      0.03s  0.83%  runtime.(*waitq).dequeue (inline)
     0.02s  0.55% 74.79%      0.02s  0.55%  runtime.asyncPreempt
     0.02s  0.55% 75.35%      0.03s  0.83%  runtime.findObject
     0.02s  0.55% 75.90%      0.12s  3.32%  runtime.findRunnable
     0.02s  0.55% 76.45%      0.02s  0.55%  runtime.memhash64
     0.02s  0.55% 77.01%      0.02s  0.55%  runtime.nextFreeFast (inline)
