File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: cpu
Time: 2026-08-09 14:09:15 HST
Duration: 18.33s, Total samples = 3.24s (17.67%)
Showing nodes accounting for 0.95s, 29.32% of 3.24s total
Dropped 235 nodes (cum <= 0.02s)
Showing top 60 nodes out of 291
      flat  flat%   sum%        cum   cum%
         0     0%     0%      2.46s 75.93%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionProductionTopologyV1).serve.func1.2
         0     0%     0%      2.46s 75.93%  github.com/snissn/gomap/TreeDB/nativewire.VectorPartitionShardSearchTCPServerV1.ServeConn
         0     0%     0%      2.31s 71.30%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchServiceV1).Search
         0     0%     0%      1.32s 40.74%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).PinVectorPartitionGenerationV1
         0     0%     0%      1.32s 40.74%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionProductionNodeGenerationSourceV1.PinVectorPartitionGenerationV1
         0     0%     0%      1.31s 40.43%  github.com/snissn/gomap/TreeDB/collections.WithVectorPartitionStorageBarrierV1 (inline)
         0     0%     0%      1.31s 40.43%  github.com/snissn/gomap/TreeDB/collections.WithVectorPartitionStorageBarrierWithContextV1
         0     0%     0%      1.31s 40.43%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).loadGeneration
         0     0%     0%      1.30s 40.12%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).loadVectorPartitionLifecycleAuthorityWithContextV1
         0     0%     0%      1.30s 40.12%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).loadVectorPartitionLifecycleCheckpointStateFromDirWithContextV1
         0     0%     0%      1.13s 34.88%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1
         0     0%     0%      1.13s 34.88%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func2
     0.01s  0.31%  0.31%      1.13s 34.88%  github.com/snissn/gomap/TreeDB/collections.writeVectorPartitionJSONSliceWithContextV1[go.shape.struct { VectorOrdinal uint64; PartitionID uint32 }]
         0     0%  0.31%      0.97s 29.94%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleCheckpointTailV1
         0     0%  0.31%      0.93s 28.70%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func4
         0     0%  0.31%      0.83s 25.62%  encoding/json.Marshal
         0     0%  0.31%      0.78s 24.07%  github.com/snissn/gomap/TreeDB/collections.encodeVectorPartitionManifestWithContextV1
     0.01s  0.31%  0.62%      0.75s 23.15%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.validateWithContextV1
         0     0%  0.62%      0.75s 23.15%  github.com/snissn/gomap/TreeDB/collections.applyVectorPartitionReadyPromotionV1
         0     0%  0.62%      0.75s 23.15%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleRecordV1
         0     0%  0.62%      0.73s 22.53%  encoding/json.(*encodeState).marshal
         0     0%  0.62%      0.73s 22.53%  encoding/json.(*encodeState).reflectValue
     0.02s  0.62%  1.23%      0.73s 22.53%  encoding/json.arrayEncoder.encode
         0     0%  1.23%      0.73s 22.53%  encoding/json.sliceEncoder.encode
         0     0%  1.23%      0.67s 20.68%  github.com/snissn/gomap/TreeDB/collections.(*Collection).AcquireVectorPartitionReaderPinWithContextV1
         0     0%  1.23%      0.67s 20.68%  github.com/snissn/gomap/TreeDB/collections.(*Collection).AcquireVectorPartitionReaderPinWithContextV1.func1
         0     0%  1.23%      0.67s 20.68%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).OpenWithContext
         0     0%  1.23%      0.64s 19.75%  github.com/snissn/gomap/TreeDB/collections.(*Collection).PreparedVectorPartitionManifestWithContextV1
         0     0%  1.23%      0.64s 19.75%  github.com/snissn/gomap/TreeDB/collections.(*Collection).PreparedVectorPartitionManifestWithContextV1.func1
     0.18s  5.56%  6.79%      0.62s 19.14%  encoding/json.structEncoder.encode
         0     0%  6.79%      0.50s 15.43%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenVectorPartitionLocalSearcherForGenerationSearchPlanWithContextV1
         0     0%  6.79%      0.50s 15.43%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openVectorPartitionLocalSearcherForPreparedPartitionWithContextV1
         0     0%  6.79%      0.50s 15.43%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationCacheV1).openPartition
         0     0%  6.79%      0.50s 15.43%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationLeaseV1).OpenPartition
         0     0%  6.79%      0.49s 15.12%  github.com/snissn/gomap/TreeDB/collections.EncodeVectorPartitionManifestV1 (inline)
         0     0%  6.79%      0.48s 14.81%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionLocalSearcherV1).SearchWithOptionsV1
         0     0%  6.79%      0.48s 14.81%  github.com/snissn/gomap/TreeDB/nativewire.searchVectorPartitionDirectV1
         0     0%  6.79%      0.47s 14.51%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionManifestV1).canonicalizeWithContextV1
         0     0%  6.79%      0.44s 13.58%  github.com/snissn/gomap/TreeDB/collections.canonicalVectorPartitionLifecycleCheckpointWithContextV1
