File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: delay
Time: 2026-08-09 14:09:33 HST
Showing nodes accounting for 11.61ms, 100% of 11.61ms total
Dropped 90 nodes (cum <= 0.06ms)
Showing top 40 nodes out of 43
      flat  flat%   sum%        cum   cum%
   11.42ms 98.32% 98.32%    11.42ms 98.32%  sync.(*Mutex).Unlock (partial-inline)
         0     0% 98.32%     9.12ms 78.52%  github.com/hashicorp/raft.(*raftState).goFunc.func1
         0     0% 98.32%     8.94ms 76.95%  github.com/hashicorp/raft.(*Raft).run
         0     0% 98.32%     8.91ms 76.78%  github.com/hashicorp/raft-boltdb/v2.(*BoltStore).StoreLogs
         0     0% 98.32%     8.91ms 76.76%  github.com/hashicorp/raft.(*Raft).run-fm
         0     0% 98.32%     8.90ms 76.67%  go.etcd.io/bbolt.(*Tx).Commit
         0     0% 98.32%     8.86ms 76.31%  github.com/hashicorp/raft.(*Raft).dispatchLogs
         0     0% 98.32%     8.86ms 76.31%  github.com/hashicorp/raft.(*Raft).leaderLoop
         0     0% 98.32%     8.86ms 76.31%  github.com/hashicorp/raft.(*Raft).runLeader
         0     0% 98.32%     8.85ms 76.22%  go.etcd.io/bbolt.(*Tx).writeMeta
         0     0% 98.32%     2.35ms 20.23%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionProductionTopologyV1).serve.func1.2
         0     0% 98.32%     2.35ms 20.23%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchServiceV1).Search
         0     0% 98.32%     2.35ms 20.23%  github.com/snissn/gomap/TreeDB/nativewire.VectorPartitionShardSearchTCPServerV1.ServeConn
         0     0% 98.32%     2.33ms 20.04%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationCacheV1).openPartition
         0     0% 98.32%     2.33ms 20.04%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationLeaseV1).OpenPartition
         0     0% 98.32%     2.33ms 20.04%  github.com/snissn/gomap/TreeDB/nativewire.(*vectorPartitionProductionNodePinnedGenerationV1).OpenPartition
         0     0% 98.32%     2.32ms 19.98%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenVectorPartitionLocalSearcherForGenerationSearchPlanWithContextV1
         0     0% 98.32%     2.32ms 19.98%  github.com/snissn/gomap/TreeDB/collections.(*Collection).acquireColumnVectorGraphSharedPreparedSearch
         0     0% 98.32%     2.32ms 19.98%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReader
         0     0% 98.32%     2.32ms 19.98%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot
         0     0% 98.32%     2.32ms 19.98%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openVectorPartitionLocalSearcherForPreparedPartitionWithContextV1
    0.20ms  1.68%   100%     0.20ms  1.68%  runtime.unlock (partial-inline)
         0     0%   100%     0.10ms  0.84%  github.com/hashicorp/raft.(*Raft).heartbeat
         0     0%   100%     0.10ms  0.84%  github.com/hashicorp/raft.(*Raft).replicate.func1
         0     0%   100%     0.10ms  0.84%  github.com/hashicorp/raft.(*followerReplication).notifyAll
         0     0%   100%     0.10ms  0.84%  github.com/hashicorp/raft.(*verifyFuture).vote
         0     0%   100%     0.10ms  0.83%  runtime.systemstack
         0     0%   100%     0.09ms  0.74%  go.etcd.io/bbolt.(*DB).Begin
         0     0%   100%     0.08ms  0.73%  github.com/hashicorp/raft.(*Raft).pipelineReplicate
         0     0%   100%     0.08ms  0.73%  github.com/hashicorp/raft.(*Raft).pipelineSend
         0     0%   100%     0.08ms  0.73%  github.com/hashicorp/raft.(*Raft).replicate
         0     0%   100%     0.08ms  0.73%  github.com/hashicorp/raft.(*Raft).startStopReplication.func1
         0     0%   100%     0.08ms  0.67%  github.com/hashicorp/raft-boltdb/v2.(*BoltStore).GetLog
         0     0%   100%     0.08ms  0.67%  github.com/hashicorp/raft.(*Raft).setupAppendEntries
         0     0%   100%     0.08ms  0.65%  go.etcd.io/bbolt.(*DB).beginTx
         0     0%   100%     0.07ms  0.64%  github.com/hashicorp/raft.(*Raft).runFollower
         0     0%   100%     0.07ms  0.57%  runtime.findRunnable
         0     0%   100%     0.07ms  0.57%  runtime.schedule
         0     0%   100%     0.06ms  0.54%  github.com/hashicorp/raft.(*Raft).setPreviousLog
         0     0%   100%     0.06ms   0.5%  runtime.forEachP
