File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: delay
Time: 2026-08-09 14:09:33 HST
Showing nodes accounting for 558.93s, 100% of 558.95s total
Dropped 66 nodes (cum <= 2.79s)
Showing top 40 nodes out of 45
      flat  flat%   sum%        cum   cum%
   503.92s 90.16% 90.16%    503.92s 90.16%  runtime.selectgo
         0     0% 90.16%    347.51s 62.17%  github.com/hashicorp/raft.(*raftState).goFunc.func1
         0     0% 90.16%     82.23s 14.71%  github.com/hashicorp/raft.(*Raft).run
         0     0% 90.16%     82.23s 14.71%  github.com/hashicorp/raft.(*Raft).run-fm
         0     0% 90.16%     73.75s 13.20%  github.com/hashicorp/raft.(*Raft).pipelineDecode
         0     0% 90.16%     73.75s 13.20%  github.com/hashicorp/raft.(*Raft).pipelineReplicate.func1
         0     0% 90.16%     73.65s 13.18%  github.com/hashicorp/raft.(*inmemPipeline).decodeResponses
         0     0% 90.16%     73.65s 13.18%  github.com/hashicorp/raft.newInmemPipeline.gowrap1
         0     0% 90.16%     73.56s 13.16%  github.com/hashicorp/raft.(*Raft).pipelineReplicate
         0     0% 90.16%     73.56s 13.16%  github.com/hashicorp/raft.(*Raft).replicate
         0     0% 90.16%     73.56s 13.16%  github.com/hashicorp/raft.(*Raft).startStopReplication.func1
         0     0% 90.16%     72.15s 12.91%  github.com/hashicorp/raft.(*Raft).heartbeat
         0     0% 90.16%     72.15s 12.91%  github.com/hashicorp/raft.(*Raft).replicate.func1
         0     0% 90.16%     57.65s 10.31%  github.com/hashicorp/raft.(*Raft).runFollower
    55.01s  9.84%   100%     55.01s  9.84%  runtime.chanrecv1
         0     0%   100%     45.81s  8.20%  github.com/hashicorp/raft.(*Raft).runFSM
         0     0%   100%     45.81s  8.20%  github.com/hashicorp/raft.(*Raft).runFSM-fm
         0     0%   100%     43.43s  7.77%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionProductionTopologyV1).serve.func1.2
         0     0%   100%     43.43s  7.77%  github.com/snissn/gomap/TreeDB/nativewire.VectorPartitionShardSearchTCPServerV1.ServeConn
         0     0%   100%     43.41s  7.77%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchServiceV1).Search
         0     0%   100%     40.21s  7.19%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).PinVectorPartitionGenerationV1
         0     0%   100%     40.21s  7.19%  github.com/snissn/gomap/TreeDB/nativewire.(*vectorPartitionProductionNodeGenerationSourceV1).PinVectorPartitionGenerationV1
         0     0%   100%     40.21s  7.19%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionProductionNodeGenerationSourceV1.PinVectorPartitionGenerationV1
         0     0%   100%     35.76s  6.40%  runtime.(*wakeableSleep).sleep
         0     0%   100%     30.69s  5.49%  github.com/snissn/gomap/TreeDB/internal/raftcluster.(*CatalogMetaRaftProviderV1).LinearizableCatalogMetaAppliedIndexV1
         0     0%   100%     30.69s  5.49%  github.com/snissn/gomap/TreeDB/nativewire.(*LinearizableCatalogVectorPartitionLifecycleAuthorityV1).ValidateVectorPartitionGenerationSearchV1
         0     0%   100%     30.68s  5.49%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).validateActive
         0     0%   100%     30.34s  5.43%  github.com/snissn/gomap/TreeDB/internal/raftcluster.waitHashicorpRaftFuture
         0     0%   100%     30.15s  5.39%  github.com/hashicorp/raft.(*deferError).Error
         0     0%   100%     30.15s  5.39%  github.com/snissn/gomap/TreeDB/internal/raftcluster.waitHashicorpRaftFuture.func1
         0     0%   100%     24.58s  4.40%  github.com/hashicorp/raft.(*Raft).leaderLoop
         0     0%   100%     24.58s  4.40%  github.com/hashicorp/raft.(*Raft).runLeader
         0     0%   100%     18.45s  3.30%  main.main
         0     0%   100%     18.45s  3.30%  main.run
         0     0%   100%     18.45s  3.30%  main.runVectorPartitionSystemNodeV1
         0     0%   100%     18.45s  3.30%  runtime.main
         0     0%   100%     18.35s  3.28%  runtime.traceStartReadCPU.func1
         0     0%   100%     17.41s  3.11%  runtime.(*traceAdvancerState).start.func1
         0     0%   100%        10s  1.79%  github.com/hashicorp/raft.(*Raft).runLeader.gowrap1
         0     0%   100%        10s  1.79%  github.com/hashicorp/raft.emitLogStoreMetrics
