File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: alloc_space
Time: 2026-08-09 14:06:07 HST
Showing nodes accounting for 5325.57MB, 50.18% of 10613.79MB total
Dropped 411 nodes (cum <= 53.07MB)
Showing top 60 nodes out of 169
      flat  flat%   sum%        cum   cum%
         0     0%     0%  7853.54MB 73.99%  main.main
         0     0%     0%  7853.54MB 73.99%  main.run
         0     0%     0%  7853.54MB 73.99%  main.runVectorPartitionSystemNodeV1
         0     0%     0%  7853.54MB 73.99%  runtime.main
         0     0%     0%  7848.68MB 73.95%  main.openVectorPartitionSystemNodeV1
         0     0%     0%  7595.67MB 71.56%  main.openM8ProductionMultiGroupExistingAssetsV1
         0     0%     0%     5079MB 47.85%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReader
         0     0%     0%     5079MB 47.85%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot
         0     0%     0%  5012.75MB 47.23%  github.com/snissn/gomap/TreeDB/collections.(*Collection).acquireColumnVectorGraphSharedPreparedSearch
         0     0%     0%  5012.75MB 47.23%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot.func1
         0     0%     0%  5012.75MB 47.23%  github.com/snissn/gomap/TreeDB/collections.(*Collection).prepareColumnVectorGraphPhysicalRowReaderSourcesAtSnapshot
         0     0%     0%  4425.62MB 41.70%  github.com/snissn/gomap/TreeDB/collections.(*Collection).VectorPartitionStatusV1
         0     0%     0%  4425.62MB 41.70%  main.m8BindRetainedM3DescriptorV1
         0     0%     0%  4101.12MB 38.64%  github.com/snissn/gomap/TreeDB/collections.(*Collection).validateVectorPartitionAssetMembershipBindingsV1
         0     0%     0%  3054.19MB 28.78%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphAdjacencyStateSourcesForReader
         0     0%     0%  3054.19MB 28.78%  github.com/snissn/gomap/TreeDB/collections.newColumnVectorGraphAdjacencyStateDirectSourceFromRoot
         0     0%     0%  3054.19MB 28.78%  github.com/snissn/gomap/TreeDB/collections.openColumnVectorGraphAdjacencyStateSourcesFromRoot
