File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: alloc_space
Time: 2026-08-09 14:05:07 HST
Showing nodes accounting for 2482.71MB, 90.05% of 2757.11MB total
Dropped 272 nodes (cum <= 13.79MB)
Showing top 70 nodes out of 154
      flat  flat%   sum%        cum   cum%
  803.98MB 29.16% 29.16%   807.10MB 29.27%  encoding/json.Marshal
  384.91MB 13.96% 43.12%   384.91MB 13.96%  github.com/snissn/gomap/TreeDB/collections.readColumnPhysicalAssetFromManagerIntoWithIntegrity
  175.44MB  6.36% 49.48%   175.44MB  6.36%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.EncodeRawUint32OffsetsListPayload
  137.54MB  4.99% 54.47%   137.54MB  4.99%  github.com/snissn/gomap/TreeDB/collections.resizeColumnVectorGraphNativeUint64Scratch
  124.33MB  4.51% 58.98%   124.33MB  4.51%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.resizeFixedWidthValues[go.shape.uint32] (inline)
  110.68MB  4.01% 63.00%   110.68MB  4.01%  go.etcd.io/bbolt/internal/common.ReadInodeFromPage
   99.73MB  3.62% 66.61%    99.73MB  3.62%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.decodeContiguousRowLocatorSection
   95.67MB  3.47% 70.08%    95.67MB  3.47%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.resizeFixedWidthValues[go.shape.uint64] (inline)
   66.88MB  2.43% 72.51%    66.88MB  2.43%  go.etcd.io/bbolt.(*node).put
   62.61MB  2.27% 74.78%    62.61MB  2.27%  github.com/snissn/gomap/TreeDB/collections.resizeColumnVectorGraphNativeCandidateScratch
   62.08MB  2.25% 77.03%   548.98MB 19.91%  github.com/snissn/gomap/TreeDB/collections.encodeVectorPartitionManifestWithContextV1
   56.61MB  2.05% 79.09%    56.61MB  2.05%  github.com/snissn/gomap/TreeDB/collections.(*vpmReader).memberships
   53.71MB  1.95% 81.03%    53.71MB  1.95%  go.etcd.io/bbolt.(*Tx).writeMeta
   26.84MB  0.97% 82.01%    26.84MB  0.97%  github.com/snissn/gomap/TreeDB/collections.cloneVectorPartitionSliceWithContextV1[go.shape.struct { VectorOrdinal uint64; PartitionID uint32 }]
