File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: cpu
Time: 2026-08-09 14:05:07 HST
Duration: 59.93s, Total samples = 9.18s (15.32%)
Showing nodes accounting for 6.39s, 69.61% of 9.18s total
Dropped 547 nodes (cum <= 0.05s)
Showing top 60 nodes out of 347
      flat  flat%   sum%        cum   cum%
     1.05s 11.44% 11.44%      1.05s 11.44%  internal/runtime/syscall/linux.Syscall6
     0.88s  9.59% 21.02%      0.97s 10.57%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionCoordinatorCandidateRowsV1.func1
     0.57s  6.21% 27.23%      0.57s  6.21%  crypto/internal/fips140/sha256.blockSHANI
     0.31s  3.38% 30.61%      0.31s  3.38%  runtime.futex
     0.25s  2.72% 33.33%      0.25s  2.72%  github.com/snissn/go-crc32-asm.crc32IEEEVPCLMUL512
     0.25s  2.72% 36.06%      0.25s  2.72%  runtime.memmove
     0.18s  1.96% 38.02%      1.01s 11.00%  encoding/json.structEncoder.encode
     0.16s  1.74% 39.76%      0.21s  2.29%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).prepareSectionViewsWithContext
     0.16s  1.74% 41.50%      0.34s  3.70%  runtime.scanObject
     0.12s  1.31% 42.81%      0.12s  1.31%  github.com/tphakala/simd/f32.dotProductAVX512
     0.11s  1.20% 44.01%      0.11s  1.20%  runtime.memclrNoHeapPointers
     0.11s  1.20% 45.21%      0.41s  4.47%  runtime.selectgo
     0.10s  1.09% 46.30%      0.10s  1.09%  bytes.(*Buffer).tryGrowByReslice (inline)
     0.10s  1.09% 47.39%      0.12s  1.31%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.DecodeRawUint32OffsetsListFallback
     0.10s  1.09% 48.47%      0.10s  1.09%  runtime.nextFreeFast (inline)
     0.09s  0.98% 49.46%      0.41s  4.47%  encoding/json.uintEncoder
     0.09s  0.98% 50.44%      0.09s  0.98%  github.com/snissn/gomap/TreeDB/nativewire.addUint64V1 (inline)
     0.09s  0.98% 51.42%      0.09s  0.98%  internal/strconv.formatBase10
     0.09s  0.98% 52.40%      0.11s  1.20%  runtime.typePointers.next
     0.08s  0.87% 53.27%      0.11s  1.20%  bytes.(*Buffer).Write
     0.08s  0.87% 54.14%      0.13s  1.42%  bytes.(*Buffer).WriteByte
     0.08s  0.87% 55.01%      0.13s  1.42%  reflect.Value.Field
     0.07s  0.76% 55.77%      0.09s  0.98%  runtime.lock2
     0.07s  0.76% 56.54%      0.21s  2.29%  runtime.stealWork
     0.07s  0.76% 57.30%      0.07s  0.76%  time.runtimeNow
     0.06s  0.65% 57.95%      0.06s  0.65%  internal/runtime/maps.ctrlGroup.matchH2 (inline)
     0.06s  0.65% 58.61%      0.06s  0.65%  runtime.releasem (inline)
     0.06s  0.65% 59.26%      0.08s  0.87%  runtime.step
     0.05s  0.54% 59.80%      0.37s  4.03%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).searchCosineWithContext
     0.05s  0.54% 60.35%      0.09s  0.98%  github.com/snissn/gomap/TreeDB/collections.validateMembershipsWithContextVPM
     0.05s  0.54% 60.89%      0.05s  0.54%  runtime.(*mspan).writeHeapBitsSmall
     0.05s  0.54% 61.44%      0.29s  3.16%  runtime.mallocgcSmallScanNoHeader
     0.05s  0.54% 61.98%      0.21s  2.29%  runtime.newobject
     0.05s  0.54% 62.53%      0.07s  0.76%  runtime.unlock2
     0.04s  0.44% 62.96%      0.09s  0.98%  bytes.(*Buffer).WriteString
     0.04s  0.44% 63.40%      0.08s  0.87%  runtime.(*traceMap).put
     0.04s  0.44% 63.83%      0.05s  0.54%  runtime.(*waitq).dequeue (inline)
     0.04s  0.44% 64.27%      0.07s  0.76%  runtime.sellock
     0.03s  0.33% 64.60%      0.98s 10.68%  encoding/json.arrayEncoder.encode
     0.03s  0.33% 64.92%      0.05s  0.54%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphNativeSearchScratch).insertTop
     0.03s  0.33% 65.25%      0.12s  1.31%  github.com/snissn/gomap/TreeDB/collections.newColumnVectorGraphRowRefStateSourceFromRoot
     0.03s  0.33% 65.58%      0.05s  0.54%  github.com/snissn/gomap/TreeDB/collections.validateColumnVectorIndexStateAdjacencySections
     0.03s  0.33% 65.90%      0.08s  0.87%  runtime.mapaccess2_fast64
     0.03s  0.33% 66.23%      0.14s  1.53%  runtime.pcvalue
     0.03s  0.33% 66.56%      0.11s  1.20%  runtime.traceStack
     0.03s  0.33% 66.88%      0.05s  0.54%  runtime.tryDeferToSpanScan
     0.02s  0.22% 67.10%      0.07s  0.76%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).fetchTopSearchResults
     0.02s  0.22% 67.32%      0.95s 10.35%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.validateWithContextV1
     0.02s  0.22% 67.54%      0.75s  8.17%  go.etcd.io/bbolt.(*Tx).Commit
     0.02s  0.22% 67.76%      0.23s  2.51%  internal/strconv.AppendUint
     0.02s  0.22% 67.97%      0.06s  0.65%  internal/strconv.genericFtoa
     0.02s  0.22% 68.19%      0.05s  0.54%  math.IsInf (inline)
     0.02s  0.22% 68.41%      0.05s  0.54%  runtime.exitsyscall
     0.02s  0.22% 68.63%      0.13s  1.42%  runtime.makeslice
     0.02s  0.22% 68.85%      0.05s  0.54%  runtime.mapaccess2_fast32
     0.02s  0.22% 69.06%      0.26s  2.83%  runtime.stopm
     0.02s  0.22% 69.28%      0.05s  0.54%  runtime.traceLocker.GoUnpark
     0.01s  0.11% 69.39%      0.09s  0.98%  encoding/json.(*decodeState).array
     0.01s  0.11% 69.50%      0.17s  1.85%  encoding/json.(*decodeState).object
     0.01s  0.11% 69.61%      0.18s  1.96%  encoding/json.(*decodeState).unmarshal
