File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: alloc_space
Time: 2026-08-09 14:06:07 HST
Showing nodes accounting for 5046.15MB, 51.05% of 9885.03MB total
Dropped 412 nodes (cum <= 49.43MB)
Showing top 60 nodes out of 140
      flat  flat%   sum%        cum   cum%
         0     0%     0%  7850.46MB 79.42%  runtime.main
         0     0%     0%  7849.96MB 79.41%  main.main
         0     0%     0%  7849.96MB 79.41%  main.run
         0     0%     0%  7849.96MB 79.41%  main.runVectorPartitionSystemNodeV1
         0     0%     0%  7842.86MB 79.34%  main.openVectorPartitionSystemNodeV1
         0     0%     0%  7591.35MB 76.80%  main.openM8ProductionMultiGroupExistingAssetsV1
         0     0%     0%  5081.50MB 51.41%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReader
         0     0%     0%  5081.50MB 51.41%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot
         0     0%     0%  5013.75MB 50.72%  github.com/snissn/gomap/TreeDB/collections.(*Collection).acquireColumnVectorGraphSharedPreparedSearch
         0     0%     0%  5013.75MB 50.72%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot.func1
         0     0%     0%  5013.75MB 50.72%  github.com/snissn/gomap/TreeDB/collections.(*Collection).prepareColumnVectorGraphPhysicalRowReaderSourcesAtSnapshot
         0     0%     0%  4434.49MB 44.86%  github.com/snissn/gomap/TreeDB/collections.(*Collection).VectorPartitionStatusV1
         0     0%     0%  4434.49MB 44.86%  main.m8BindRetainedM3DescriptorV1
         0     0%     0%  4099.53MB 41.47%  github.com/snissn/gomap/TreeDB/collections.(*Collection).validateVectorPartitionAssetMembershipBindingsV1
         0     0%     0%  3046.03MB 30.81%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphAdjacencyStateSourcesForReader
         0     0%     0%  3046.03MB 30.81%  github.com/snissn/gomap/TreeDB/collections.newColumnVectorGraphAdjacencyStateDirectSourceFromRoot
         0     0%     0%  3046.03MB 30.81%  github.com/snissn/gomap/TreeDB/collections.openColumnVectorGraphAdjacencyStateSourcesFromRoot
    1.50MB 0.015% 0.015%  2801.94MB 28.35%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.ColumnPartFromImageWithOptions
         0     0% 0.015%  2724.59MB 27.56%  main.openM8ProductionExistingAssetSetV1
         0     0% 0.015%  2394.29MB 24.22%  github.com/snissn/gomap/TreeDB/db.Open
         0     0% 0.015%  2394.29MB 24.22%  github.com/snissn/gomap/TreeDB/db.openReadOnly
         0     0% 0.015%  2382.45MB 24.10%  github.com/snissn/gomap/TreeDB/db.scanCommandWALSegmentReader
         0     0% 0.015%  2382.45MB 24.10%  github.com/snissn/gomap/TreeDB/db.scanCommandWALSegmentWithOptions
         0     0% 0.015%  2382.45MB 24.10%  github.com/snissn/gomap/TreeDB/db.scanCommandWALSegmentWithSeen (inline)
