File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: cpu
Time: 2026-08-09 14:05:07 HST
Duration: 59.78s, Total samples = 5.15s ( 8.61%)
Showing nodes accounting for 3.84s, 74.56% of 5.15s total
Dropped 357 nodes (cum <= 0.03s)
Showing top 60 nodes out of 329
      flat  flat%   sum%        cum   cum%
     0.52s 10.10% 10.10%      0.52s 10.10%  internal/runtime/syscall/linux.Syscall6
     0.33s  6.41% 16.50%      0.33s  6.41%  github.com/snissn/go-crc32-asm.crc32IEEEVPCLMUL512
     0.32s  6.21% 22.72%      0.32s  6.21%  crypto/internal/fips140/sha256.blockSHANI
     0.25s  4.85% 27.57%      0.25s  4.85%  runtime.futex
     0.14s  2.72% 30.29%      0.14s  2.72%  github.com/tphakala/simd/f32.dotProductAVX512
     0.13s  2.52% 32.82%      0.58s 11.26%  encoding/json.structEncoder.encode
     0.12s  2.33% 35.15%      0.20s  3.88%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).prepareSectionViewsWithContext
     0.11s  2.14% 37.28%      0.11s  2.14%  runtime.memmove
     0.11s  2.14% 39.42%      0.30s  5.83%  runtime.scanObject
     0.10s  1.94% 41.36%      0.34s  6.60%  runtime.selectgo
     0.09s  1.75% 43.11%      0.09s  1.75%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.DecodeRawUint32OffsetsListFallback
     0.08s  1.55% 44.66%      0.08s  1.55%  bytes.(*Buffer).tryGrowByReslice (inline)
     0.08s  1.55% 46.21%      0.12s  2.33%  runtime.typePointers.next
     0.07s  1.36% 47.57%      0.12s  2.33%  bytes.(*Buffer).Write
     0.06s  1.17% 48.74%      0.08s  1.55%  bytes.(*Buffer).WriteByte
     0.06s  1.17% 49.90%      0.06s  1.17%  runtime.(*mspan).writeHeapBitsSmall
     0.06s  1.17% 51.07%      0.06s  1.17%  runtime.nextFreeFast (inline)
     0.05s  0.97% 52.04%      0.06s  1.17%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphRowRefStateSource).rowRefForOrdinal
     0.05s  0.97% 53.01%      0.06s  1.17%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.encodeLittleEndian4Payload[go.shape.uint32]
     0.05s  0.97% 53.98%      0.06s  1.17%  math.IsInf (inline)
     0.05s  0.97% 54.95%      0.06s  1.17%  runtime.tryDeferToSpanScan
     0.04s  0.78% 55.73%      0.31s  6.02%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).searchCosineWithContext
     0.04s  0.78% 56.50%      0.05s  0.97%  github.com/snissn/gomap/TreeDB/collections.canonicalVectorPartitionAccumulateV1
     0.04s  0.78% 57.28%      0.04s  0.78%  internal/runtime/maps.ctrlGroup.matchH2 (inline)
     0.04s  0.78% 58.06%      0.10s  1.94%  internal/strconv.AppendUint
     0.04s  0.78% 58.83%      0.04s  0.78%  runtime.madvise
     0.04s  0.78% 59.61%      0.04s  0.78%  runtime.memclrNoHeapPointers
     0.04s  0.78% 60.39%      0.04s  0.78%  runtime.nanotime (inline)
     0.04s  0.78% 61.17%      0.05s  0.97%  runtime.stkbucket
     0.04s  0.78% 61.94%      0.04s  0.78%  runtime.unlock2
