File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: alloc_space
Time: 2026-08-09 14:06:07 HST
Showing nodes accounting for 5062.95MB, 50.71% of 9985.01MB total
Dropped 415 nodes (cum <= 49.93MB)
Showing top 60 nodes out of 141
      flat  flat%   sum%        cum   cum%
         0     0%     0%  7921.08MB 79.33%  runtime.main
         0     0%     0%  7920.08MB 79.32%  main.main
         0     0%     0%  7920.08MB 79.32%  main.run
         0     0%     0%  7920.08MB 79.32%  main.runVectorPartitionSystemNodeV1
         0     0%     0%  7914.72MB 79.27%  main.openVectorPartitionSystemNodeV1
         0     0%     0%  7661.70MB 76.73%  main.openM8ProductionMultiGroupExistingAssetsV1
         0     0%     0%  5115.48MB 51.23%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReader
         0     0%     0%  5115.48MB 51.23%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot
         0     0%     0%  5048.72MB 50.56%  github.com/snissn/gomap/TreeDB/collections.(*Collection).acquireColumnVectorGraphSharedPreparedSearch
         0     0%     0%  5048.72MB 50.56%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot.func1
         0     0%     0%  5048.72MB 50.56%  github.com/snissn/gomap/TreeDB/collections.(*Collection).prepareColumnVectorGraphPhysicalRowReaderSourcesAtSnapshot
         0     0%     0%  4459.34MB 44.66%  github.com/snissn/gomap/TreeDB/collections.(*Collection).VectorPartitionStatusV1
         0     0%     0%  4459.34MB 44.66%  main.m8BindRetainedM3DescriptorV1
         0     0%     0%  4119.10MB 41.25%  github.com/snissn/gomap/TreeDB/collections.(*Collection).validateVectorPartitionAssetMembershipBindingsV1
         0     0%     0%  3042.07MB 30.47%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphAdjacencyStateSourcesForReader
         0     0%     0%  3042.07MB 30.47%  github.com/snissn/gomap/TreeDB/collections.newColumnVectorGraphAdjacencyStateDirectSourceFromRoot
         0     0%     0%  3042.07MB 30.47%  github.com/snissn/gomap/TreeDB/collections.openColumnVectorGraphAdjacencyStateSourcesFromRoot
    0.50MB 0.005% 0.005%  2813.66MB 28.18%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.ColumnPartFromImageWithOptions
         0     0% 0.005%  2759.87MB 27.64%  main.openM8ProductionExistingAssetSetV1
         0     0% 0.005%  2416.24MB 24.20%  github.com/snissn/gomap/TreeDB/db.Open
         0     0% 0.005%  2416.24MB 24.20%  github.com/snissn/gomap/TreeDB/db.openReadOnly
         0     0% 0.005%  2404.92MB 24.09%  github.com/snissn/gomap/TreeDB/db.scanCommandWALSegmentReader
         0     0% 0.005%  2404.92MB 24.09%  github.com/snissn/gomap/TreeDB/db.scanCommandWALSegmentWithOptions
         0     0% 0.005%  2404.92MB 24.09%  github.com/snissn/gomap/TreeDB/db.scanCommandWALSegmentWithSeen (inline)
         0     0% 0.005%  2404.92MB 24.09%  github.com/snissn/gomap/TreeDB/internal/commitlog.(*Reader).ReadCommandFrame
         0     0% 0.005%  2217.03MB 22.20%  github.com/snissn/gomap/TreeDB/collections.typedColumnAdapterPartFromImageWithoutRowLocators (inline)
         0     0% 0.005%  2217.03MB 22.20%  github.com/snissn/gomap/TreeDB/collections.typedColumnAdapterPartFromImageWithoutRowLocatorsWithDiagnostics
         0     0% 0.005%  2198.45MB 22.02%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.attachColumnPayloadsFromImage
         0     0% 0.005%  2185.56MB 21.89%  github.com/snissn/gomap/TreeDB/collections.readColumnPhysicalAssetFromManager
         0     0% 0.005%  2185.56MB 21.89%  github.com/snissn/gomap/TreeDB/collections.readColumnPhysicalAssetFromManagerInto (inline)
 2185.56MB 21.89% 21.89%  2185.56MB 21.89%  github.com/snissn/gomap/TreeDB/collections.readColumnPhysicalAssetFromManagerIntoWithIntegrity
