File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: cpu
Time: 2026-08-09 14:05:07 HST
Duration: 59.92s, Total samples = 5.16s ( 8.61%)
Showing nodes accounting for 3.79s, 73.45% of 5.16s total
Dropped 330 nodes (cum <= 0.03s)
Showing top 60 nodes out of 354
      flat  flat%   sum%        cum   cum%
     0.59s 11.43% 11.43%      0.59s 11.43%  internal/runtime/syscall/linux.Syscall6
     0.31s  6.01% 17.44%      0.31s  6.01%  github.com/snissn/go-crc32-asm.crc32IEEEVPCLMUL512
     0.29s  5.62% 23.06%      0.29s  5.62%  crypto/internal/fips140/sha256.blockSHANI
     0.22s  4.26% 27.33%      0.22s  4.26%  runtime.futex
     0.18s  3.49% 30.81%      0.61s 11.82%  encoding/json.structEncoder.encode
     0.18s  3.49% 34.30%      0.18s  3.49%  runtime.memmove
     0.14s  2.71% 37.02%      0.14s  2.71%  github.com/tphakala/simd/f32.dotProductAVX512
     0.14s  2.71% 39.73%      0.32s  6.20%  runtime.scanObject
     0.10s  1.94% 41.67%      0.12s  2.33%  runtime.typePointers.next
     0.09s  1.74% 43.41%      0.19s  3.68%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).prepareSectionViewsWithContext
     0.08s  1.55% 44.96%      0.22s  4.26%  runtime.selectgo
     0.07s  1.36% 46.32%      0.07s  1.36%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.DecodeRawUint32OffsetsListFallback
     0.07s  1.36% 47.67%      0.07s  1.36%  runtime.memclrNoHeapPointers
     0.06s  1.16% 48.84%      0.14s  2.71%  runtime.stealWork
     0.05s  0.97% 49.81%      0.12s  2.33%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphRowRefStateSource).rowRefForOrdinal
     0.05s  0.97% 50.78%      0.05s  0.97%  github.com/snissn/gomap/TreeDB/collections.validateColumnVectorIndexStateAdjacencySections
     0.05s  0.97% 51.74%      0.15s  2.91%  internal/strconv.AppendUint
     0.05s  0.97% 52.71%      0.08s  1.55%  math.IsInf (inline)
     0.05s  0.97% 53.68%      0.05s  0.97%  runtime.nanotime (inline)
     0.04s  0.78% 54.46%      0.05s  0.97%  bytes.(*Buffer).WriteByte
     0.04s  0.78% 55.23%      0.06s  1.16%  bytes.(*Buffer).WriteString
     0.04s  0.78% 56.01%      0.04s  0.78%  bytes.(*Buffer).tryGrowByReslice (inline)
     0.04s  0.78% 56.78%      0.04s  0.78%  internal/runtime/maps.ctrlGroup.matchH2 (inline)
     0.04s  0.78% 57.56%      0.04s  0.78%  runtime.madvise
     0.04s  0.78% 58.33%      0.04s  0.78%  runtime.nextFreeFast (inline)
     0.04s  0.78% 59.11%      0.04s  0.78%  runtime.scanblock
     0.03s  0.58% 59.69%      0.07s  1.36%  bytes.(*Buffer).Write
     0.03s  0.58% 60.27%      0.29s  5.62%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).searchCosineWithContext
     0.03s  0.58% 60.85%      0.05s  0.97%  github.com/snissn/gomap/TreeDB/collections.canonicalVectorPartitionNormalizedScoreV1
     0.03s  0.58% 61.43%      0.03s  0.58%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.encodeLittleEndian4Payload[go.shape.uint32]
     0.03s  0.58% 62.02%      0.03s  0.58%  internal/runtime/maps.(*Map).directoryIndex (inline)
     0.03s  0.58% 62.60%      0.03s  0.58%  internal/strconv.formatBase10
     0.03s  0.58% 63.18%      0.03s  0.58%  memeqbody
     0.03s  0.58% 63.76%      0.03s  0.58%  runtime.findfunc
     0.03s  0.58% 64.34%      0.03s  0.58%  runtime.lock2
     0.03s  0.58% 64.92%      0.03s  0.58%  runtime.spanClass.sizeclass (inline)
