File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: cpu
Time: 2026-08-09 14:05:07 HST
Duration: 59.83s, Total samples = 4.96s ( 8.29%)
Showing nodes accounting for 3.54s, 71.37% of 4.96s total
Dropped 372 nodes (cum <= 0.02s)
Showing top 60 nodes out of 337
      flat  flat%   sum%        cum   cum%
     0.45s  9.07%  9.07%      0.45s  9.07%  internal/runtime/syscall/linux.Syscall6
     0.34s  6.85% 15.93%      0.34s  6.85%  crypto/internal/fips140/sha256.blockSHANI
     0.32s  6.45% 22.38%      0.32s  6.45%  github.com/snissn/go-crc32-asm.crc32IEEEVPCLMUL512
     0.17s  3.43% 25.81%      0.17s  3.43%  runtime.memmove
     0.16s  3.23% 29.03%      0.62s 12.50%  encoding/json.structEncoder.encode
     0.14s  2.82% 31.85%      0.20s  4.03%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).prepareSectionViewsWithContext
     0.13s  2.62% 34.48%      0.13s  2.62%  github.com/tphakala/simd/f32.dotProductAVX512
     0.13s  2.62% 37.10%      0.13s  2.62%  runtime.futex
     0.10s  2.02% 39.11%      0.17s  3.43%  runtime.scanObject
     0.08s  1.61% 40.73%      0.27s  5.44%  runtime.selectgo
     0.07s  1.41% 42.14%      0.08s  1.61%  bytes.(*Buffer).WriteByte
     0.07s  1.41% 43.55%      0.11s  2.22%  reflect.Value.Field
     0.07s  1.41% 44.96%      0.07s  1.41%  runtime.memclrNoHeapPointers
     0.07s  1.41% 46.37%      0.07s  1.41%  runtime.nextFreeFast (inline)
     0.06s  1.21% 47.58%      0.10s  2.02%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphRowRefStateSource).rowRefForOrdinal
     0.06s  1.21% 48.79%      0.08s  1.61%  github.com/snissn/gomap/TreeDB/collections.validateColumnVectorIndexStateAdjacencySections
     0.06s  1.21% 50.00%      0.06s  1.21%  runtime.madvise
     0.05s  1.01% 51.01%      0.09s  1.81%  bytes.(*Buffer).WriteString
     0.05s  1.01% 52.02%      0.06s  1.21%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.DecodeRawUint32OffsetsListFallback
     0.04s  0.81% 52.82%      0.04s  0.81%  bytes.(*Buffer).tryGrowByReslice (inline)
     0.04s  0.81% 53.63%      0.22s  4.44%  encoding/json.uintEncoder
     0.04s  0.81% 54.44%      0.06s  1.21%  github.com/snissn/gomap/TreeDB/collections.canonicalVectorPartitionNormalizedScoreV1
     0.04s  0.81% 55.24%      0.04s  0.81%  internal/strconv.formatBase10
     0.04s  0.81% 56.05%      0.05s  1.01%  runtime.scanblock
     0.04s  0.81% 56.85%      0.04s  0.81%  runtime.typePointers.nextFast (inline)
     0.03s   0.6% 57.46%      0.27s  5.44%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).searchCosineWithContext
     0.03s   0.6% 58.06%      0.04s  0.81%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphNativeSearchScratch).insertTop
     0.03s   0.6% 58.67%      0.12s  2.42%  github.com/snissn/gomap/TreeDB/collections.newColumnVectorGraphRowRefStateSourceFromRoot
     0.03s   0.6% 59.27%      0.03s   0.6%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.encodeLittleEndian4Payload[go.shape.uint32]
     0.03s   0.6% 59.88%      0.03s   0.6%  internal/abi.Name.IsExported (inline)
     0.03s   0.6% 60.48%      0.03s   0.6%  internal/runtime/maps.(*groupReference).key (inline)
     0.03s   0.6% 61.09%      0.16s  3.23%  internal/strconv.AppendUint
     0.03s   0.6% 61.69%      0.03s   0.6%  runtime.(*mspan).writeHeapBitsSmall
     0.03s   0.6% 62.30%      0.46s  9.27%  runtime.findRunnable
     0.03s   0.6% 62.90%      0.04s  0.81%  runtime.lock2
     0.03s   0.6% 63.51%      0.13s  2.62%  runtime.stealWork
