File: treedb_vector_partition_bench
Type: delay
Showing nodes accounting for 2685225.28ms, 100% of 2685313.11ms total
Dropped 135 nodes (cum <= 13426.57ms)
Showing top 50 nodes out of 57
      flat  flat%   sum%        cum   cum%
2347154.34ms 87.41% 87.41% 2347154.34ms 87.41%  runtime.selectgo
         0     0% 87.41% 798236.88ms 29.73%  main.(*vectorPartitionOperationsTCPServerV1).serve
         0     0% 87.41% 798236.88ms 29.73%  main.(*vectorPartitionOperationsTCPServerV1).start.func1.1
         0     0% 87.41% 798230.77ms 29.73%  github.com/snissn/gomap/TreeDB/vectorpartition.(*OperationsV1).Search
         0     0% 87.41% 658199.50ms 24.51%  github.com/snissn/gomap/TreeDB/internal/raftcluster.(*CatalogMetaRaftProviderV1).LinearizableCatalogMetaAppliedIndexV1
         0     0% 87.41% 622787.08ms 23.19%  github.com/snissn/gomap/TreeDB/internal/raftcluster.waitHashicorpRaftFuture
         0     0% 87.41% 622325.95ms 23.18%  github.com/snissn/gomap/TreeDB/internal/raftcluster.waitHashicorpRaftFuture.func1
         0     0% 87.41% 536331.61ms 19.97%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionPublicBackendV1).SearchVectorPartitionV1
         0     0% 87.41% 536331.61ms 19.97%  github.com/snissn/gomap/TreeDB/vectorpartition.(*ServiceV1).Search
         0     0% 87.41% 536330.82ms 19.97%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).Search
         0     0% 87.41% 511032.49ms 19.03%  github.com/hashicorp/raft.(*raftState).goFunc.func1
         0     0% 87.41% 396294.49ms 14.76%  github.com/snissn/gomap/TreeDB/nativewire.(*LinearizableCatalogVectorPartitionLifecycleAuthorityV1).ValidateVectorPartitionGenerationSearchV1
         0     0% 87.41% 345027.50ms 12.85%  github.com/hashicorp/raft.(*logFuture).Error
         0     0% 87.41% 321910.53ms 11.99%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionShardSearchTCPInterruptOnCancelV1.func2
         0     0% 87.41% 277298.46ms 10.33%  github.com/hashicorp/raft.(*verifyFuture).Error
         0     0% 87.41% 267061.39ms  9.95%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).validateReplicatedLifecycle
         0     0% 87.41% 261905.12ms  9.75%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionPublicBackendV1).OperationsHealthV1
         0     0% 87.41% 261905.12ms  9.75%  github.com/snissn/gomap/TreeDB/vectorpartition.(*OperationsV1).Status
         0     0% 87.41% 252323.46ms  9.40%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).dispatch
252323.46ms  9.40% 96.80% 252323.46ms  9.40%  sync.(*WaitGroup).Wait
         0     0% 96.80% 141758.23ms  5.28%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionProductionTopologyV1).serve.func1.2
         0     0% 96.80% 141758.23ms  5.28%  github.com/snissn/gomap/TreeDB/nativewire.VectorPartitionShardSearchTCPServerV1.ServeConn
         0     0% 96.80% 141752.61ms  5.28%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchServiceV1).Search
