File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: cpu
Time: 2026-08-09 14:06:32 HST
Duration: 27.63s, Total samples = 3.71s (13.43%)
Showing nodes accounting for 0.97s, 26.15% of 3.71s total
Dropped 226 nodes (cum <= 0.02s)
Showing top 60 nodes out of 353
      flat  flat%   sum%        cum   cum%
         0     0%     0%      2.50s 67.39%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionProductionTopologyV1).serve.func1.2
         0     0%     0%      2.50s 67.39%  github.com/snissn/gomap/TreeDB/nativewire.VectorPartitionShardSearchTCPServerV1.ServeConn
         0     0%     0%      2.38s 64.15%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchServiceV1).Search
         0     0%     0%      1.32s 35.58%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).PinVectorPartitionGenerationV1
         0     0%     0%      1.32s 35.58%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionProductionNodeGenerationSourceV1.PinVectorPartitionGenerationV1
         0     0%     0%      1.30s 35.04%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).loadVectorPartitionLifecycleAuthorityWithContextV1
         0     0%     0%      1.30s 35.04%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).loadVectorPartitionLifecycleCheckpointStateFromDirWithContextV1
         0     0%     0%      1.30s 35.04%  github.com/snissn/gomap/TreeDB/collections.WithVectorPartitionStorageBarrierV1 (inline)
         0     0%     0%      1.30s 35.04%  github.com/snissn/gomap/TreeDB/collections.WithVectorPartitionStorageBarrierWithContextV1
         0     0%     0%      1.30s 35.04%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).loadGeneration
         0     0%     0%      1.06s 28.57%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1
         0     0%     0%      1.06s 28.57%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func2
         0     0%     0%      1.06s 28.57%  github.com/snissn/gomap/TreeDB/collections.writeVectorPartitionJSONSliceWithContextV1[go.shape.struct { VectorOrdinal uint64; PartitionID uint32 }]
         0     0%     0%      1.02s 27.49%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleCheckpointTailV1
         0     0%     0%      0.90s 24.26%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func4
         0     0%     0%      0.82s 22.10%  encoding/json.Marshal
         0     0%     0%      0.81s 21.83%  github.com/snissn/gomap/TreeDB/collections.encodeVectorPartitionManifestWithContextV1
         0     0%     0%      0.78s 21.02%  encoding/json.(*encodeState).marshal
         0     0%     0%      0.78s 21.02%  encoding/json.(*encodeState).reflectValue
     0.01s  0.27%  0.27%      0.78s 21.02%  encoding/json.arrayEncoder.encode
         0     0%  0.27%      0.78s 21.02%  encoding/json.sliceEncoder.encode
         0     0%  0.27%      0.78s 21.02%  github.com/snissn/gomap/TreeDB/collections.applyVectorPartitionReadyPromotionV1
         0     0%  0.27%      0.78s 21.02%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleRecordV1
     0.02s  0.54%  0.81%      0.75s 20.22%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.validateWithContextV1
     0.22s  5.93%  6.74%      0.74s 19.95%  encoding/json.structEncoder.encode
