File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: cpu
Time: 2026-08-09 14:06:34 HST
Duration: 26.14s, Total samples = 3.89s (14.88%)
Showing nodes accounting for 3.06s, 78.66% of 3.89s total
Dropped 200 nodes (cum <= 0.02s)
Showing top 60 nodes out of 367
      flat  flat%   sum%        cum   cum%
     0.42s 10.80% 10.80%      0.42s 10.80%  crypto/internal/fips140/sha256.blockSHANI
     0.42s 10.80% 21.59%      0.42s 10.80%  internal/runtime/syscall/linux.Syscall6
     0.19s  4.88% 26.48%      0.19s  4.88%  github.com/snissn/go-crc32-asm.crc32IEEEVPCLMUL512
     0.17s  4.37% 30.85%      0.67s 17.22%  encoding/json.structEncoder.encode
     0.12s  3.08% 33.93%      0.12s  3.08%  runtime.memmove
     0.11s  2.83% 36.76%      0.16s  4.11%  bytes.(*Buffer).WriteByte
     0.10s  2.57% 39.33%      0.10s  2.57%  github.com/tphakala/simd/f32.dotProductAVX512
     0.09s  2.31% 41.65%      0.09s  2.31%  runtime.memclrNoHeapPointers
     0.08s  2.06% 43.70%      0.21s  5.40%  runtime.scanObject
     0.07s  1.80% 45.50%      0.07s  1.80%  bytes.(*Buffer).Write
     0.07s  1.80% 47.30%      0.07s  1.80%  runtime.futex
     0.06s  1.54% 48.84%      0.10s  2.57%  bytes.(*Buffer).WriteString
     0.06s  1.54% 50.39%      0.11s  2.83%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).prepareSectionViewsWithContext
     0.06s  1.54% 51.93%      0.27s  6.94%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).searchCosineWithContext
     0.06s  1.54% 53.47%      0.14s  3.60%  internal/strconv.AppendUint
     0.06s  1.54% 55.01%      0.07s  1.80%  runtime.tryDeferToSpanScan
     0.05s  1.29% 56.30%      0.05s  1.29%  bytes.(*Buffer).tryGrowByReslice (inline)
     0.05s  1.29% 57.58%      0.05s  1.29%  runtime.typePointers.next
     0.04s  1.03% 58.61%      0.04s  1.03%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.DecodeRawUint32OffsetsListFallback
     0.03s  0.77% 59.38%      0.77s 19.79%  encoding/json.arrayEncoder.encode
     0.03s  0.77% 60.15%      0.24s  6.17%  encoding/json.uintEncoder
     0.03s  0.77% 60.93%      0.03s  0.77%  github.com/snissn/gomap/TreeDB/collections.validateColumnVectorIndexStateAdjacencySections
     0.03s  0.77% 61.70%      0.03s  0.77%  internal/runtime/maps.ctrlGroup.matchH2 (inline)
     0.03s  0.77% 62.47%      0.03s  0.77%  internal/strconv.formatBase10
     0.03s  0.77% 63.24%      0.03s  0.77%  math.IsInf (inline)
     0.03s  0.77% 64.01%      0.03s  0.77%  runtime.lock2
     0.03s  0.77% 64.78%      0.03s  0.77%  runtime.madvise
     0.03s  0.77% 65.55%      0.10s  2.57%  runtime.stealWork
