File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: delay
Time: 2026-08-09 14:04:34 HST
Showing nodes accounting for 2965.32s, 98.09% of 3023.11s total
Dropped 105 nodes (cum <= 15.12s)
Showing top 40 nodes out of 63
      flat  flat%   sum%        cum   cum%
  2666.13s 88.19% 88.19%   2666.13s 88.19%  runtime.selectgo
         0     0% 88.19%    844.69s 27.94%  github.com/hashicorp/raft.(*raftState).goFunc.func1
         0     0% 88.19%    565.75s 18.71%  main.(*vectorPartitionOperationsTCPServerV1).serve
         0     0% 88.19%    565.75s 18.71%  main.(*vectorPartitionOperationsTCPServerV1).start.func1.1
         0     0% 88.19%    565.74s 18.71%  github.com/snissn/gomap/TreeDB/vectorpartition.(*OperationsV1).Search
         0     0% 88.19%    478.46s 15.83%  github.com/snissn/gomap/TreeDB/internal/raftcluster.(*CatalogMetaRaftProviderV1).LinearizableCatalogMetaAppliedIndexV1
         0     0% 88.19%    451.71s 14.94%  github.com/snissn/gomap/TreeDB/internal/raftcluster.waitHashicorpRaftFuture
         0     0% 88.19%    450.42s 14.90%  github.com/hashicorp/raft.(*deferError).Error
         0     0% 88.19%    450.42s 14.90%  github.com/snissn/gomap/TreeDB/internal/raftcluster.waitHashicorpRaftFuture.func1
         0     0% 88.19%    438.72s 14.51%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionPublicBackendV1).SearchVectorPartitionV1
         0     0% 88.19%    438.72s 14.51%  github.com/snissn/gomap/TreeDB/vectorpartition.(*ServiceV1).Search
         0     0% 88.19%    438.71s 14.51%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).Search
         0     0% 88.19%    365.37s 12.09%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionShardSearchTCPInterruptOnCancelV1.func2
         0     0% 88.19%    354.57s 11.73%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionProductionTopologyV1).serve.func1.2
         0     0% 88.19%    354.57s 11.73%  github.com/snissn/gomap/TreeDB/nativewire.VectorPartitionShardSearchTCPServerV1.ServeConn
         0     0% 88.19%    354.54s 11.73%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchServiceV1).Search
         0     0% 88.19%    351.44s 11.62%  github.com/snissn/gomap/TreeDB/nativewire.(*LinearizableCatalogVectorPartitionLifecycleAuthorityV1).ValidateVectorPartitionGenerationSearchV1
         0     0% 88.19%    344.49s 11.40%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).PinVectorPartitionGenerationV1
         0     0% 88.19%    344.49s 11.40%  github.com/snissn/gomap/TreeDB/nativewire.(*vectorPartitionProductionNodeGenerationSourceV1).PinVectorPartitionGenerationV1
         0     0% 88.19%    344.49s 11.40%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionProductionNodeGenerationSourceV1.PinVectorPartitionGenerationV1
         0     0% 88.19%    299.19s  9.90%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).dispatch
   299.19s  9.90% 98.09%    299.19s  9.90%  sync.(*WaitGroup).Wait
         0     0% 98.09%    236.28s  7.82%  github.com/hashicorp/raft.(*Raft).run
         0     0% 98.09%    236.28s  7.82%  github.com/hashicorp/raft.(*Raft).run-fm
         0     0% 98.09%    229.79s  7.60%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).validateActive
         0     0% 98.09%    186.35s  6.16%  github.com/hashicorp/raft.(*Raft).pipelineDecode
         0     0% 98.09%    186.35s  6.16%  github.com/hashicorp/raft.(*Raft).pipelineReplicate.func1
         0     0% 98.09%    186.12s  6.16%  github.com/hashicorp/raft.(*inmemPipeline).decodeResponses
         0     0% 98.09%    186.12s  6.16%  github.com/hashicorp/raft.newInmemPipeline.gowrap1
         0     0% 98.09%    186.02s  6.15%  github.com/hashicorp/raft.(*Raft).pipelineReplicate
         0     0% 98.09%    186.02s  6.15%  github.com/hashicorp/raft.(*Raft).replicate
         0     0% 98.09%    186.02s  6.15%  github.com/hashicorp/raft.(*Raft).startStopReplication.func1
         0     0% 98.09%    181.93s  6.02%  github.com/hashicorp/raft.(*Raft).heartbeat
         0     0% 98.09%    181.93s  6.02%  github.com/hashicorp/raft.(*Raft).replicate.func1
         0     0% 98.09%    160.67s  5.31%  github.com/hashicorp/raft.(*Raft).runFollower
         0     0% 98.09%    151.45s  5.01%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).dispatch.func1
         0     0% 98.09%    151.45s  5.01%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).dispatchTask
         0     0% 98.09%    151.45s  5.01%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchTCPDispatcherV1).DispatchVectorPartitionShardSearchV1
         0     0% 98.09%    151.45s  5.01%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchTCPDispatcherV1).dispatchVectorPartitionShardSearchOnceV1
         0     0% 98.09%    151.44s  5.01%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchTCPDispatcherV1).acquire
