File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: cpu
Time: 2026-08-09 14:04:15 HST
Duration: 18.64s, Total samples = 16.48s (88.39%)
Showing nodes accounting for 12.08s, 73.30% of 16.48s total
Dropped 703 nodes (cum <= 0.08s)
Showing top 60 nodes out of 290
      flat  flat%   sum%        cum   cum%
     1.41s  8.56%  8.56%      1.41s  8.56%  crypto/internal/fips140/sha256.blockSHANI
     1.17s  7.10% 15.66%      1.17s  7.10%  internal/runtime/syscall/linux.Syscall6
     1.14s  6.92% 22.57%      1.21s  7.34%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionCoordinatorCandidateRowsV1.func1 (inline)
     0.84s  5.10% 27.67%      0.84s  5.10%  github.com/tphakala/simd/f32.dotProductAVX512
     0.83s  5.04% 32.71%      0.83s  5.04%  runtime.memmove
     0.53s  3.22% 35.92%      2.79s 16.93%  encoding/json.structEncoder.encode
     0.53s  3.22% 39.14%      0.53s  3.22%  github.com/snissn/go-crc32-asm.crc32IEEEVPCLMUL512
     0.43s  2.61% 41.75%      1.22s  7.40%  runtime.scanObject
     0.35s  2.12% 43.87%      2.03s 12.32%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).searchCosineWithContext
     0.33s  2.00% 45.87%      0.46s  2.79%  runtime.typePointers.next
     0.27s  1.64% 47.51%      0.40s  2.43%  bytes.(*Buffer).WriteByte
     0.21s  1.27% 48.79%      0.43s  2.61%  bytes.(*Buffer).WriteString
     0.21s  1.27% 50.06%      0.21s  1.27%  bytes.(*Buffer).tryGrowByReslice (inline)
     0.21s  1.27% 51.33%      0.37s  2.25%  reflect.Value.Field
     0.20s  1.21% 52.55%      0.99s  6.01%  encoding/json.uintEncoder
     0.20s  1.21% 53.76%      0.33s  2.00%  runtime.tryDeferToSpanScan
     0.18s  1.09% 54.85%      0.18s  1.09%  internal/strconv.formatBase10
     0.18s  1.09% 55.95%      0.18s  1.09%  runtime.futex
