File: treedb_vector_partition_bench
Type: delay
Showing nodes accounting for 2464136.41us, 85.46% of 2883361.15us total
Dropped 653 nodes (cum <= 14416.81us)
Showing top 50 nodes out of 83
      flat  flat%   sum%        cum   cum%
         0     0%     0% 2283437.19us 79.19%  github.com/hashicorp/raft.(*raftState).goFunc.func1
1581610.74us 54.85% 54.85% 1581610.74us 54.85%  runtime.chansend1
         0     0% 54.85% 1220303.98us 42.32%  github.com/hashicorp/raft.(*Raft).run
         0     0% 54.85% 944844.59us 32.77%  github.com/hashicorp/raft.(*Raft).runFSM
         0     0% 54.85% 944843.70us 32.77%  github.com/hashicorp/raft.(*Raft).runFSM.func1
         0     0% 54.85% 944843.70us 32.77%  github.com/hashicorp/raft.(*Raft).runFSM.func1.1
         0     0% 54.85% 859433.95us 29.81%  github.com/hashicorp/raft.(*Raft).leaderLoop
         0     0% 54.85% 859433.95us 29.81%  github.com/hashicorp/raft.(*Raft).runLeader
         0     0% 54.85% 360870.03us 12.52%  github.com/hashicorp/raft.(*Raft).runFollower
   48.19us 0.0017% 54.85% 360521.29us 12.50%  github.com/hashicorp/raft.(*Raft).appendEntries
         0     0% 54.85% 360521.29us 12.50%  github.com/hashicorp/raft.(*Raft).processRPC
326506.72us 11.32% 66.18% 327608.86us 11.36%  runtime.selectgo
   48.96us 0.0017% 66.18% 318199.12us 11.04%  github.com/hashicorp/raft.(*Raft).appendEntries.func1
304836.20us 10.57% 76.75% 304877.68us 10.57%  runtime.selectnbrecv
147595.30us  5.12% 81.87% 147602.02us  5.12%  runtime.selectnbsend
         0     0% 81.87% 127672.59us  4.43%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionProductionTopologyV1).serve.func1.2
         0     0% 81.87% 127672.59us  4.43%  github.com/snissn/gomap/TreeDB/nativewire.VectorPartitionShardSearchTCPServerV1.ServeConn
         0     0% 81.87% 111527.99us  3.87%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchServiceV1).Search
99824.13us  3.46% 85.33% 99824.13us  3.46%  runtime.systemstack_switch
         0     0% 85.33% 97792.27us  3.39%  github.com/hashicorp/raft.(*Raft).pipelineReplicate
         0     0% 85.33% 97792.27us  3.39%  github.com/hashicorp/raft.(*Raft).replicate
