File: treedb_vector_partition_bench
Type: delay
Showing nodes accounting for 3023365.90ms, 100% of 3023437.32ms total
Dropped 188 nodes (cum <= 15117.19ms)
Showing top 50 nodes out of 57
      flat  flat%   sum%        cum   cum%
2665924.36ms 88.18% 88.18% 2665924.36ms 88.18%  runtime.selectgo
         0     0% 88.18% 844555.56ms 27.93%  github.com/hashicorp/raft.(*raftState).goFunc.func1
         0     0% 88.18% 565748.27ms 18.71%  main.(*vectorPartitionOperationsTCPServerV1).serve
         0     0% 88.18% 565748.27ms 18.71%  main.(*vectorPartitionOperationsTCPServerV1).start.func1.1
         0     0% 88.18% 565742.27ms 18.71%  github.com/snissn/gomap/TreeDB/vectorpartition.(*OperationsV1).Search
         0     0% 88.18% 478434.62ms 15.82%  github.com/snissn/gomap/TreeDB/internal/raftcluster.(*CatalogMetaRaftProviderV1).LinearizableCatalogMetaAppliedIndexV1
         0     0% 88.18% 451704.27ms 14.94%  github.com/snissn/gomap/TreeDB/internal/raftcluster.waitHashicorpRaftFuture
         0     0% 88.18% 450418.06ms 14.90%  github.com/snissn/gomap/TreeDB/internal/raftcluster.waitHashicorpRaftFuture.func1
         0     0% 88.18% 438727.07ms 14.51%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionPublicBackendV1).SearchVectorPartitionV1
         0     0% 88.18% 438727.07ms 14.51%  github.com/snissn/gomap/TreeDB/vectorpartition.(*ServiceV1).Search
         0     0% 88.18% 438718.92ms 14.51%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).Search
         0     0% 88.18% 365368.74ms 12.08%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionShardSearchTCPInterruptOnCancelV1.func2
         0     0% 88.18% 354577.04ms 11.73%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionProductionTopologyV1).serve.func1.2
         0     0% 88.18% 354577.04ms 11.73%  github.com/snissn/gomap/TreeDB/nativewire.VectorPartitionShardSearchTCPServerV1.ServeConn
         0     0% 88.18% 354548.83ms 11.73%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchServiceV1).Search
         0     0% 88.18% 351416.15ms 11.62%  github.com/snissn/gomap/TreeDB/nativewire.(*LinearizableCatalogVectorPartitionLifecycleAuthorityV1).ValidateVectorPartitionGenerationSearchV1
         0     0% 88.18% 344475.11ms 11.39%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionProductionNodeGenerationSourceV1.PinVectorPartitionGenerationV1
    0.04ms 1.5e-06% 88.18% 344474.14ms 11.39%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).PinVectorPartitionGenerationV1
         0     0% 88.18% 299191.44ms  9.90%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).dispatch
299191.44ms  9.90% 98.07% 299191.44ms  9.90%  sync.(*WaitGroup).Wait
         0     0% 98.07% 236225.30ms  7.81%  github.com/hashicorp/raft.(*Raft).run
         0     0% 98.07% 234275.65ms  7.75%  github.com/hashicorp/raft.(*logFuture).Error
