Type: delay
Showing nodes accounting for 1108.68s, 99.93% of 1109.47s total
Dropped 230 nodes (cum <= 5.55s)
      flat  flat%   sum%        cum   cum%
   890.43s 80.26% 80.26%    890.43s 80.26%  runtime.selectgo
         0     0% 80.26%    329.36s 29.69%  github.com/hashicorp/raft.(*raftState).goFunc.func1
         0     0% 80.26%    217.82s 19.63%  main.(*vectorPartitionOperationsTCPServerV1).serve
         0     0% 80.26%    217.82s 19.63%  main.(*vectorPartitionOperationsTCPServerV1).start.func1.1
         0     0% 80.26%    217.82s 19.63%  github.com/snissn/gomap/TreeDB/vectorpartition.(*OperationsV1).Search
         0     0% 80.26%    215.11s 19.39%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionPublicBackendV1).SearchVectorPartitionV1
         0     0% 80.26%    215.11s 19.39%  github.com/snissn/gomap/TreeDB/vectorpartition.(*ServiceV1).Search
         0     0% 80.26%    215.07s 19.39%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).Search
         0     0% 80.26%    193.09s 17.40%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).dispatch
   193.08s 17.40% 97.66%    193.08s 17.40%  sync.(*WaitGroup).Wait
         0     0% 97.66%    168.27s 15.17%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).dispatch.func1
         0     0% 97.66%    168.27s 15.17%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).dispatchTask
         0     0% 97.66%    168.27s 15.17%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchTCPDispatcherV1).DispatchVectorPartitionShardSearchV1
         0     0% 97.66%    168.27s 15.17%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchTCPDispatcherV1).dispatchVectorPartitionShardSearchOnceV1
         0     0% 97.66%    168.20s 15.16%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchTCPDispatcherV1).acquire
         0     0% 97.66%    168.20s 15.16%  github.com/snissn/gomap/TreeDB/nativewire.(*vectorPartitionShardSearchTCPEndpointPoolV1).acquire
         0     0% 97.66%    151.78s 13.68%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionShardSearchTCPInterruptOnCancelV1.func2
         0     0% 97.66%    139.14s 12.54%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionProductionTopologyV1).serve.func1.2
         0     0% 97.66%    139.14s 12.54%  github.com/snissn/gomap/TreeDB/nativewire.VectorPartitionShardSearchTCPServerV1.ServeConn
         0     0% 97.66%    139.02s 12.53%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchServiceV1).Search
         0     0% 97.66%    124.47s 11.22%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).PinVectorPartitionGenerationV1
