Type: delay
Showing nodes accounting for 8.41s, 98.39% of 8.55s total
Dropped 229 nodes (cum <= 0.04s)
Showing top 60 nodes out of 75
      flat  flat%   sum%        cum   cum%
         0     0%     0%      7.57s 88.58%  runtime/pprof.profileWriter
     7.57s 88.57% 88.57%      7.57s 88.57%  runtime.(*profBuf).read
         0     0% 88.57%      7.57s 88.57%  runtime/pprof.readProfile
         0     0% 88.57%      0.56s  6.55%  internal/poll.ignoringEINTRIO
         0     0% 88.57%      0.56s  6.53%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionProductionTopologyV1).serve.func1.2
         0     0% 88.57%      0.56s  6.53%  github.com/snissn/gomap/TreeDB/nativewire.VectorPartitionShardSearchTCPServerV1.ServeConn
         0     0% 88.57%      0.41s  4.75%  internal/poll.(*FD).Write
         0     0% 88.57%      0.41s  4.75%  syscall.Write
     0.41s  4.75% 93.33%      0.41s  4.75%  syscall.write
         0     0% 93.33%      0.40s  4.71%  net.(*conn).Write
         0     0% 93.33%      0.40s  4.71%  net.(*netFD).Write
         0     0% 93.33%      0.37s  4.38%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchServiceV1).Search
         0     0% 93.33%      0.37s  4.28%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenVectorPartitionLocalSearcherForGenerationSearchPlanWithContextV1
         0     0% 93.33%      0.37s  4.28%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationCacheV1).openPartition
         0     0% 93.33%      0.37s  4.28%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationLeaseV1).OpenPartition
         0     0% 93.33%      0.37s  4.28%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openVectorPartitionLocalSearcherForPreparedPartitionWithContextV1
         0     0% 93.33%      0.28s  3.27%  internal/poll.(*FD).Pread
         0     0% 93.33%      0.28s  3.27%  internal/poll.(*FD).Pread.func1
         0     0% 93.33%      0.28s  3.27%  internal/poll.ignoringEINTR2[...]
         0     0% 93.33%      0.28s  3.27%  os.(*File).ReadAt
         0     0% 93.33%      0.28s  3.27%  os.(*File).pread
         0     0% 93.33%      0.28s  3.27%  syscall.Pread
     0.28s  3.27% 96.59%      0.28s  3.27%  syscall.pread
