File: treedb_vector_partition_bench
Build ID: 98e16ee18e0b970254196800f211453591690330
Type: cpu
Time: 2026-08-09 17:07:48 HST
Duration: 7.57s, Total samples = 15.12s (199.76%)
Showing nodes accounting for 2.92s, 19.31% of 15.12s total
Dropped 564 nodes (cum <= 0.08s)
Showing top 60 nodes out of 292
      flat  flat%   sum%        cum   cum%
         0     0%     0%        10s 66.14%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionProductionTopologyV1).serve.func1.2
         0     0%     0%        10s 66.14%  github.com/snissn/gomap/TreeDB/nativewire.VectorPartitionShardSearchTCPServerV1.ServeConn
     0.01s 0.066% 0.066%      9.53s 63.03%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchServiceV1).Search
         0     0% 0.066%      5.36s 35.45%  github.com/snissn/gomap/TreeDB/collections.WithVectorPartitionStorageBarrierWithContextV1
         0     0% 0.066%      5.32s 35.19%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).loadVectorPartitionLifecycleAuthorityWithContextV1
         0     0% 0.066%      5.32s 35.19%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).loadVectorPartitionLifecycleCheckpointStateFromDirWithContextV1
         0     0% 0.066%      4.88s 32.28%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionProductionNodeGenerationSourceV1.PinVectorPartitionGenerationV1
         0     0% 0.066%      4.87s 32.21%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).PinVectorPartitionGenerationV1
         0     0% 0.066%      4.80s 31.75%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).loadGeneration
         0     0% 0.066%      4.78s 31.61%  github.com/snissn/gomap/TreeDB/collections.WithVectorPartitionStorageBarrierV1 (inline)
         0     0% 0.066%      4.61s 30.49%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1
         0     0% 0.066%      4.61s 30.49%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func2
         0     0% 0.066%      4.61s 30.49%  github.com/snissn/gomap/TreeDB/collections.writeVectorPartitionJSONSliceWithContextV1[go.shape.struct { VectorOrdinal uint64; PartitionID uint32 }]
         0     0% 0.066%      4.05s 26.79%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleCheckpointTailV1
         0     0% 0.066%      3.84s 25.40%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func4
         0     0% 0.066%      3.36s 22.22%  encoding/json.Marshal
         0     0% 0.066%      3.29s 21.76%  github.com/snissn/gomap/TreeDB/collections.encodeVectorPartitionManifestWithContextV1
         0     0% 0.066%      3.22s 21.30%  github.com/snissn/gomap/TreeDB/collections.applyVectorPartitionReadyPromotionV1
         0     0% 0.066%      3.22s 21.30%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleRecordV1
     0.02s  0.13%   0.2%      3.02s 19.97%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.validateWithContextV1
         0     0%   0.2%      3.01s 19.91%  encoding/json.(*encodeState).marshal
         0     0%   0.2%      3.01s 19.91%  encoding/json.(*encodeState).reflectValue
     0.09s   0.6%  0.79%      2.94s 19.44%  encoding/json.arrayEncoder.encode
         0     0%  0.79%      2.94s 19.44%  encoding/json.sliceEncoder.encode
     0.63s  4.17%  4.96%      2.72s 17.99%  encoding/json.structEncoder.encode
         0     0%  4.96%      2.41s 15.94%  github.com/snissn/gomap/TreeDB/collections.(*Collection).PreparedVectorPartitionManifestWithContextV1
         0     0%  4.96%      2.41s 15.94%  github.com/snissn/gomap/TreeDB/collections.(*Collection).PreparedVectorPartitionManifestWithContextV1.func1
         0     0%  4.96%      2.37s 15.67%  github.com/snissn/gomap/TreeDB/collections.(*Collection).AcquireVectorPartitionReaderPinWithContextV1
         0     0%  4.96%      2.37s 15.67%  github.com/snissn/gomap/TreeDB/collections.(*Collection).AcquireVectorPartitionReaderPinWithContextV1.func1
         0     0%  4.96%      2.37s 15.67%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).OpenWithContext
         0     0%  4.96%      2.34s 15.48%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenVectorPartitionLocalSearcherForGenerationSearchPlanWithContextV1
         0     0%  4.96%      2.34s 15.48%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openVectorPartitionLocalSearcherForPreparedPartitionWithContextV1
         0     0%  4.96%      2.34s 15.48%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationCacheV1).openPartition
         0     0%  4.96%      2.34s 15.48%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationLeaseV1).OpenPartition
         0     0%  4.96%      2.33s 15.41%  main.(*vectorPartitionOperationsTCPServerV1).serve
         0     0%  4.96%      2.33s 15.41%  main.(*vectorPartitionOperationsTCPServerV1).start.func1.1
         0     0%  4.96%      2.22s 14.68%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionLocalSearcherV1).SearchWithOptionsV1
         0     0%  4.96%      2.22s 14.68%  github.com/snissn/gomap/TreeDB/nativewire.searchVectorPartitionDirectV1
         0     0%  4.96%      2.16s 14.29%  github.com/snissn/gomap/TreeDB/collections.EncodeVectorPartitionManifestV1 (inline)
     0.01s 0.066%  5.03%      2.16s 14.29%  github.com/snissn/gomap/TreeDB/vectorpartition.(*OperationsV1).Search
     0.36s  2.38%  7.41%      2.15s 14.22%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).searchCosineWithContext
         0     0%  7.41%      2.09s 13.82%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).Search
         0     0%  7.41%      2.09s 13.82%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionPublicBackendV1).SearchVectorPartitionV1
         0     0%  7.41%      2.09s 13.82%  github.com/snissn/gomap/TreeDB/vectorpartition.(*ServiceV1).Search
         0     0%  7.41%      2.01s 13.29%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionManifestV1).canonicalizeWithContextV1
         0     0%  7.41%      1.85s 12.24%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReader
         0     0%  7.41%      1.85s 12.24%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot
         0     0%  7.41%      1.84s 12.17%  runtime.systemstack
         0     0%  7.41%      1.76s 11.64%  github.com/snissn/gomap/TreeDB/collections.(*Collection).acquireColumnVectorGraphSharedPreparedSearch
         0     0%  7.41%      1.76s 11.64%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot.func1
