File: collections.test
Type: cpu
Time: 2026-05-25 19:25:34 HST
Duration: 34.41s, Total samples = 29.28s (85.10%)
Showing nodes accounting for 26.14s, 89.28% of 29.28s total
Dropped 439 nodes (cum <= 0.15s)
      flat  flat%   sum%        cum   cum%
     4.04s 13.80% 13.80%      4.04s 13.80%  github.com/snissn/gomap/TreeDB/collections.(*vectorIndexNode).vectorValueAt (inline)
     3.43s 11.71% 25.51%      3.43s 11.71%  runtime.madvise
     2.64s  9.02% 34.53%      2.64s  9.02%  github.com/axiomhq/simd-go.dotProductFloat32NEON
     1.79s  6.11% 40.64%     11.22s 38.32%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndex).vectorIndexCandidateIsDiverseLocked
     1.54s  5.26% 45.90%      5.96s 20.36%  github.com/snissn/gomap/TreeDB/collections.vectorDistanceBetweenStoredNodes
     1.22s  4.17% 50.07%      1.22s  4.17%  syscall.syscall
     1.21s  4.13% 54.20%      4.52s 15.44%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndex).searchLayerWithScratchLocked
     1.12s  3.83% 58.03%      1.35s  4.61%  github.com/snissn/gomap/TreeDB/collections.vectorDistanceToStoredNodeWithQueryNorm
     0.87s  2.97% 61.00%      0.87s  2.97%  runtime.pthread_cond_signal
     0.63s  2.15% 63.15%      0.63s  2.15%  syscall.syscall6
     0.53s  1.81% 64.96%      3.17s 10.83%  github.com/axiomhq/simd-go.dotProductFloat32Impl
     0.39s  1.33% 66.29%      0.39s  1.33%  strconv.readFloat
     0.38s  1.30% 67.59%     11.90s 40.64%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndex).selectDiverseCandidatesLocked
     0.38s  1.30% 68.89%      3.04s 10.38%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphPhysicalRowReader).SearchCosine
     0.38s  1.30% 70.18%      0.38s  1.30%  github.com/snissn/gomap/TreeDB/collections.(*vectorIndexNode).vectorDimensions (inline)
     0.31s  1.06% 71.24%      3.78s 12.91%  github.com/snissn/gomap/TreeDB/collections.dotProductFloat32ForCosine
     0.31s  1.06% 72.30%      0.31s  1.06%  runtime.memmove
     0.28s  0.96% 73.26%      0.81s  2.77%  fmt.(*pp).doPrintf
     0.28s  0.96% 74.21%      3.54s 12.09%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndex).distanceBetweenFloat32CosineCandidateAndNodeLocked
     0.27s  0.92% 75.14%      0.28s  0.96%  github.com/snissn/gomap/TreeDB/collections.(*vectorIndexMinCandidateHeap).push (inline)
     0.24s  0.82% 75.96%      3.58s 12.23%  github.com/snissn/gomap/TreeDB/internal/vectorops.DotFloat32
     0.23s  0.79% 76.74%      0.24s  0.82%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndex).compareVectorIndexCandidatesByDistanceLocked
     0.23s  0.79% 77.53%      3.30s 11.27%  github.com/snissn/gomap/TreeDB/collections.vectorDistanceBetweenFloat32NodesCosineUnchecked
     0.21s  0.72% 78.24%     10.87s 37.12%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndex).pruneLayerNeighborsLocked
     0.18s  0.61% 78.86%      0.18s  0.61%  github.com/snissn/gomap/TreeDB/collections.(*vectorIndexNode).cachedNormSquared
     0.17s  0.58% 79.44%      3.34s 11.41%  github.com/axiomhq/simd-go.DotProductFloat32
     0.17s  0.58% 80.02%      0.17s  0.58%  github.com/buger/jsonparser.blockEnd
     0.17s  0.58% 80.60%      0.17s  0.58%  runtime.kevent
     0.16s  0.55% 81.15%      0.21s  0.72%  github.com/snissn/gomap/TreeDB/collections.vectorIndexMaxCandidateHeap.down
     0.15s  0.51% 81.66%      0.45s  1.54%  github.com/buger/jsonparser.getType
     0.15s  0.51% 82.17%      0.15s  0.51%  github.com/snissn/gomap/TreeDB/collections.sortVectorIndexCandidates.func1
     0.15s  0.51% 82.68%      0.99s  3.38%  runtime.mallocgc
     0.14s  0.48% 83.16%      0.17s  0.58%  github.com/snissn/gomap/TreeDB/collections.vectorIndexMinCandidateHeap.down
     0.13s  0.44% 83.61%      1.83s  6.25%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphBlockView).adjacency
