File: collections.test
Type: alloc_space
Time: 2026-05-25 19:26:09 HST
Showing nodes accounting for 5606.46MB, 93.35% of 6005.77MB total
Dropped 302 nodes (cum <= 30.03MB)
      flat  flat%   sum%        cum   cum%
 1293.61MB 21.54% 21.54%  1293.61MB 21.54%  fmt.Errorf
 1088.02MB 18.12% 39.66%  1344.02MB 22.38%  github.com/snissn/gomap/TreeDB/internal/commitlog.NewWriterWithOptions
  516.83MB  8.61% 48.26%   516.83MB  8.61%  bytes.Clone (inline)
     256MB  4.26% 52.52%      256MB  4.26%  bufio.NewWriterSize (inline)
  233.50MB  3.89% 56.41%  1527.12MB 25.43%  github.com/snissn/gomap/TreeDB/internal/mappedresource.ValidateDirectView
  198.78MB  3.31% 59.72%   198.78MB  3.31%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndex).rerankFloat32CosineCandidatesFromNodesLocked
  198.78MB  3.31% 63.03%   389.29MB  6.48%  encoding/json.(*decodeState).arrayInterface
  182.63MB  3.04% 66.07%   182.63MB  3.04%  github.com/snissn/gomap/TreeDB/tree.(*Tree).lookupLeafValueView
  150.67MB  2.51% 68.58%   307.29MB  5.12%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndex).attachVectorSearchResultDocuments
  127.11MB  2.12% 70.70%   218.12MB  3.63%  github.com/snissn/gomap/TreeDB/collections.vectorBenchmarkDocument
  108.08MB  1.80% 72.50%   108.08MB  1.80%  github.com/snissn/gomap/TreeDB/tree.(*Iterator).ValueCopy
  107.13MB  1.78% 74.28%   107.13MB  1.78%  encoding/json.(*Decoder).refill
      99MB  1.65% 75.93%      196MB  3.26%  encoding/json.(*decodeState).literalInterface
      95MB  1.58% 77.51%       95MB  1.58%  encoding/json.(*decodeState).convertNumber
   94.52MB  1.57% 79.09%    94.52MB  1.57%  github.com/snissn/gomap/TreeDB/collections.vectorFromJSONField
   87.59MB  1.46% 80.54%    87.59MB  1.46%  bytes.growSlice
   82.58MB  1.37% 81.92%    82.58MB  1.37%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndex).linkLayerLocked
      78MB  1.30% 83.22%       78MB  1.30%  fmt.Sprintf
   69.17MB  1.15% 84.37%    69.17MB  1.15%  github.com/snissn/gomap/TreeDB/db.newLeafPageReadCache (inline)
   57.03MB  0.95% 85.32%   223.70MB  3.72%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndex).insertVectorLocked
   55.02MB  0.92% 86.24%    56.02MB  0.93%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndex).newVectorIndexNodePrepared
   46.56MB  0.78% 87.01%    51.56MB  0.86%  encoding/json.Marshal
   46.06MB  0.77% 87.78%    46.06MB  0.77%  github.com/snissn/gomap/TreeDB/internal/commitlog.cloneBytesPreserveEmpty (inline)
   42.56MB  0.71% 88.49%    98.97MB  1.65%  github.com/snissn/gomap/TreeDB/collections.newColumnPhysicalRowReaderFromSnapshotViewWithClose
   39.53MB  0.66% 89.14%   571.98MB  9.52%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndexSearcher).Search
   38.04MB  0.63% 89.78%   363.75MB  6.06%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openVectorIndexSearcher
   27.01MB  0.45% 90.23%    74.02MB  1.23%  github.com/snissn/gomap/TreeDB/collections.columnVectorGraphPhysicalColumnStoreConfig
   24.82MB  0.41% 90.64%   148.90MB  2.48%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndex).checkRecallExactBatch
   24.03MB   0.4% 91.04%   982.30MB 16.36%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndex).Search
   19.50MB  0.32% 91.37%   418.79MB  6.97%  encoding/json.(*decodeState).objectInterface
      18MB   0.3% 91.67%    46.01MB  0.77%  github.com/snissn/gomap/TreeDB/collections.normalizeColumnStoreConfig
   14.03MB  0.23% 91.90%   371.31MB  6.18%  github.com/snissn/gomap/TreeDB/collections.extractColumnDeclaredRowsFromJSONDocuments
   14.01MB  0.23% 92.13%    75.01MB  1.25%  github.com/snissn/gomap/TreeDB/collections.loadColumnManifestRecordsFromRoot
