doc-000000	common common common common	common common common common	tenant-broad
doc-000001	common common common common	common bodyfill bodyfill bodyfill	tenant-broad
doc-000002	common common common titlefill	common bodyfill bodyfill bodyfill	tenant-broad
doc-000003	common common titlefill titlefill	common bodyfill bodyfill bodyfill	tenant-broad
doc-000004	common titlefill titlefill titlefill	common common bodyfill bodyfill	tenant-broad
doc-000005	common titlefill titlefill titlefill	common bodyfill bodyfill bodyfill	tenant-broad
doc-000006	common titlefill titlefill titlefill	bodyfill bodyfill bodyfill bodyfill	tenant-broad
doc-000007	titlefill titlefill titlefill titlefill	common common bodyfill bodyfill	tenant-broad
doc-000008	titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill	common bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill	tenant-broad
doc-000009	titlefill titlefill titlefill titlefill	common bodyfill bodyfill bodyfill	tenant-broad
doc-000010	titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill	common rare bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill	tenant-broad
doc-000011	titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill	common rare bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill	tenant-broad
doc-000012	titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill	common rare bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill	tenant-broad
doc-000013	titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill	common rare bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill	tenant-broad
doc-000014	titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill titlefill	common rare bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill bodyfill	tenant-broad
